cluster,centroid_x,centroid_y,n_fixations,sum_duration_s
0,0.7197952731237525,0.3207029099117367,10,3.0478959999999997
1,0.22465184219181533,0.7884032690276702,5,1.141253
2,0.221937699864308,0.6209263900915781,2,0.665618
3,0.20312034524977207,0.31080965614981115,2,0.585626
4,0.22178299015223166,0.18050973690083236,7,1.611365
5,0.34959416016936296,0.31845732182264325,2,0.360375
6,0.6005018148571253,0.24736278007427848,4,1.106121
7,0.501246659558414,0.4466654918566867,4,1.4513979999999997
8,0.594196190657439,0.4811588887815122,3,0.785744
9,0.3319151414813632,0.4709072369980003,6,1.7265070000000002
10,0.4346080496907234,0.23157472660144165,2,0.660627
11,0.32053448673751617,0.6391844327251116,3,0.710626
12,0.46816140732594896,0.8591899736119168,2,0.700625
13,0.7339471518993378,0.8091945692896843,2,0.650498
14,0.6716400782267253,0.6799770072102547,2,0.47038599999999997
15,0.49184942225615186,0.6192180424928665,5,1.085872
16,0.8043313672145207,0.4681489417950312,2,0.46537
