fixation id,start timestamp [ns],end timestamp [ns],duration [ms],fixation detected on surface,fixation x [normalized],fixation y [normalized],start_s,end_s,cluster
416,1.75889e+18,1.75889e+18,560.499,1.0,0.580994447,0.270612876,103.05018499999989,103.61068399999988,0
417,1.75889e+18,1.75889e+18,1731.624,1.0,0.553655169,0.255465755,103.61068399999988,105.34230799999987,0
418,1.75889e+18,1.75889e+18,94.999,1.0,0.547604203,0.597380449,105.34230799999987,105.43730699999988,1
419,1.75889e+18,1.75889e+18,200.129,1.0,0.482983327,0.654910696,105.43730699999988,105.63743599999988,1
420,1.75889e+18,1.75889e+18,110.006,1.0,0.546690941,0.355346719,105.63743599999988,105.74744199999988,2
421,1.75889e+18,1.75889e+18,340.25,1.0,0.565377645,0.287229948,105.74744199999988,106.08769199999988,0
422,1.75889e+18,1.75889e+18,205.25,1.0,0.542160237,0.403821981,106.08769199999988,106.29294199999988,2
423,1.75889e+18,1.75889e+18,220.238,1.0,0.507216662,0.602700591,106.29294199999988,106.51317999999988,1
424,1.75889e+18,1.75889e+18,295.25,1.0,0.533636689,0.38291032,106.51317999999988,106.80842999999987,2
425,1.75889e+18,1.75889e+18,970.998,1.0,0.532457562,0.332510704,106.80842999999987,107.77942799999987,2
426,1.75889e+18,1.75889e+18,240.25,1.0,0.478104259,0.366771628,107.77942799999987,108.01967799999987,-1
427,1.75889e+18,1.75889e+18,195.25,1.0,0.493814987,0.580042624,108.01967799999987,108.21492799999987,1
428,1.75889e+18,1.75889e+18,180.125,1.0,0.493658435,0.428276122,108.21492799999987,108.39505299999988,-1
429,1.75889e+18,1.75889e+18,85.131,1.0,0.492500822,0.644784907,108.39505299999988,108.48018399999988,1
431,1.75889e+18,1.75889e+18,280.26,1.0,0.478507817,0.543143004,108.48018399999988,108.76044399999988,1
432,1.75889e+18,1.75889e+18,95.125,1.0,0.276989967,0.534683764,108.76044399999988,108.85556899999987,-1
433,1.75889e+18,1.75889e+18,510.5,1.0,0.400295728,0.627500254,108.85556899999987,109.36606899999987,-1
435,1.75889e+18,1.75889e+18,155.111,1.0,0.454549551,0.48953408,109.36606899999987,109.52117999999987,-1
