cluster,centroid_x,centroid_y,n_fixations,sum_duration_s
0,0.5319886664312826,0.43329316817120694,238,91.019181
1,0.18793511167168614,0.6930573865771293,2,0.6355029999999999
2,0.25766392499208446,0.7486379742622375,2,0.380494
3,0.1285101734101772,0.5040722613533337,2,0.41036700000000004
4,0.18210253669795662,0.3135114345554407,4,1.1260080000000001
5,0.15384125011780903,0.21946154697428616,4,1.371248
6,0.5539962848027546,0.11647974948088324,2,0.335378
7,0.6837737945877775,0.7865810169958742,7,1.5867580000000001
8,0.6144175756545294,0.8805673759844568,4,1.216021
9,0.6657623864484555,0.6153204010291532,3,0.840749
10,0.8028943337575353,0.891544790490709,3,0.951004
11,0.6854099988937379,0.16536658592522135,4,0.955856
