fixation id,start timestamp [ns],end timestamp [ns],duration [ms],fixation detected on surface,fixation x [normalized],fixation y [normalized],start_s,end_s,cluster
1,1758903472744699904,1758903472979940096,235.24,1.0,0.7903690934181213,0.705331027507782,0.0,0.235240192,0
2,1758903473004940032,1758903473430315008,425.375,1.0,0.8064008440290179,0.6766302543027061,0.260240128,0.685615104,0
3,1758903473475318016,1758903473970814976,495.497,1.0,0.7996089295907454,0.415496056730097,0.730618112,1.226115072,1
4,1758903474035940096,1758903474326190080,290.25,1.0,0.721174548069636,0.6651300142208735,1.291240192,1.581490176,-1
5,1758903474356198144,1758903474656443904,300.246,1.0,0.737814554146358,0.5848638202462878,1.61149824,1.911744,-1
6,1758903474686439936,1758903475111940096,425.5,1.0,0.7950585749414232,0.5440723333093855,1.941740032,2.367240192,-1
7,1758903475166947072,1758903475657440000,490.493,0.8333333333333334,0.8608334064483643,0.4400315483411153,2.422247168,2.912740096,-1
9,1758903475872564992,1758903476227940096,355.375,1.0,0.3124925121665001,0.5382555276155472,3.127865088,3.483240192,-1
11,1758903476823440128,1758903477318939904,495.5,1.0,0.511609673500061,0.7385588586330414,4.078740224,4.57424,-1
12,1758903477368940032,1758903478264815104,895.875,1.0,0.3034944431139872,0.5929753894989307,4.624240128,5.5201152,-1
13,1758903478314815232,1758903478770323200,455.508,1.0,0.1815327893603932,0.5301653417673978,5.570115328,6.025623296,-1
14,1758903478795314944,1758903479090565120,295.25,1.0,0.1982480734586715,0.4657066634723118,6.05061504,6.345865216,-1
15,1758903479325815040,1758903479510956032,185.141,1.0,0.5460002223650614,0.3363674879074096,6.581115136,6.766256128,-1
17,1758903480306690048,1758903480637064960,330.375,1.0,0.7286517705236163,0.26185314144407,7.561990144,7.892365056,1
18,1758903480702064896,1758903480822190080,120.125,1.0,0.6276588241259257,0.6002739171187083,7.957364992,8.077490176,-1
19,1758903480857190144,1758903480972315136,115.125,1.0,0.5823118984699249,0.5320859104394913,8.11249024,8.227615232,2
20,1758903481017315072,1758903481632940032,615.625,1.0,0.4521833327081468,0.4980104135142432,8.272615168,8.888240128,-1
21,1758903481677939968,1758903482128452096,450.512,1.0,0.5835205256938935,0.4844726920127868,8.933240064,9.383752192,2
22,1758903482268565248,1758903482763949056,495.384,1.0,0.5167580355297435,0.5174145779826425,9.523865344,10.019249152,3
23,1758903482809065216,1758903483334565120,525.5,1.0,0.6464286338199269,0.4775076887824319,10.064365312,10.589865216,4
24,1758903483359565056,1758903483569690112,210.125,1.0,0.6885949730873108,0.4532456278800964,10.614865152,10.824990208,4
25,1758903483609814784,1758903484295440128,685.625,1.0,0.7831440885861715,0.4624150554339091,10.86511488,11.550740224,1
26,1758903484325442048,1758903484615689984,290.248,1.0,0.8032708849225726,0.3886610865592956,11.580742144,11.87099008,1
27,1758903484650690048,1758903485061064960,410.375,1.0,0.8204543325636122,0.3171741233931647,11.905990144,12.316365056,-1
28,1758903485096189952,1758903485376443904,280.254,1.0,0.7691881997244698,0.3807686993053981,12.351490048,12.631744,1
29,1758903485406440192,1758903485651690752,245.251,1.0,0.7198047041893005,0.3981798390547434,12.661740288,12.906990848,-1
30,1758903485686694144,1758903485991938816,305.245,1.0,0.750666754586356,0.3498885035514831,12.94199424,13.247238912,1
31,1758903486006947072,1758903486317314048,310.3669999999999,1.0,0.7685860565730503,0.3056992207254682,13.262247168,13.572614144,1
32,1758903486332314880,1758903486427314944,95.0,1.0,0.7684535185496012,0.2703717549641927,13.587614976,13.68261504,1
33,1758903486462439936,1758903486687575040,225.135,1.0,0.7049481511116028,0.2639711380004882,13.717740032,13.942875136,1
34,1758903486747689984,1758903486942814976,195.125,1.0,0.5345728993415833,0.4988062381744385,14.00299008,14.198115072,3
35,1758903486972829952,1758903487268189952,295.36,1.0,0.5569589393479484,0.3911349603107997,14.228130048,14.523490048,5
36,1758903487293190144,1758903487713572096,420.382,1.0,0.5110226074854533,0.3846594426367018,14.54849024,14.968872192,5
