cluster,centroid_x,centroid_y,n_fixations,sum_duration_s
0,0.4915276060974787,0.4117281004076912,3,0.7357549999999999
1,0.46256932947370744,0.24290776004393896,3,0.7406250000000001
2,0.7369387603941417,0.16500106382937652,3,0.7307400000000002
3,0.7205902151763439,0.8082655109465122,2,0.49036900000000005
4,0.6142892936865489,0.8036580716570219,2,0.42537499999999995
5,0.5107800528407096,0.804121620208025,2,0.6907430000000001
6,0.20440353132074784,0.7196685061213516,4,0.760622
7,0.21526648333439458,0.8200727017262043,2,0.85588
8,0.4581515167768184,0.32232668308111334,2,1.1058750000000002
9,0.3370402057965597,0.7179209565122922,2,0.6906209999999999
10,0.19478001333773132,0.4580832302570343,2,0.500499
11,0.7303511628082819,0.743536114692688,2,0.585624
