cluster,centroid_x,centroid_y,n_fixations,sum_duration_s
0,0.5167023421279968,0.47277871105406016,5,1.2161110000000002
1,0.6754297177323704,0.352186849565174,40,12.881606999999999
2,0.5681938529014587,0.5461413164933522,2,0.495508
3,0.23607649418214952,0.36104937543471655,3,0.965862
4,0.3238329790532589,0.3723688611388206,5,1.2212420000000002
5,0.172678183941614,0.5110403029691606,2,0.390367
6,0.5229778684675693,0.36246702000498765,2,0.5506230000000001
7,0.804952508409818,0.46820151815811795,5,1.5865049999999998
8,0.6630886765699538,0.1848225879290747,3,0.7005129999999999
9,0.5736483588814736,0.1432933092117309,2,0.38536099999999995
10,0.16234592774084633,0.36176530803952894,2,0.41538200000000003
