fixation id,start timestamp [ns],end timestamp [ns],duration [ms],fixation detected on surface,fixation x [normalized],fixation y [normalized],start_s,end_s,cluster
90,1758904683601842944,1758904683837092864,235.25,1.0,0.43574425081412,0.4433875183264414,31.73936512,31.97461504,-1
91,1758904683872092928,1758904683947217664,75.125,1.0,0.5040658513704935,0.480141282081604,32.009615104,32.08473984,0
92,1758904684092348672,1758904684237472768,145.124,1.0,0.6851674914360046,0.3556765019893646,32.229870848,32.374994944,1
94,1758904684542717696,1758904684862967808,320.25,1.0,0.7655498683452606,0.3302304446697235,32.680239872,33.000489984,1
95,1758904684903092992,1758904685118217472,215.125,1.0,0.6552377343177795,0.3729711174964905,33.040615168,33.255739648,1
96,1758904685153352704,1758904685413592832,260.24,1.0,0.6193987329800924,0.287602702776591,33.29087488,33.551115008,1
97,1758904685453592832,1758904686094217984,640.625,1.0,0.5902283092339834,0.354969044526418,33.591115008,34.23174016,1
99,1758904686604592640,1758904687040091648,435.499,1.0,0.6251788271798028,0.4124515917566087,34.742114816,35.177613824,1
100,1758904687065091840,1758904687185220864,120.129,1.0,0.6603820323944092,0.3843141198158264,35.202614016,35.32274304,1
101,1758904687230216704,1758904687710716672,480.5,1.0,0.8141717195510865,0.3397210240364074,35.36773888,35.848238848,1
102,1758904687745716736,1758904688040966656,295.25,1.0,0.8230854954038348,0.3166424546922956,35.883238912,36.178488832,1
103,1758904688080966656,1758904688281222656,200.256,1.0,0.7675629258155823,0.5959450267255306,36.218488832,36.418744832,-1
104,1758904688316216832,1758904688551474688,235.258,1.0,0.5779544115066528,0.5483315289020538,36.453739008,36.688996864,2
105,1758904688591466752,1758904688851716864,260.25,1.0,0.5584332942962646,0.5439511040846506,36.728988928,36.98923904,2
106,1758904688911716864,1758904689181967872,270.251,1.0,0.4089129865169525,0.8488466739654541,37.04923904,37.319490048,-1
108,1758904689402216704,1758904689817590784,415.374,1.0,0.2186001747846603,0.3510071158409119,37.53973888,37.95511296,3
109,1758904689852600832,1758904690012842752,160.242,1.0,0.314734973013401,0.3894859254360199,37.990123008,38.150364928,4
110,1758904690047841792,1758904690217970688,170.129,1.0,0.2560804337263107,0.3720444291830063,38.185363968,38.355492864,3
111,1758904690237981696,1758904690618340864,380.359,1.0,0.2335488740354776,0.3600965812802315,38.375503872,38.75586304,3
112,1758904690658340864,1758904690928590848,270.25,1.0,0.1838776149920054,0.515087183032717,38.79586304,39.066113024,5
113,1758904690943598848,1758904691063715840,120.117,1.0,0.1614787528912226,0.506993422905604,39.081121024,39.201238016,5
114,1758904691133840640,1758904691564215808,430.375,1.0,0.4236789882183075,0.3117114007472992,39.271362816,39.701737984,-1
115,1758904691594215680,1758904691924598784,330.383,1.0,0.4549671225249767,0.352941133081913,39.731737856,40.06212096,-1
117,1758904692129715712,1758904692324964864,195.249,1.0,0.5394052982330322,0.3685803771018981,40.267237888,40.46248704,6
118,1758904692455097600,1758904693030589696,575.492,1.0,0.5895804117123286,0.3425865918397903,40.592619776,41.168111872,1
119,1758904693050589696,1758904693400964864,350.375,1.0,0.6076270416378975,0.2849369123578071,41.188111872,41.53848704,1
120,1758904693435964672,1758904693596089856,160.125,1.0,0.6728852391242981,0.2770898193120956,41.573486848,41.733612032,-1
121,1758904693626089728,1758904693851339776,225.25,1.0,0.6796414375305175,0.3536210298538208,41.763611904,41.988861952,1
