fixation id,start timestamp [ns],end timestamp [ns],duration [ms],fixation detected on surface,fixation x [normalized],fixation y [normalized],start_s,end_s,cluster
10,1758904769790946048,1758904770106321152,315.375,1.0,0.5522128173283168,0.3502581204686846,7.406872064,7.722247168,0
11,1758904770136325120,1758904770386571008,250.246,1.0,0.6085480749607086,0.3706834117571513,7.752251136,8.002497024,0
12,1758904770421570816,1758904770641832960,220.26200000000003,1.0,0.673735648393631,0.3279261787732442,8.037496832,8.257758976,0
13,1758904770676821248,1758904771792820224,1115.999,1.0,0.5946896439013274,0.3185481066289155,8.292747264,9.40874624,0
14,1758904771812819968,1758904772573570048,760.75,1.0,0.5981956981122494,0.3879515156149864,9.428745984,10.189496064,0
15,1758904772628578048,1758904772763695104,135.117,1.0,0.7554286867380142,0.3812011331319809,10.244504064,10.37962112,0
16,1758904772803824128,1758904773023958016,220.134,1.0,0.7827478289604187,0.221372377872467,10.419750144,10.639884032,0
17,1758904773059069952,1758904773224195072,165.125,1.0,0.821267306804657,0.1399641185998916,10.674995968,10.840121088,0
18,1758904773379320064,1758904773769694976,390.375,0.0,-0.2371557785405053,0.158458669980367,10.99524608,11.385620992,-1
19,1758904773874822912,1758904774094948096,220.125,1.0,0.5293720841407776,0.5154375255107879,11.490748928,11.710874112,0
20,1758904774140069120,1758904774450319104,310.25,1.0,0.3973586048398699,0.6667408815452031,11.755995136,12.06624512,0
21,1758904774480318976,1758904774660451072,180.132,1.0,0.3862282037734985,0.7544875591993332,12.096244992,12.276377088,1
22,1758904774715570944,1758904774940823040,225.252,1.0,0.1910796254873275,0.8005598038434982,12.33149696,12.556749056,0
23,1758904774965819136,1758904775160944128,195.125,1.0,0.2304614901542663,0.7384361386299133,12.581745152,12.776870144,0
24,1758904775201073152,1758904775456197120,255.124,1.0,0.208320147224835,0.5521441570350102,12.816999168,13.072123136,0
25,1758904775491320064,1758904775861569024,370.249,1.0,0.2428974906603495,0.639140847656462,13.10724608,13.47749504,0
26,1758904775911694080,1758904776236943104,325.249,1.0,0.4251244877065931,0.7115616500377655,13.527620096,13.85286912,1
27,1758904776297068032,1758904776457192960,160.125,1.0,0.6457751542329788,0.7967360429465771,13.912994048,14.073118976,2
