cluster,centroid_x,centroid_y,n_fixations,sum_duration_s
0,0.6240673902504835,0.3815328573604435,6,7.797243
1,0.27251794869125046,0.21584283461049317,10,3.958502
2,0.4708119310438633,0.3075484533276822,10,2.847783
3,0.5934023321002394,0.500359909179119,13,4.224114
4,0.2090496751121603,0.3765883455769374,4,1.476643
5,0.3845457122224329,0.4050115891446957,21,12.261251000000001
6,0.4787186195453008,0.763437814017137,3,1.056012
7,0.2629590729428899,0.6832168457560431,23,7.071903
8,0.5528453082426802,0.7295475543512926,4,1.556374
9,0.6708865625001651,0.7890159517236345,3,1.015889
10,0.766298204196824,0.9047369149918595,10,2.632377
11,0.8354025656647153,0.7473051123652195,5,1.5262490000000002
12,0.29151562981544027,0.8499904233430113,12,3.7829940000000004
13,0.1855305720800681,0.8731184732627182,6,2.156872
14,0.2151449657976627,0.10926859577496839,2,0.380369
15,0.5930196118174177,0.11292216768770498,3,1.020876
16,0.7763821810603801,0.32135848470852557,17,8.52288
17,0.8560030099359296,0.38394798977034433,4,1.191247
18,0.8290036454345241,0.5156890863119953,5,1.986869
19,0.1782228913526613,0.26010285203273475,2,1.2161279999999999
20,0.17054074071347708,0.583806611597538,2,0.5305
21,0.6577582669754822,0.25208431730667746,2,0.565616
22,0.4186509341829353,0.18312724704543745,4,1.526363
23,0.5859044029687841,0.8760143052941809,8,2.502119
24,0.4405489150020811,0.8579208892252711,3,0.400375
25,0.6148256585001945,0.9471904770471156,2,0.36025699999999994
26,0.7267673035462697,0.2250746518373489,2,0.50038
27,0.8157640397548676,0.10254792571067806,2,0.425375
28,0.6923556923866272,0.7005004644393922,2,0.370379
29,-0.2500441987757329,0.49137584226472036,3,1.3662569999999998
