,Participant 1,Participant 2,Participant 3,Participant 4,Participant 5,Participant 6,Participant 7,Participant 8,Participant 9,Participant 10,Participant 11
Participant 1,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5
Participant 2,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0
Participant 3,0.0,0.0,0.75,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Participant 4,0.25,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.25
Participant 5,0.0,0.0,0.0,0.25,0.5,0.0,0.0,0.25,0.0,0.0,0.0
Participant 6,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.25,0.0,0.25
Participant 7,0.0,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.25,0.0,0.25
Participant 8,0.0,0.25,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.25
Participant 9,0.0,0.0,0.0,0.0,0.25,0.0,0.25,0.0,0.5,0.0,0.0
Participant 10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.75,0.0
Participant 11,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
