source_row,participant_real_id,participant_prezis_id,participant_real,participant_prezis,metoda,distanta_predictie,corect
0,61db42a9,c0419fea,Participant 1,Participant 6,toate_metricile,1.8416852072706107,0
1,61db42a9,95032692,Participant 1,Participant 2,toate_metricile,1.84575212766616,0
2,95032692,410567f0,Participant 2,Participant 11,toate_metricile,3.4436928356106242,0
3,95032692,05411873,Participant 2,Participant 4,toate_metricile,1.998698589675012,0
6,2ec86210,2ec86210,Participant 3,Participant 3,toate_metricile,4.202224103596023,1
7,2ec86210,2ec86210,Participant 3,Participant 3,toate_metricile,3.1312411529457385,1
8,2ec86210,2ec86210,Participant 3,Participant 3,toate_metricile,3.2003793906083233,1
9,2ec86210,c0419fea,Participant 3,Participant 6,toate_metricile,2.6505403379865315,0
10,05411873,05411873,Participant 4,Participant 4,toate_metricile,1.761849090652737,1
11,05411873,2699d4a1,Participant 4,Participant 7,toate_metricile,0.7166749445198405,0
12,05411873,2699d4a1,Participant 4,Participant 7,toate_metricile,3.577852876383912,0
13,05411873,c0419fea,Participant 4,Participant 6,toate_metricile,1.8396328271137001,0
14,115b6a40,c0419fea,Participant 5,Participant 6,toate_metricile,1.7930809809617372,0
15,115b6a40,91230d39,Participant 5,Participant 9,toate_metricile,2.5052219448789406,0
16,115b6a40,95032692,Participant 5,Participant 2,toate_metricile,1.323060235678594,0
17,115b6a40,115b6a40,Participant 5,Participant 5,toate_metricile,1.9436924639894864,1
18,c0419fea,91230d39,Participant 6,Participant 9,toate_metricile,3.091740172879375,0
19,c0419fea,410567f0,Participant 6,Participant 11,toate_metricile,2.790942830796544,0
20,c0419fea,b4f7a1df,Participant 6,Participant 8,toate_metricile,1.8878748532068408,0
21,c0419fea,91230d39,Participant 6,Participant 9,toate_metricile,1.3790691820298875,0
22,2699d4a1,05411873,Participant 7,Participant 4,toate_metricile,2.8654956202374287,0
23,2699d4a1,61db42a9,Participant 7,Participant 1,toate_metricile,2.038747955534427,0
24,2699d4a1,91230d39,Participant 7,Participant 9,toate_metricile,2.0937277495677904,0
25,2699d4a1,c0419fea,Participant 7,Participant 6,toate_metricile,1.4954138397484418,0
26,b4f7a1df,410567f0,Participant 8,Participant 11,toate_metricile,2.2916917010594156,0
27,b4f7a1df,c0419fea,Participant 8,Participant 6,toate_metricile,1.6559148729710707,0
28,b4f7a1df,b4f7a1df,Participant 8,Participant 8,toate_metricile,3.2218433523381442,1
29,b4f7a1df,05411873,Participant 8,Participant 4,toate_metricile,1.5674543033589126,0
30,91230d39,05411873,Participant 9,Participant 4,toate_metricile,2.3060742936588516,0
31,91230d39,2699d4a1,Participant 9,Participant 7,toate_metricile,2.319415496930968,0
32,91230d39,91230d39,Participant 9,Participant 9,toate_metricile,2.888953791959618,1
33,91230d39,2699d4a1,Participant 9,Participant 7,toate_metricile,1.3650424882145766,0
34,36589e44,61db42a9,Participant 10,Participant 1,toate_metricile,1.6091251345693358,0
35,36589e44,36589e44,Participant 10,Participant 10,toate_metricile,2.926466654436638,1
36,36589e44,36589e44,Participant 10,Participant 10,toate_metricile,2.2322454055042877,1
37,36589e44,36589e44,Participant 10,Participant 10,toate_metricile,1.5147642370062822,1
38,410567f0,95032692,Participant 11,Participant 2,toate_metricile,1.4302894575093712,0
39,410567f0,95032692,Participant 11,Participant 2,toate_metricile,2.4375059006798923,0
40,410567f0,b4f7a1df,Participant 11,Participant 8,toate_metricile,1.651696189284773,0
41,410567f0,36589e44,Participant 11,Participant 10,toate_metricile,3.7200554821202347,0
0,61db42a9,2699d4a1,Participant 1,Participant 7,top4_semnal_individual,0.586522203689382,0
1,61db42a9,410567f0,Participant 1,Participant 11,top4_semnal_individual,0.6577868394022949,0
2,95032692,b4f7a1df,Participant 2,Participant 8,top4_semnal_individual,2.449035523654041,0
3,95032692,05411873,Participant 2,Participant 4,top4_semnal_individual,0.990963936412524,0
6,2ec86210,2ec86210,Participant 3,Participant 3,top4_semnal_individual,1.2792513237560903,1
7,2ec86210,2ec86210,Participant 3,Participant 3,top4_semnal_individual,1.510661976786312,1
8,2ec86210,2ec86210,Participant 3,Participant 3,top4_semnal_individual,2.0847843026976287,1
9,2ec86210,05411873,Participant 3,Participant 4,top4_semnal_individual,0.6877881400922287,0
10,05411873,61db42a9,Participant 4,Participant 1,top4_semnal_individual,0.761501687394564,0
11,05411873,c0419fea,Participant 4,Participant 6,top4_semnal_individual,0.49246623447156396,0
12,05411873,2ec86210,Participant 4,Participant 3,top4_semnal_individual,1.4932611802939428,0
13,05411873,410567f0,Participant 4,Participant 11,top4_semnal_individual,0.8180434910086375,0
14,115b6a40,05411873,Participant 5,Participant 4,top4_semnal_individual,0.8721427748287712,0
15,115b6a40,115b6a40,Participant 5,Participant 5,top4_semnal_individual,1.329121219653502,1
16,115b6a40,b4f7a1df,Participant 5,Participant 8,top4_semnal_individual,0.6666210942492354,0
17,115b6a40,115b6a40,Participant 5,Participant 5,top4_semnal_individual,1.313049929843288,1
18,c0419fea,91230d39,Participant 6,Participant 9,top4_semnal_individual,0.5753758538795024,0
19,c0419fea,410567f0,Participant 6,Participant 11,top4_semnal_individual,1.1475808189104977,0
20,c0419fea,c0419fea,Participant 6,Participant 6,top4_semnal_individual,0.8814237544273787,1
21,c0419fea,2699d4a1,Participant 6,Participant 7,top4_semnal_individual,0.6572636618750589,0
22,2699d4a1,05411873,Participant 7,Participant 4,top4_semnal_individual,1.4217023545848066,0
23,2699d4a1,410567f0,Participant 7,Participant 11,top4_semnal_individual,0.9870130394652061,0
24,2699d4a1,91230d39,Participant 7,Participant 9,top4_semnal_individual,0.4197807380789081,0
25,2699d4a1,2699d4a1,Participant 7,Participant 7,top4_semnal_individual,0.5999759135918269,1
26,b4f7a1df,410567f0,Participant 8,Participant 11,top4_semnal_individual,0.8444836821179154,0
27,b4f7a1df,c0419fea,Participant 8,Participant 6,top4_semnal_individual,1.0432184785077447,0
28,b4f7a1df,95032692,Participant 8,Participant 2,top4_semnal_individual,1.8231654679068034,0
29,b4f7a1df,115b6a40,Participant 8,Participant 5,top4_semnal_individual,0.8666321003405003,0
30,91230d39,115b6a40,Participant 9,Participant 5,top4_semnal_individual,0.5978066040747632,0
31,91230d39,91230d39,Participant 9,Participant 9,top4_semnal_individual,0.738645942502824,1
32,91230d39,91230d39,Participant 9,Participant 9,top4_semnal_individual,2.0481689448505733,1
33,91230d39,2699d4a1,Participant 9,Participant 7,top4_semnal_individual,0.91820738114941,0
34,36589e44,b4f7a1df,Participant 10,Participant 8,top4_semnal_individual,0.44895021219297276,0
35,36589e44,36589e44,Participant 10,Participant 10,top4_semnal_individual,2.2674223589404474,1
36,36589e44,36589e44,Participant 10,Participant 10,top4_semnal_individual,0.7274423235369001,1
37,36589e44,36589e44,Participant 10,Participant 10,top4_semnal_individual,0.9177405532591641,1
38,410567f0,410567f0,Participant 11,Participant 11,top4_semnal_individual,0.7562417176327414,1
39,410567f0,95032692,Participant 11,Participant 2,top4_semnal_individual,0.41726564355471046,0
40,410567f0,61db42a9,Participant 11,Participant 1,top4_semnal_individual,0.6372964117916983,0
41,410567f0,410567f0,Participant 11,Participant 11,top4_semnal_individual,0.647616826181527,1
0,61db42a9,c0419fea,Participant 1,Participant 6,top5_semnal_individual,0.6533635014581108,0
1,61db42a9,410567f0,Participant 1,Participant 11,top5_semnal_individual,0.7245327575399856,0
2,95032692,410567f0,Participant 2,Participant 11,top5_semnal_individual,3.204113116335439,0
3,95032692,05411873,Participant 2,Participant 4,top5_semnal_individual,1.0479249738859309,0
6,2ec86210,2ec86210,Participant 3,Participant 3,top5_semnal_individual,1.3859227545062998,1
7,2ec86210,2ec86210,Participant 3,Participant 3,top5_semnal_individual,1.5108758112290328,1
8,2ec86210,2ec86210,Participant 3,Participant 3,top5_semnal_individual,2.251340264641156,1
9,2ec86210,05411873,Participant 3,Participant 4,top5_semnal_individual,0.9216866230253739,0
10,05411873,05411873,Participant 4,Participant 4,top5_semnal_individual,0.9450652486934032,1
11,05411873,c0419fea,Participant 4,Participant 6,top5_semnal_individual,0.5017827790195118,0
12,05411873,2ec86210,Participant 4,Participant 3,top5_semnal_individual,2.0195438893847877,0
13,05411873,61db42a9,Participant 4,Participant 1,top5_semnal_individual,0.9912175023930693,0
14,115b6a40,c0419fea,Participant 5,Participant 6,top5_semnal_individual,0.9513966541642175,0
15,115b6a40,115b6a40,Participant 5,Participant 5,top5_semnal_individual,1.5865604005416343,1
16,115b6a40,95032692,Participant 5,Participant 2,top5_semnal_individual,1.0783299763320313,0
17,115b6a40,115b6a40,Participant 5,Participant 5,top5_semnal_individual,1.4215093247435024,1
18,c0419fea,91230d39,Participant 6,Participant 9,top5_semnal_individual,1.1198584240992382,0
19,c0419fea,36589e44,Participant 6,Participant 10,top5_semnal_individual,1.249854841980314,0
20,c0419fea,61db42a9,Participant 6,Participant 1,top5_semnal_individual,0.9674815402199095,0
21,c0419fea,2699d4a1,Participant 6,Participant 7,top5_semnal_individual,0.7095245359354074,0
22,2699d4a1,05411873,Participant 7,Participant 4,top5_semnal_individual,1.6799052893085558,0
23,2699d4a1,61db42a9,Participant 7,Participant 1,top5_semnal_individual,1.0237141404447345,0
24,2699d4a1,91230d39,Participant 7,Participant 9,top5_semnal_individual,0.594678266024223,0
25,2699d4a1,c0419fea,Participant 7,Participant 6,top5_semnal_individual,0.6645863196344403,0
26,b4f7a1df,61db42a9,Participant 8,Participant 1,top5_semnal_individual,1.2665550052832022,0
27,b4f7a1df,c0419fea,Participant 8,Participant 6,top5_semnal_individual,1.0922030093502375,0
28,b4f7a1df,95032692,Participant 8,Participant 2,top5_semnal_individual,2.369178075364777,0
29,b4f7a1df,115b6a40,Participant 8,Participant 5,top5_semnal_individual,0.9445658985457802,0
30,91230d39,c0419fea,Participant 9,Participant 6,top5_semnal_individual,1.2995342194936692,0
31,91230d39,91230d39,Participant 9,Participant 9,top5_semnal_individual,0.7430566547305371,1
32,91230d39,91230d39,Participant 9,Participant 9,top5_semnal_individual,2.049433593345246,1
33,91230d39,2699d4a1,Participant 9,Participant 7,top5_semnal_individual,0.9540723236287972,0
34,36589e44,b4f7a1df,Participant 10,Participant 8,top5_semnal_individual,0.47555867703776766,0
35,36589e44,36589e44,Participant 10,Participant 10,top5_semnal_individual,2.319459562667419,1
36,36589e44,36589e44,Participant 10,Participant 10,top5_semnal_individual,0.9425689884700383,1
37,36589e44,36589e44,Participant 10,Participant 10,top5_semnal_individual,0.9252127279650295,1
38,410567f0,410567f0,Participant 11,Participant 11,top5_semnal_individual,0.8557387597004624,1
39,410567f0,95032692,Participant 11,Participant 2,top5_semnal_individual,0.4373566883628367,0
40,410567f0,61db42a9,Participant 11,Participant 1,top5_semnal_individual,0.7543062477639276,0
41,410567f0,410567f0,Participant 11,Participant 11,top5_semnal_individual,1.6177797255479243,1
0,61db42a9,c0419fea,Participant 1,Participant 6,top8_semnal_individual,1.1739761044946633,0
1,61db42a9,410567f0,Participant 1,Participant 11,top8_semnal_individual,0.9079140936486207,0
2,95032692,410567f0,Participant 2,Participant 11,top8_semnal_individual,3.233941738109636,0
3,95032692,05411873,Participant 2,Participant 4,top8_semnal_individual,1.4743503906175437,0
6,2ec86210,2ec86210,Participant 3,Participant 3,top8_semnal_individual,1.6065620942004708,1
7,2ec86210,2ec86210,Participant 3,Participant 3,top8_semnal_individual,1.6105989182699547,1
8,2ec86210,2ec86210,Participant 3,Participant 3,top8_semnal_individual,2.312335902334274,1
9,2ec86210,05411873,Participant 3,Participant 4,top8_semnal_individual,1.5872655331335674,0
10,05411873,05411873,Participant 4,Participant 4,top8_semnal_individual,1.0569217799568162,1
11,05411873,c0419fea,Participant 4,Participant 6,top8_semnal_individual,0.5654306065537879,0
12,05411873,2ec86210,Participant 4,Participant 3,top8_semnal_individual,2.991908266780475,0
13,05411873,61db42a9,Participant 4,Participant 1,top8_semnal_individual,1.2179684821964019,0
14,115b6a40,c0419fea,Participant 5,Participant 6,top8_semnal_individual,1.1129625524413505,0
15,115b6a40,91230d39,Participant 5,Participant 9,top8_semnal_individual,2.4366540936895307,0
16,115b6a40,95032692,Participant 5,Participant 2,top8_semnal_individual,1.1388953390523713,0
17,115b6a40,115b6a40,Participant 5,Participant 5,top8_semnal_individual,1.6290612874068215,1
18,c0419fea,91230d39,Participant 6,Participant 9,top8_semnal_individual,1.8941602964911723,0
19,c0419fea,36589e44,Participant 6,Participant 10,top8_semnal_individual,1.2725110767296337,0
20,c0419fea,c0419fea,Participant 6,Participant 6,top8_semnal_individual,1.1575867773306843,1
21,c0419fea,2699d4a1,Participant 6,Participant 7,top8_semnal_individual,1.0770245985898206,0
22,2699d4a1,05411873,Participant 7,Participant 4,top8_semnal_individual,2.2071250890753813,0
23,2699d4a1,61db42a9,Participant 7,Participant 1,top8_semnal_individual,1.079977500829359,0
24,2699d4a1,91230d39,Participant 7,Participant 9,top8_semnal_individual,1.7903092639510918,0
25,2699d4a1,05411873,Participant 7,Participant 4,top8_semnal_individual,0.986635574021063,0
26,b4f7a1df,61db42a9,Participant 8,Participant 1,top8_semnal_individual,1.7249973608357374,0
27,b4f7a1df,c0419fea,Participant 8,Participant 6,top8_semnal_individual,1.4304467465369033,0
28,b4f7a1df,b4f7a1df,Participant 8,Participant 8,top8_semnal_individual,2.89802940376679,1
29,b4f7a1df,b4f7a1df,Participant 8,Participant 8,top8_semnal_individual,1.4715681556048479,1
30,91230d39,c0419fea,Participant 9,Participant 6,top8_semnal_individual,1.644431756607132,0
31,91230d39,91230d39,Participant 9,Participant 9,top8_semnal_individual,0.8747903869605945,1
32,91230d39,91230d39,Participant 9,Participant 9,top8_semnal_individual,2.807588837347332,1
33,91230d39,2699d4a1,Participant 9,Participant 7,top8_semnal_individual,1.0512875117272489,0
34,36589e44,61db42a9,Participant 10,Participant 1,top8_semnal_individual,1.1831273345320832,0
35,36589e44,36589e44,Participant 10,Participant 10,top8_semnal_individual,2.360815813811491,1
36,36589e44,36589e44,Participant 10,Participant 10,top8_semnal_individual,1.0031920773937302,1
37,36589e44,36589e44,Participant 10,Participant 10,top8_semnal_individual,0.9323717222655712,1
38,410567f0,95032692,Participant 11,Participant 2,top8_semnal_individual,1.2172885867323022,0
39,410567f0,95032692,Participant 11,Participant 2,top8_semnal_individual,1.403014679322981,0
40,410567f0,61db42a9,Participant 11,Participant 1,top8_semnal_individual,1.0185337811047204,0
41,410567f0,95032692,Participant 11,Participant 2,top8_semnal_individual,1.850841120453586,0
0,61db42a9,c0419fea,Participant 1,Participant 6,scoruri_de_stil,0.28905450850334935,0
1,61db42a9,95032692,Participant 1,Participant 2,scoruri_de_stil,0.5124644156621795,0
2,95032692,36589e44,Participant 2,Participant 10,scoruri_de_stil,0.8862082745724911,0
3,95032692,05411873,Participant 2,Participant 4,scoruri_de_stil,0.4719359825752088,0
6,2ec86210,2ec86210,Participant 3,Participant 3,scoruri_de_stil,0.6667999787162779,1
7,2ec86210,2ec86210,Participant 3,Participant 3,scoruri_de_stil,0.7085103693954129,1
8,2ec86210,2ec86210,Participant 3,Participant 3,scoruri_de_stil,1.2766357569830085,1
9,2ec86210,c0419fea,Participant 3,Participant 6,scoruri_de_stil,0.8340165582364402,0
10,05411873,05411873,Participant 4,Participant 4,scoruri_de_stil,0.34289217354313506,1
11,05411873,2699d4a1,Participant 4,Participant 7,scoruri_de_stil,0.28722031160699046,0
12,05411873,91230d39,Participant 4,Participant 9,scoruri_de_stil,1.7710165552260682,0
13,05411873,b4f7a1df,Participant 4,Participant 8,scoruri_de_stil,0.5904570627647596,0
14,115b6a40,b4f7a1df,Participant 5,Participant 8,scoruri_de_stil,0.29277672775075586,0
15,115b6a40,91230d39,Participant 5,Participant 9,scoruri_de_stil,0.8056155350561747,0
16,115b6a40,95032692,Participant 5,Participant 2,scoruri_de_stil,0.3571104045219424,0
17,115b6a40,115b6a40,Participant 5,Participant 5,scoruri_de_stil,0.6536609044935288,1
