indicator,valoare
segmente_initiale,42
segmente_folosite,40
participanti,11
segmente_fara_fixatii_eliminate,2
segmente_cu_flag_calitate_pastrate,2
cea_mai_buna_metoda,top4_semnal_individual
balanced_accuracy,0.3181818181818182
balanced_accuracy_sansa,0.09090909090909091
stil_propriu_mai_apropiat_medie,0.55
semnal_individual_fixation_rate_per_s,0.6365530480965226
semnal_individual_scanpath_length_per_s,0.4756160528919604
semnal_individual_waldo_time_ratio,0.46303218276362024
semnal_individual_fixation_grid_entropy_4x4,0.4193302725194371
semnal_individual_spatial_coverage_hull,0.4130188807541173
stil_dominant_participant_1,focus_pe_tinta
stil_dominant_participant_10,ritm_vizual
stil_dominant_participant_11,explorare_larga
stil_dominant_participant_2,explorare_larga
stil_dominant_participant_3,focus_pe_tinta
stil_dominant_participant_4,orientare_eficienta
stil_dominant_participant_5,focus_pe_tinta
stil_dominant_participant_6,focus_pe_tinta
stil_dominant_participant_7,focus_pe_tinta
stil_dominant_participant_8,ritm_vizual
stil_dominant_participant_9,focus_pe_tinta
