metric,metric_label,level_r2,level_plus_participant_r2,participant_incremental_r2
fixation_rate_per_s,Rată fixații,0.003246064497945844,0.6397991125944684,0.6365530480965226
scanpath_length_per_s,Scanpath/s,0.09578119346937242,0.5713972463613328,0.4756160528919604
waldo_time_ratio,Timp Waldo,0.15462684892797818,0.6176590316915984,0.46303218276362024
fixation_grid_entropy_4x4,Entropie 4x4,0.16770405463973093,0.587034327159168,0.4193302725194371
spatial_coverage_hull,Acoperire,0.14113545681578366,0.554154337569901,0.4130188807541173
transition_entropy_4x4,Entropie tranziții,0.22408343912160522,0.6164369309094186,0.3923534917878134
gaze_entropy,Entropie privire,0.3026123199042656,0.6777360900506086,0.375123770146343
waldo_fixation_ratio,Raport Waldo,0.1545232424138584,0.5254130936166131,0.37088985120275475
total_fixations,Fixații,0.3623850749481137,0.7283722187481857,0.365987143800072
mean_distance_to_target,Distanță țintă,0.3376597791221527,0.6728914424543188,0.33523166333216603
direct_waldo_ratio,Hit direct,0.206952100380143,0.5099292477247401,0.30297714734459713
level_duration_s,Durata,0.3707890234641411,0.6722676232435087,0.30147859977936764
peripheral_gaze_rate,Hit periferic,0.2420205077809604,0.5092034144848565,0.2671829067038961
ttff_waldo_s,TTFF,0.17498008850251,0.4204035473576905,0.24542345885518047
