recording_id,participant_id,level_name,annotated_duration_s,gaze_points_raw,gaze_points_per_s,gaze_in_bounds_ratio_raw,gaze_entropy_raw,level_duration_s,total_fixations,avg_fixation_duration_s,total_fixation_duration_s,saccade_length_avg,saccade_length_median,scanpath_length_total,scanpath_length_per_s,fixation_dispersion,fixation_revisits,spatial_coverage_hull,fixation_grid_entropy_4x4,transition_entropy_4x4,unique_grid_cells_4x4,mean_distance_to_target,min_distance_to_target,waldo_fixations,waldo_fixation_duration_total_s,waldo_fixation_duration_avg_s,waldo_fixation_ratio,waldo_time_ratio,waldo_first_fixation_s,waldo_last_fixation_s,waldo_revisits,ttff_waldo_s,ttff_waldo_ratio,verification_time_after_first_hit_s,verification_time_ratio,direct_waldo_ratio,first_hit_type,gaze_entropy,surface_visibility_ratio_global,surface_gaze_ratio_global,fixation_density,fixation_rate_per_s,peripheral_gaze_rate,num_fixations_total,num_fixations_waldo,saliency_std,saliency_range,NSS_all_vs_saliency,NSS_waldo_vs_saliency,KL_fixmap_saliency,Pearson_fixmap_saliency,AUCJ_fix_saliency,AUCJ_waldo_saliency,SIM_fixmap_saliency,IG_fix_vs_centerbias,IG_waldo_vs_centerbias,TTFF_s
2025-09-26_16-24-13-61db42a9,61db42a9,waldo_3,60.785,10883,179.04088179649585,0.9948543600110263,7.528957096587925,60.785,149,0.359258100671141,53.52945700000001,0.1392861540487231,0.108050985063857,20.614350799211028,0.3391354906508353,0.2106277608452069,0.0,0.5047011277603441,3.6270286577609903,1.8670559984188912,15,0.4124412993807413,0.0069787454874511,4,4.273873000000001,1.0684682500000002,0.0268456375838926,0.0798415160460155,35.292742144,60.21073408,0.0,35.292742144,0.5806159767047792,25.492257855999995,0.4193840232952208,0.5,peripheral,7.528957096587925,0.8288469264764966,0.8159208050396793,0.0722249151720794,2.4512626470346306,0.5,149.0,4.0,0.3024527728557586,1.0,0.6321648483051882,0.6891070354242845,0.629701942566895,0.3749799856583625,0.7040973154362415,0.7901874999999999,0.5823432048443747,-0.0704157172008757,0.5624198435924823,35.292742144
2025-09-26_16-24-13-61db42a9,61db42a9,waldo_4,35.35999999999999,6103,172.5961538461539,0.9885302310339178,6.511299199917389,35.35999999999999,89,0.3484114831460673,31.008621999999995,0.1800792415085274,0.1380643998721533,15.846973252750416,0.4481610082791408,0.2353305454766222,1.0,0.9400198020692128,3.488994882189216,1.774457204042755,16,0.3101896302683743,0.0049043828704825,6,6.876375,1.1460625,0.0674157303370786,0.221756871363068,61.091620864,95.548472064,0.0,0.1996208639999963,0.0056453864253392,35.160379136,0.9943546135746608,0.3333333333333333,peripheral,6.511299199917389,0.8288469264764966,0.8159208050396793,0.0431410567135239,2.516968325791856,0.6666666666666666,89.0,6.0,0.2657376229763031,1.0,0.6689908870325265,0.922448922491426,1.012729487440272,0.2732302052048623,0.6940365168539326,0.8604583333333333,0.4739464431785971,-0.1185854530894704,-0.5605671071072006,0.1996208639999963
2025-09-26_16-45-00-95032692,95032692,waldo_1,98.074,15448,157.51371413422518,0.9903547384774728,7.888704400526144,98.074,334,0.2941346137724551,98.24096100000004,0.16211981182733,0.0831976111879413,53.9858973385009,0.5504608493433621,0.2664489498643563,12.0,3.980789675784332,3.662931117979556,2.0393890923846065,16,0.2915939409510973,0.0243644844784875,5,3.623246,0.7246492,0.0149700598802395,0.0368812149547274,75.01423499999994,97.5354539999999,0.0,75.01423499999994,0.7648738197687455,23.059765000000056,0.2351261802312545,0.2,direct,7.888704400526144,0.6763300414144632,0.6715195632393085,0.1573245407442298,3.405591696066236,0.8,334.0,5.0,0.2580260634422302,1.0,0.6054657283234871,1.218624814106093,0.6836489299587939,0.3942414911707829,0.691245508982036,0.9591,0.5713051456922393,-0.1251911092398945,-0.5964132352580407,75.01423499999994
2025-09-26_16-45-00-95032692,95032692,waldo_2,10.638999999999996,1367,128.4895196917004,0.9839063643013899,5.857843637287093,10.638999999999996,19,0.3505852631578947,6.66112,0.1547648276011217,0.1500084262426457,2.785766896820192,0.2618448065438662,0.1116198144977277,0.0,0.0714134578443363,2.0418145155018155,1.133687330920372,5,0.2392610098405433,0.0446867272676943,1,0.190125,0.190125,0.0526315789473684,0.0285424973578016,102.86005999999988,102.86005999999988,0.0,0.9430599999998748,0.0886417896418719,9.69594000000012,0.911358210358128,1.0,direct,5.857843637287093,0.6763300414144632,0.6715195632393085,0.0089495996231747,1.7858821317793032,0.0,19.0,1.0,0.2959208786487579,1.0,0.8018257948350156,0.5065974211307424,2.416295494443712,0.1557154244074304,0.8626973684210526,0.562,0.156596724137858,-0.6795846341467144,0.2335305052130252,0.9430599999998748
2025-09-26_16-45-00-95032692,95032692,waldo_3,5.025000000000006,699,139.10447761194015,1.0,2.4531019258535602,5.025000000000006,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,none,2.45310192585356,0.6763300414144632,0.6715195632393085,0.0,0.0,0.0,,,,,,,,,,,,,,
2025-09-26_16-45-00-95032692,95032692,waldo_4,14.481999999999985,1617,111.65584863969076,1.0,5.110009289978714,14.481999999999983,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,none,5.110009289978714,0.6763300414144632,0.6715195632393085,0.0,0.0,0.0,,,,,,,,,,,,,,
2025-09-26_19-01-53-2ec86210,2ec86210,waldo_1,311.217,60800,195.36207854969362,0.9900328947368421,7.82332150450467,311.217,507,0.1238930887573964,62.813796,0.0697962580813801,0.0424971323719885,35.316906589178345,0.1134800045922245,0.1313069697598082,81.0,0.7283124985354653,2.539049172881689,1.4324528631545264,14,0.2444571285709686,0.0172277545726495,2,0.230125,0.1150625,0.0039447731755424,0.0036636060014586,6.621250048,309.96735488,0.0,6.621250048,0.0212753482232654,304.595749952,0.9787246517767346,0.0,peripheral,7.82332150450467,0.9564521293627922,0.9384680601297812,0.0565785068630733,1.6290883852745834,1.0,507.0,2.0,0.2580260634422302,1.0,0.8949251745344156,1.231875943505912,1.1685041618134968,0.3995228126565833,0.8445438856015779,0.957125,0.363520812558313,-0.5526451065638779,-0.6100506281692555,6.621250048
2025-09-26_19-01-53-2ec86210,2ec86210,waldo_2,11.329999999999984,2111,186.31950573698174,0.995736617716722,6.101070394870911,11.329999999999984,11,0.1223983636363636,1.346382,0.1434634686868217,0.0859939583798783,1.4346346868682178,0.1266226555046972,0.1124554395270423,0.0,0.0705595036334253,1.8585552118703144,1.2,4,0.2735267365923354,0.1570068491846644,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,none,6.101070394870911,0.9564521293627922,0.9384680601297812,0.0012275415690213,0.9708737864077684,0.0,11.0,0.0,0.2959208786487579,1.0,0.7336657602481139,,2.3565862786749587,0.1727617592739913,0.7904545454545454,,0.1480439401185645,-0.7265566582358978,,
2025-09-26_19-01-53-2ec86210,2ec86210,waldo_3,90.04500000000002,17075,189.6274085179632,0.9515080527086384,7.233248852778146,90.04500000000002,69,0.1140256811594202,7.867771999999999,0.1060554620236824,0.0677635016949654,7.211771417610405,0.080090748154927,0.1266232696574607,2.0,0.2394290691747379,1.8826160078610832,1.112781384993322,7,0.2454138660240688,0.0565086884580209,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,none,7.233248852778146,0.9564521293627922,0.9384680601297812,0.0077000334784064,0.7662835249042145,0.0,69.0,0.0,0.3024527728557586,1.0,0.5813908043782696,,1.78550849463232,0.1931952290185744,0.7134166666666666,,0.2536294658160585,-0.5344358754036181,,
2025-09-26_19-01-53-2ec86210,2ec86210,waldo_4,27.88100000000003,5181,185.8254725440262,0.9976838448176027,6.943838936597669,27.88100000000003,41,0.1089958292682927,4.468829,0.097236884405692,0.0601056730795582,3.889475376227684,0.1395027214313575,0.1072017113625038,1.0,0.164465149207289,2.051709463673241,1.2768706884034666,6,0.1680396145478086,0.0498578413682204,1,0.13,0.13,0.024390243902439,0.0290903948215516,447.484832768,447.484832768,0.0,24.00783276800001,0.8610821981994903,3.8731672320000143,0.1389178018005096,0.0,peripheral,6.943838936597669,0.9564521293627922,0.9384680601297812,0.0045753822118067,1.470535490118717,1.0,41.0,1.0,0.2657376229763031,1.0,0.8490323443262984,0.923783351040706,1.788114917628459,0.2452193384988694,0.8008658536585366,0.90275,0.2436598644562557,-0.6594067455612035,-0.7160834568267163,24.00783276800001
2025-09-26_19-10-19-05411873,05411873,waldo_1,79.06,14161,179.11712623324058,0.9985876703622626,7.20137457605377,79.06,188,0.3711188031914893,69.77033499999999,0.0971038991925227,0.0791935724533209,18.158429149001748,0.2296790937136573,0.1947556222951804,5.0,0.4991330260138521,3.32480925104892,1.473059523475235,14,0.2983619070066303,0.0126241265580185,5,5.620127,1.1240254,0.026595744680851,0.0805518133172214,9.939251968,84.49337088,0.0,2.944251968000001,0.037240728155831,76.115748032,0.962759271844169,0.4,direct,7.20137457605377,0.8707482993197279,0.8621211533237612,0.0815972222222222,2.3779408044523147,0.6,188.0,5.0,0.2580260634422302,1.0,0.7525356928146864,1.3083290067489597,0.8404277103897677,0.3656246718383358,0.7569680851063829,0.97445,0.5094624450359846,-0.1365854622231786,-0.5746401350567041,2.944251968000001
2025-09-26_19-10-19-05411873,05411873,waldo_2,3.891999999999996,767,197.07091469681419,0.9608865710560626,3.990730719647793,3.891999999999996,9,0.4448755555555556,4.0038800000000005,0.1285889576905623,0.1060456140063886,1.0287116615244989,0.2643144042971479,0.1106679119660456,0.0,0.0664766317054971,2.058813890331201,0.75,5,0.1685243815607815,0.0110406937156681,2,1.791749,0.8958745,0.2222222222222222,0.4475031719232344,91.159494912,91.795126016,0.0,3.1834949120000005,0.8179586104830431,0.7085050879999955,0.1820413895169569,1.0,direct,3.990730719647793,0.8707482993197279,0.8621211533237612,0.00390625,2.312435765673178,0.0,9.0,2.0,0.2959208786487579,1.0,0.6826374550532057,0.6381564909315767,2.5064365691311714,0.1343556760783675,0.736,0.7032499999999999,0.1481295448857317,-0.4425176672786695,-0.3847652814723625,3.1834949120000005
2025-09-26_19-10-19-05411873,05411873,waldo_3,3.792999999999992,650,171.36831004481976,1.0,2.9063600921614805,3.792999999999992,7,0.6534445714285714,4.574112,0.0985028919223753,0.1086431004566882,0.5910173515342522,0.1558179149839845,0.0975285582638594,0.0,0.034845183134922,1.3787834934861751,0.8741854163060885,3,0.2656853692465498,0.0669726425108899,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,none,2.9063600921614805,0.8707482993197279,0.8621211533237612,0.0030381944444444,1.8455048774057512,0.0,7.0,0.0,0.3024527728557586,1.0,0.5905058075822401,,2.94378075932515,0.0874474950040981,0.6568214285714286,,0.1181088800581625,-0.3464072880308183,,
2025-09-26_19-10-19-05411873,05411873,waldo_4,15.960000000000008,2868,179.69924812030067,1.0,5.010574653607361,15.960000000000008,34,0.4423312352941176,15.039262,0.157622633085512,0.1469414762604911,5.201546891821897,0.3259114593873367,0.1327027931252444,1.0,0.192209914709355,2.53643617010549,1.492192985914481,8,0.2047107974178434,0.0513939589126978,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,none,5.010574653607361,0.8707482993197279,0.8621211533237612,0.0147569444444444,2.13032581453634,0.0,34.0,0.0,0.2657376229763031,1.0,0.8768160057385884,,1.8079465576323963,0.2332318746158976,0.789625,,0.2556090567936542,-0.3678314956776496,,
2025-09-26_19-12-44-115b6a40,115b6a40,waldo_1,128.20499999999998,24212,188.85378885378887,0.9935569139269783,7.663350090805143,128.20499999999998,308,0.3768099772727273,116.057473,0.1198306047399169,0.0949413046405037,36.7879956551545,0.2869466530568582,0.1717522017211654,13.0,0.7004032182665543,2.9136091716269403,1.7537384230060258,15,0.2166245239303378,0.012807382898321,16,9.108261,0.5692663125,0.0519480519480519,0.0784806076210189,30.313124864,134.69986304,2.0,21.973124864,0.1713905453297453,106.231875136,0.8286094546702547,0.1875,peripheral,7.663350090805143,0.8738431563565514,0.8637969644190097,0.0858416945373467,2.402402402402403,0.8125,308.0,16.0,0.2580260634422302,1.0,0.9089055370293702,1.2423659502800413,0.8411193220093296,0.4606587315636725,0.8293092532467532,0.964890625,0.4921936899967672,-0.3400768160564075,-0.5806796597406941,21.973124864
2025-09-26_19-12-44-115b6a40,115b6a40,waldo_2,1.5769999999999982,305,193.40519974635407,1.0,2.720512794094527,1.5769999999999982,5,0.2832937999999999,1.4164689999999998,0.1051174806731905,0.1076828499579308,0.4204699226927622,0.266626457002386,0.0744866129754705,0.0,0.0152722433841161,1.521928094887362,0.5,3,0.0850011014137587,0.015301084753434,3,0.960978,0.320326,0.6,0.678432072992773,139.454236928,139.874619904,0.0,0.7912369279999893,0.5017355282181295,0.7857630720000088,0.4982644717818705,1.0,direct,2.720512794094527,0.8738431563565514,0.8637969644190097,0.0013935340022296,3.1705770450221977,0.0,5.0,3.0,0.2959208786487579,1.0,0.7002187023594502,0.5475244700822897,2.984301004426745,0.102967852866845,0.7268,0.6125833333333334,0.0931486202814846,-0.3625331197148284,-0.2750852084712895,0.7912369279999893
2025-09-26_19-12-44-115b6a40,115b6a40,waldo_3,45.269000000000005,6524,144.11628266584194,0.9780809319435929,7.4096364813269995,45.269000000000005,136,0.2736770073529411,37.220073,0.1714710920211562,0.1113825017033165,23.14859742285609,0.5113565005380302,0.2095878012206607,4.0,0.8850202041794273,3.279703543136451,1.909426340356185,16,0.4355741408104617,0.0227318239762269,1,0.18025,0.18025,0.0073529411764705,0.0048428169391285,187.899102976,187.899102976,0.0,43.37410297599999,0.9581413986613352,1.8948970240000165,0.0418586013386647,0.0,peripheral,7.409636481326999,0.8738431563565514,0.8637969644190097,0.0379041248606466,3.004263403211911,1.0,136.0,1.0,0.3024527728557586,1.0,0.6007689677158181,0.7702313251438656,0.9007771977519208,0.3285096641732711,0.7341580882352942,0.87725,0.5012624680549811,-0.2979839572900966,0.9413227722729616,43.37410297599999
2025-09-26_19-12-44-115b6a40,115b6a40,waldo_4,1.429000000000002,286,200.13995801259594,1.0,1.565876448103261,1.429000000000002,6,0.325313,1.951878,0.1022979253701266,0.1204800642851727,0.5114896268506335,0.3579353581879865,0.0504158106048039,0.0,0.0081109616753294,0.6500224216483541,0.6490224995673063,2,0.0582664391990553,0.0272541683800466,2,1.171125,0.5855625,0.3333333333333333,0.5999990778112156,192.548477952,193.43922688,0.0,0.2424779520000015,0.1696836613016103,1.1865220480000005,0.8303163386983896,0.0,peripheral,1.565876448103261,0.8738431563565514,0.8637969644190097,0.0016722408026755,4.198740377886628,1.0,6.0,2.0,0.2657376229763031,1.0,0.832120005020159,0.7948164541769609,3.33138308176803,0.0973708030222677,0.8271666666666667,0.81325,0.0776356835429856,-0.5464553606373581,-0.47234018766079,0.2424779520000015
2025-09-26_19-17-52-c0419fea,c0419fea,waldo_1,17.733,2838,160.0406022669599,0.9968287526427061,5.750744882590174,17.733,35,0.4371286285714285,15.299502,0.1384238694166414,0.08193136204357,4.706411560165809,0.2654041369292172,0.1526237577847608,1.0,0.2115314150979689,2.5930499892161576,1.552764338807977,8,0.2499983510017783,0.0216462107032441,2,3.333114,1.666557,0.0571428571428571,0.217857679289169,15.12900224,17.72636416,1.0,15.12900224,0.8531552608131732,2.6039977600000004,0.1468447391868268,0.0,peripheral,5.750744882590174,0.7178502879078695,0.7053781732530751,0.0311942959001782,1.97372131055095,1.0,35.0,2.0,0.2580260634422302,1.0,0.9207414083867792,1.4743587031083687,1.5070417553951885,0.2998305553953444,0.8432357142857142,0.993875,0.3021205850842202,-0.2382370816869568,-0.5539337713416206,15.12900224
2025-09-26_19-17-52-c0419fea,c0419fea,waldo_2,17.142000000000003,2902,169.29179792322947,1.0,6.423818170604946,17.142000000000003,43,0.3297205581395349,14.177984,0.1835645214233941,0.1425940204148511,7.709709899782554,0.4497555652655788,0.2224705236603501,1.0,0.3730301757045034,3.574505384808137,1.4852509620858043,14,0.3703908955492959,0.0347067898697161,2,1.331125,0.6655625,0.0465116279069767,0.0938867613336282,28.386363136,33.415988224,0.0,10.160363136,0.5927174854742736,6.981636864000002,0.4072825145257263,1.0,direct,6.423818170604946,0.7178502879078695,0.7053781732530751,0.0383244206773618,2.5084587562711462,0.0,43.0,2.0,0.2959208786487579,1.0,0.6665275994130302,0.4862920792040067,1.1090307601885527,0.3166901849452561,0.7175058139534884,0.5453749999999999,0.3830123523579528,0.0430660263675338,-0.0413229460976642,10.160363136
