recording_id,participant_id,total_fixations_raw,total_gaze_points_raw,fix_out_of_bounds_pct,fix_surface_low_conf_pct,gaze_out_of_bounds_pct,fix_timestamp_truncated,surface_visible_frames,surface_total_frames,surface_visibility_ratio,surface_gaze_count,surface_total_gaze_count,surface_gaze_ratio
2025-09-26_16-24-13-61db42a9,61db42a9,300,20269,0.6666666666666667,4.333333333333334,1.593566530169224,False,2063,2489,0.8288469264764966,19946,24446,0.8159208050396793
2025-09-26_16-45-00-95032692,95032692,368,20861,2.4456521739130435,4.3478260869565215,0.944345908633335,True,2123,3139,0.6763300414144632,20664,30772,0.6715195632393085
2025-09-26_19-01-53-2ec86210,2ec86210,659,88021,0.7587253414264037,0.7587253414264037,1.909771531793549,False,8961,9369,0.9564521293627922,86340,92001,0.9384680601297812
2025-09-26_19-10-19-05411873,05411873,288,22451,1.7361111111111112,4.166666666666666,1.0467239766602825,False,2304,2646,0.8707482993197279,22216,25769,0.8621211533237612
2025-09-26_19-12-44-115b6a40,115b6a40,519,35162,1.5414258188824663,2.312138728323699,1.2684147659405038,False,3588,4106,0.8738431563565514,34716,40190,0.8637969644190097
2025-09-26_19-17-52-c0419fea,c0419fea,157,10982,4.45859872611465,6.369426751592357,1.83026771079949,False,1122,1563,0.7178502879078695,10781,15284,0.7053781732530751
2025-09-26_19-27-31-2699d4a1,2699d4a1,226,20306,0.4424778761061947,4.424778761061947,1.3592041761055846,False,2068,2506,0.825219473264166,20030,24567,0.815321366060162
2025-09-26_19-29-58-b4f7a1df,b4f7a1df,369,28588,4.607046070460704,5.149051490514905,1.6965160207079895,False,2940,3397,0.865469531939947,28103,33042,0.8505235760547183
2025-09-26_19-37-31-91230d39,91230d39,218,14399,2.293577981651376,5.5045871559633035,3.514132925897632,False,1466,1841,0.7963063552417164,13893,18078,0.7685031530036508
2025-09-26_19-39-21-36589e44,36589e44,1338,87755,1.345291479820628,1.5695067264573992,1.3138852487037775,False,8930,9221,0.9684416006940679,86602,90610,0.9557664716918662
2025-09-26_20-20-21-410567f0,410567f0,595,47198,4.201680672268908,6.050420168067227,3.716259163523878,False,4805,5578,0.8614198637504482,45444,54782,0.829542550472783
