position_index,mean_attention,median_attention,n_sequences
0,0.1971113383769989,0.0007824570056982338,39
1,0.05610404908657074,0.0008207623613998294,39
2,0.09299937635660172,0.00025529746199026704,39
3,0.05387333780527115,8.07541873655282e-05,39
4,0.11002805083990097,0.00010319385910406709,38
5,0.04111362621188164,5.533325384021737e-05,34
6,0.1265498250722885,6.121578917372972e-05,33
7,0.0046994006261229515,8.922607230488211e-05,29
8,0.09174555540084839,0.00020508207671809942,28
9,0.05957125499844551,3.45635817211587e-05,25
10,0.055867522954940796,0.0001061737202689983,23
11,0.1555328071117401,4.206206722301431e-05,20
12,0.06390735507011414,3.422801455599256e-05,16
13,0.07485102117061615,2.798257628455758e-05,14
14,0.00461228284984827,2.6196468752459623e-05,11
15,0.21483460068702698,9.121341281570494e-05,9
16,0.33225375413894653,0.00019814082770608366,3
17,1.5730588529550005e-06,1.5730588529550005e-06,1
