feature,weight,abs_weight,direction
early_spatial_coverage_hull,-1.5541688,1.5541688,negative
early_total_fix_duration_s,1.3878946,1.3878946,positive
early_gaze_entropy,1.3300774,1.3300774,positive
early_gaze_count,-1.2972227,1.2972227,negative
early_saccade_length_avg,1.2914968,1.2914968,positive
early_scanpath_length_per_s,-1.1574949,1.1574949,negative
early_direct_hit_count,1.1549276,1.1549276,positive
early_hit_any,1.151514,1.151514,positive
early_fix_count,1.0877177,1.0877177,positive
early_min_distance_to_target,0.98993087,0.98993087,positive
early_waldo_hit_count,0.98825115,0.98825115,positive
early_peripheral_hit_count,0.85731715,0.85731715,positive
early_fixation_entropy_4x4,0.8279699,0.8279699,positive
early_transition_entropy_4x4,-0.6237887,0.6237887,negative
early_mean_saliency,-0.26701894,0.26701894,negative
early_saccade_length_median,0.12523904,0.12523904,positive
early_fix_rate,0.11590842,0.11590842,positive
early_scanpath_length_total,-0.10894411,0.10894411,negative
early_unique_grid_cells_4x4,0.09646794,0.09646794,positive
early_mean_distance_to_target,0.08733032,0.08733032,positive
early_max_saliency,0.08558537,0.08558537,positive
early_avg_fix_duration_s,-0.037266955,0.037266955,negative
