feature,weight,abs_weight,direction
early_gaze_count,1.1962976,1.1962976,positive
early_mean_saliency,1.0962596,1.0962596,positive
early_scanpath_length_per_s,-1.0118982,1.0118982,negative
early_saccade_length_median,-0.9616395,0.9616395,negative
early_saccade_length_avg,0.9207861,0.9207861,positive
early_avg_fix_duration_s,-0.8357144,0.8357144,negative
early_fixation_entropy_4x4,0.7650895,0.7650895,positive
early_fix_count,0.7504551,0.7504551,positive
early_spatial_coverage_hull,-0.7444656,0.7444656,negative
early_gaze_entropy,0.5892602,0.5892602,positive
early_fix_rate,-0.4352871,0.4352871,negative
early_unique_grid_cells_4x4,-0.41480997,0.41480997,negative
early_max_saliency,-0.40325832,0.40325832,negative
early_total_fix_duration_s,-0.27126524,0.27126524,negative
early_mean_distance_to_target,0.26716715,0.26716715,positive
early_transition_entropy_4x4,0.26576725,0.26576725,positive
early_scanpath_length_total,0.24673797,0.24673797,positive
early_min_distance_to_target,0.110598505,0.110598505,positive
