recording_id,num_fixations_total,num_fixations_waldo,NSS_all_vs_saliency,NSS_waldo_vs_saliency,KL_fixmap_saliency,Pearson_fixmap_saliency,AUCJ_fix_saliency,AUCJ_waldo_saliency
2025-09-26_16-24-13-61db42a9,300,10,0.07574384659528732,0.167854905128479,0.7217982094417558,0.052449333056103976,0.5314391891891892,0.5584
2025-09-26_16-45-00-95032692,368,6,-0.05160713195800781,-0.4275566041469574,0.9701313977123759,-0.09088457303013575,0.4496842105263158,0.3320833333333333
2025-09-26_19-01-53-2ec86210,659,3,-0.28162091970443726,-0.2196568250656128,1.4469343754680162,-0.14731169771577035,0.418906346749226,0.44966666666666666
2025-09-26_19-10-19-05411873,288,7,-0.06429167836904526,-0.18521878123283386,1.118078417254851,-0.056559400534199535,0.455559649122807,0.4383571428571428
2025-09-26_19-12-44-115b6a40,519,22,-0.12651696801185608,0.2825987935066223,1.1087232670737692,-0.041969736792276,0.4544404296875,0.630590909090909
2025-09-26_19-17-52-c0419fea,157,8,0.3438155949115753,0.4933013319969177,0.8020942752282614,0.21974170714819993,0.5884903846153846,0.6943125
2025-09-26_19-27-31-2699d4a1,226,17,-0.09615084528923035,0.010791637003421783,1.4430306724047963,-0.04845325878324577,0.4889708520179372,0.5231875
2025-09-26_19-29-58-b4f7a1df,369,3,0.3841966688632965,-0.11401194334030151,0.6908392628288563,0.11445719735140027,0.5662682584269663,0.4751666666666666
2025-09-26_19-37-31-91230d39,218,10,0.10048400610685349,0.40213099122047424,1.1887041887459147,-0.016633795254191182,0.5401921296296297,0.6576500000000001
2025-09-26_19-39-21-36589e44,1338,31,-0.09857536852359772,-0.4769989848136902,0.6525367235165259,-0.08382326582060126,0.4643884585592564,0.3506
2025-09-26_20-20-21-410567f0,595,4,0.013706469908356667,-0.04516616463661194,0.6581556249943801,-0.05063972897669715,0.4391279863481229,0.5315000000000001
