fixation id,start timestamp [ns],end timestamp [ns],duration [ms],fixation detected on surface,fixation x [normalized],fixation y [normalized]
1,1758903472744699904,1758903472979940096,235.23999999999998,1.0,0.7903690934181213,0.705331027507782
2,1758903473004940032,1758903473430315008,425.375,1.0,0.8064008440290179,0.6766302543027061
3,1758903473475318016,1758903473970814976,495.49699999999996,1.0,0.7996089295907454,0.415496056730097
4,1758903474035940096,1758903474326190080,290.25,1.0,0.721174548069636,0.6651300142208735
5,1758903474356198144,1758903474656443904,300.246,1.0,0.737814554146358,0.5848638202462878
6,1758903474686439936,1758903475111940096,425.5,1.0,0.7950585749414232,0.5440723333093855
7,1758903475166947072,1758903475657440000,490.493,0.8333333333333334,0.8608334064483643,0.4400315483411153
9,1758903475872564992,1758903476227940096,355.375,1.0,0.3124925121665001,0.5382555276155472
11,1758903476823440128,1758903477318939904,495.5,1.0,0.511609673500061,0.7385588586330414
12,1758903477368940032,1758903478264815104,895.875,1.0,0.30349444311398727,0.5929753894989307
13,1758903478314815232,1758903478770323200,455.508,1.0,0.1815327893603932,0.5301653417673978
14,1758903478795314944,1758903479090565120,295.25,1.0,0.19824807345867157,0.4657066634723118
15,1758903479325815040,1758903479510956032,185.141,1.0,0.5460002223650614,0.33636748790740967
17,1758903480306690048,1758903480637064960,330.375,1.0,0.7286517705236163,0.26185314144407
18,1758903480702064896,1758903480822190080,120.125,1.0,0.6276588241259257,0.6002739171187083
19,1758903480857190144,1758903480972315136,115.125,1.0,0.5823118984699249,0.5320859104394913
20,1758903481017315072,1758903481632940032,615.625,1.0,0.4521833327081468,0.49801041351424324
21,1758903481677939968,1758903482128452096,450.512,1.0,0.5835205256938935,0.48447269201278687
22,1758903482268565248,1758903482763949056,495.38399999999996,1.0,0.5167580355297435,0.5174145779826425
23,1758903482809065216,1758903483334565120,525.5,1.0,0.6464286338199269,0.4775076887824319
24,1758903483359565056,1758903483569690112,210.125,1.0,0.6885949730873108,0.4532456278800964
25,1758903483609814784,1758903484295440128,685.625,1.0,0.7831440885861715,0.4624150554339091
26,1758903484325442048,1758903484615689984,290.248,1.0,0.8032708849225726,0.38866108655929565
27,1758903484650690048,1758903485061064960,410.375,1.0,0.8204543325636122,0.31717412339316475
28,1758903485096189952,1758903485376443904,280.25399999999996,1.0,0.7691881997244698,0.38076869930539814
29,1758903485406440192,1758903485651690752,245.25099999999998,1.0,0.7198047041893005,0.39817983905474347
30,1758903485686694144,1758903485991938816,305.245,1.0,0.750666754586356,0.34988850355148315
31,1758903486006947072,1758903486317314048,310.3669999999999,1.0,0.7685860565730503,0.30569922072546823
32,1758903486332314880,1758903486427314944,95.0,1.0,0.7684535185496012,0.2703717549641927
33,1758903486462439936,1758903486687575040,225.135,1.0,0.7049481511116028,0.26397113800048827
34,1758903486747689984,1758903486942814976,195.125,1.0,0.5345728993415833,0.4988062381744385
35,1758903486972829952,1758903487268189952,295.36,1.0,0.5569589393479484,0.39113496031079975
36,1758903487293190144,1758903487713572096,420.382,1.0,0.5110226074854533,0.3846594426367018
37,1758903487873702144,1758903490335941120,2462.239,1.0,0.4969039033440983,0.389427149997038
38,1758903490471064064,1758903491341938944,870.875,1.0,0.49689772881959615,0.39423414280540064
39,1758903491361938944,1758903491647188992,285.25,1.0,0.4730560949870518,0.40521970817020964
40,1758903491682189056,1758903491937438976,255.25,1.0,0.4839735875527064,0.2634279429912567
41,1758903492012563968,1758903492307814144,295.25,1.0,0.7502407687050956,0.17791036197117396
42,1758903492382950912,1758903492703195136,320.24399999999997,1.0,0.7109763100743294,0.7957810685038567
43,1758903492748188928,1758903492983439104,235.25,1.0,0.6285487016042074,0.8241037974754969
44,1758903493038446080,1758903493448939008,410.49300000000005,1.0,0.49904612004756926,0.8253392711281776
45,1758903493488939008,1758903493914313984,425.375,1.0,0.36750357747077944,0.8042979687452316
46,1758903493974313728,1758903494239564032,265.25,1.0,0.20560368469783238,0.8864476797836167
47,1758903494284688896,1758903494454813952,170.125,1.0,0.19613143056631088,0.711476519703865
48,1758903494499814144,1758903495110439936,610.626,1.0,0.22118230622548324,0.8211643122709714
49,1758903495175439104,1758903495826068992,650.63,1.0,0.48265500366687775,0.534190656883376
50,1758903495866064128,1758903496016314112,150.25,1.0,0.4936545193195343,0.40012185275554657
51,1758903496071313920,1758903496406564096,335.25,1.0,0.4671281799674034,0.21534360200166702
52,1758903496436688640,1758903497012188928,575.5,1.0,0.46811506839898914,0.3111781936425429
53,1758903497042189056,1758903497192314112,150.125,1.0,0.4366062209010124,0.24995173513889313
54,1758903497332449024,1758903497627814144,295.36500000000007,1.0,0.7214066301073346,0.1675651158605303
55,1758903497647814144,1758903497787939072,140.125,1.0,0.7391688823699951,0.14952771365642548
56,1758903497817938944,1758903498193314048,375.375,1.0,0.7136746711201138,0.23396812544928658
57,1758903498303439104,1758903498583688960,280.25,1.0,0.3515067398548126,0.7303598821163177
58,1758903498603688960,1758903498848943104,245.254,1.0,0.20935066044330597,0.8189810911814371
59,1758903498873939200,1758903499164188928,290.25,1.0,0.20609086113316671,0.757668422801154
60,1758903499189189120,1758903499399439104,210.25,1.0,0.2170167326927185,0.7026545822620391
61,1758903499539567360,1758903499629563904,89.997,1.0,0.19837510089079538,0.7068744997183481
62,1758903499694689024,1758903500024939008,330.25,1.0,0.19569381475448608,0.4818668723106384
