world_index,world_timestamp,img_to_surf_trans,surf_to_img_trans,num_detected_markers,dist_img_to_surf_trans,surf_to_dist_img_trans,num_definition_markers
5,1.5098924740000002,"[[ 1.19389343e-03 -1.05709717e-04 -3.40967801e-01]
 [ 7.59912554e-05 -2.16653506e-03  2.06016878e+00]
 [ 7.52855841e-05 -2.13335736e-04  1.17771120e+00]]","[[ 8.19073223e+02 -7.64902442e+01  3.70940184e+02]
 [-2.54424077e+01 -5.55240559e+02  9.63915621e+02]
 [-5.69682795e-02 -9.56890283e-02  1.00000000e+00]]",4,"[[ 1.32206330e-03 -1.39672149e-04 -4.18708985e-01]
 [ 6.98063629e-05 -2.45227774e-03  2.24764123e+00]
 [ 6.45489742e-05 -2.86469596e-04  1.23917276e+00]]","[[ 7.40928362e+02 -9.06548986e+01  4.14787241e+02]
 [-1.81234709e+01 -5.15200821e+02  9.28359776e+02]
 [-4.27849859e-02 -1.14380896e-01  1.00000000e+00]]",4
6,1.559151474,"[[ 1.19850667e-03 -1.00080462e-04 -3.53172704e-01]
 [ 8.43374383e-05 -2.16830420e-03  2.05707873e+00]
 [ 8.03520964e-05 -2.12244008e-04  1.17431205e+00]]","[[ 8.14451642e+02 -7.43101126e+01  3.75116514e+02]
 [-2.55771391e+01 -5.54301225e+02  9.63294310e+02]
 [-6.03514982e-02 -9.50992034e-02  1.00000000e+00]]",4,"[[ 1.32299930e-03 -1.33800065e-04 -4.28938612e-01]
 [ 7.57463134e-05 -2.45135021e-03  2.24380181e+00]
 [ 6.53161870e-05 -2.85884219e-04  1.23806428e+00]]","[[ 7.40322235e+02 -8.91679193e+01  4.18094553e+02]
 [-1.63247071e+01 -5.15303105e+02  9.28252081e+02]
 [-4.28265338e-02 -1.14285598e-01  1.00000000e+00]]",4
7,1.608410474,"[[ 1.19748073e-03 -9.50492434e-05 -3.57141051e-01]
 [ 8.68580816e-05 -2.16568923e-03  2.05554964e+00]
 [ 7.95663299e-05 -2.10312701e-04  1.17295867e+00]]","[[ 8.15420397e+02 -7.21825177e+01  3.74774368e+02]
 [-2.38564213e+01 -5.54331869e+02  9.64174265e+02]
 [-5.95906048e-02 -9.44958565e-02  1.00000000e+00]]",4,"[[ 1.32198234e-03 -1.29165626e-04 -4.32468978e-01]
 [ 7.84510729e-05 -2.44995628e-03  2.24315427e+00]
 [ 6.41606089e-05 -2.85113300e-04  1.23804919e+00]]","[[ 7.41362983e+02 -8.77192248e+01  4.17902818e+02]
 [-1.44938685e+01 -5.15515312e+02  9.28971350e+02]
 [-4.17581915e-02 -1.14173293e-01  1.00000000e+00]]",4
8,1.657668474,"[[ 1.19472490e-03 -9.30628691e-05 -3.54353322e-01]
 [ 8.62149060e-05 -2.16343083e-03  2.05645161e+00]
 [ 7.66558895e-05 -2.09357155e-04  1.17360630e+00]]","[[ 8.18294138e+02 -7.11789906e+01  3.71795377e+02]
 [-2.19106536e+01 -5.54705757e+02  9.65367549e+02]
 [-5.73567279e-02 -9.43036267e-02  1.00000000e+00]]",4,"[[ 1.32146116e-03 -1.27865119e-04 -4.30358909e-01]
 [ 7.95791876e-05 -2.45094487e-03  2.24558479e+00]
 [ 6.34131561e-05 -2.85429198e-04  1.23900920e+00]]","[[ 7.42039399e+02 -8.71146736e+01  4.15627789e+02]
 [-1.35661134e+01 -5.15568852e+02  9.29706799e+02]
 [-4.11031857e-02 -1.14312459e-01  1.00000000e+00]]",4
9,1.706927474,"[[ 1.19332452e-03 -9.35218214e-05 -3.51351952e-01]
 [ 8.51364112e-05 -2.16198747e-03  2.05706731e+00]
 [ 7.52802601e-05 -2.07772022e-04  1.17285306e+00]]","[[ 8.19712414e+02 -7.10299884e+01  3.70141016e+02]
 [-2.13857944e+01 -5.54451562e+02  9.66046200e+02]
 [-5.64022346e-02 -9.36625139e-02  1.00000000e+00]]",4,"[[ 1.32151759e-03 -1.28715860e-04 -4.27869742e-01]
 [ 7.94645979e-05 -2.45154173e-03  2.24729842e+00]
 [ 6.34884215e-05 -2.84519411e-04  1.23832955e+00]]","[[ 7.42033253e+02 -8.70498641e+01  4.14365142e+02]
 [-1.37091492e+01 -5.15133941e+02  9.30119096e+02]
 [-4.11934279e-02 -1.13894518e-01  1.00000000e+00]]",4
10,1.7561864740000002,"[[ 1.19368372e-03 -9.45519379e-05 -3.51295007e-01]
 [ 8.45683851e-05 -2.16334550e-03  2.05733387e+00]
 [ 7.51506314e-05 -2.08401650e-04  1.17334609e+00]]","[[ 8.19468121e+02 -7.15335154e+01  3.70771581e+02]
 [-2.15129510e+01 -5.54315395e+02  9.65490454e+02]
 [-5.63063890e-02 -9.38720942e-02  1.00000000e+00]]",4,"[[ 1.32140770e-03 -1.29498253e-04 -4.27753121e-01]
 [ 7.86038254e-05 -2.45192570e-03  2.24697406e+00]
 [ 6.30485509e-05 -2.84611587e-04  1.23845241e+00]]","[[ 7.42172180e+02 -8.73489552e+01  4.14821998e+02]
 [-1.37225721e+01 -5.15035706e+02  9.29710332e+02]
 [-4.09369655e-02 -1.13914676e-01  1.00000000e+00]]",4
11,1.805445474,"[[ 1.19362315e-03 -9.46074443e-05 -3.51595251e-01]
 [ 8.40006080e-05 -2.16291008e-03  2.05620719e+00]
 [ 7.47508053e-05 -2.08693789e-04  1.17366910e+00]]","[[ 8.19590495e+02 -7.16516376e+01  3.71054106e+02]
 [-2.14139574e+01 -5.54521327e+02  9.65077547e+02]
 [-5.60072764e-02 -9.40376971e-02  1.00000000e+00]]",4,"[[ 1.32107128e-03 -1.29311557e-04 -4.28077540e-01]
 [ 7.79318241e-05 -2.45055997e-03  2.24518782e+00]
 [ 6.25029992e-05 -2.84403741e-04  1.23838310e+00]]","[[ 7.42478835e+02 -8.73439850e+01  4.15010642e+02]
 [-1.35784392e+01 -5.15215572e+02  9.29391808e+02]
 [-4.05923765e-02 -1.13914648e-01  1.00000000e+00]]",4
12,1.854704474,"[[ 1.19341366e-03 -9.51623705e-05 -3.49863790e-01]
 [ 8.27251464e-05 -2.16404400e-03  2.05811287e+00]
 [ 7.42831411e-05 -2.09638485e-04  1.17484854e+00]]","[[ 8.19878758e+02 -7.19090846e+01  3.70126777e+02]
 [-2.16308618e+01 -5.54648738e+02  9.65198335e+02]
 [-5.56989506e-02 -9.44241618e-02  1.00000000e+00]]",4,"[[ 1.32159808e-03 -1.29997672e-04 -4.26694090e-01]
 [ 7.72035423e-05 -2.45229471e-03  2.24720317e+00]
 [ 6.28786738e-05 -2.85295053e-04  1.23910653e+00]]","[[ 7.42062509e+02 -8.75340165e+01  4.14282705e+02]
 [-1.41253448e+01 -5.15158237e+02  9.29410018e+02]
 [-4.09083449e-02 -1.14169419e-01  1.00000000e+00]]",4
13,1.9039634740000002,"[[ 1.19221083e-03 -9.55720391e-05 -3.47457542e-01]
 [ 8.11091468e-05 -2.16220373e-03  2.05670580e+00]
 [ 7.27346662e-05 -2.08701029e-04  1.17458078e+00]]","[[ 8.21169070e+02 -7.18942276e+01  3.68801080e+02]
 [-2.11375439e+01 -5.54705012e+02  9.65042705e+02]
 [-5.46057677e-02 -9.41087285e-02  1.00000000e+00]]",4,"[[ 1.32142361e-03 -1.30369752e-04 -4.24889301e-01]
 [ 7.64218575e-05 -2.45093068e-03  2.24571959e+00]
 [ 6.25959760e-05 -2.84107620e-04  1.23811521e+00]]","[[ 7.42239294e+02 -8.73795311e+01  4.13208281e+02]
 [-1.42327154e+01 -5.14957393e+02  9.29156321e+02]
 [-4.07916932e-02 -1.13748471e-01  1.00000000e+00]]",4
14,1.953221474,"[[ 1.19256645e-03 -9.69150627e-05 -3.46830695e-01]
 [ 8.19343234e-05 -2.16322752e-03  2.05570867e+00]
 [ 7.31198750e-05 -2.09246706e-04  1.17477736e+00]]","[[ 8.20871704e+02 -7.24873785e+01  3.69190326e+02]
 [-2.10193179e+01 -5.54604362e+02  9.64280458e+02]
 [-5.48361431e-02 -9.42722187e-02  1.00000000e+00]]",4,"[[ 1.32140921e-03 -1.31342147e-04 -4.24375048e-01]
 [ 7.70687892e-05 -2.45108983e-03  2.24410559e+00]
 [ 6.27766167e-05 -2.84098897e-04  1.23784636e+00]]","[[ 7.42240690e+02 -8.76946500e+01  4.13447500e+02]
 [-1.40852498e+01 -5.14853103e+02  9.28554088e+02]
 [-4.08749946e-02 -1.13716880e-01  1.00000000e+00]]",4
