world_index,world_timestamp,surface_name,event_type
5,1.5098924740000002,Surface 1,enter
25,2.495068474,Surface 1,exit
27,2.5935864740000003,Surface 1,enter
104,6.386516474,Surface 1,exit
107,6.534292474000001,Surface 1,enter
320,17.026423474,Surface 1,exit
324,17.223458474,Surface 1,enter
502,25.991529474,Surface 1,exit
505,26.139306474,Surface 1,enter
597,30.671118474000004,Surface 1,exit
601,30.868153474000003,Surface 1,enter
666,34.069977474000005,Surface 1,exit
673,34.414789474,Surface 1,enter
697,35.597001474,Surface 1,exit
705,35.991071474,Surface 1,enter
773,39.340672474,Surface 1,exit
786,39.981037474000004,Surface 1,enter
787,40.030295474,Surface 1,exit
790,40.178072474000004,Surface 1,enter
810,41.163248474,Surface 1,exit
814,41.360284474000004,Surface 1,enter
838,42.542496474000004,Surface 1,exit
841,42.690272474000004,Surface 1,enter
855,43.379896474000006,Surface 1,exit
873,44.266555474,Surface 1,enter
881,44.660625474,Surface 1,exit
884,44.808402474000005,Surface 1,enter
890,45.103955474,Surface 1,exit
892,45.202472474000004,Surface 1,enter
898,45.498025474,Surface 1,exit
906,45.892096474000006,Surface 1,enter
914,46.286167474,Surface 1,exit
919,46.532461474,Surface 1,enter
920,46.581720474,Surface 1,exit
922,46.680237474,Surface 1,enter
942,47.665414474,Surface 1,exit
952,48.158002474,Surface 1,enter
1003,50.670202474,Surface 1,exit
1011,51.064273474000004,Surface 1,enter
1011,51.064273474000004,Surface 1,exit
1013,51.162790474000005,Surface 1,enter
1014,51.212049474000004,Surface 1,exit
1019,51.458343474,Surface 1,enter
1034,52.197226474000004,Surface 1,exit
1041,52.542038474,Surface 1,enter
1043,52.640555474,Surface 1,exit
1048,52.886849474,Surface 1,enter
1049,52.936108474,Surface 1,exit
1052,53.083885474000006,Surface 1,enter
1165,58.650132474,Surface 1,exit
1170,58.896427474000006,Surface 1,enter
1184,59.586050474000004,Surface 1,exit
1189,59.832344474,Surface 1,enter
1196,60.177156474,Surface 1,exit
1201,60.423450474000006,Surface 1,enter
1212,60.965297474,Surface 1,exit
1215,61.113074474,Surface 1,enter
1222,61.457886474000006,Surface 1,exit
1228,61.753439474000004,Surface 1,enter
1291,64.85674547400001,Surface 1,exit
1296,65.103039474,Surface 1,enter
1358,68.15708647400001,Surface 1,exit
1365,68.501898474,Surface 1,enter
1444,72.393345474,Surface 1,exit
1446,72.491863474,Surface 1,enter
1446,72.491863474,Surface 1,exit
1466,73.477040474,Surface 1,enter
1489,74.609993474,Surface 1,exit
1495,74.905546474,Surface 1,enter
1500,75.15184047400001,Surface 1,exit
1505,75.398134474,Surface 1,enter
1567,78.452181474,Surface 1,exit
1571,78.649216474,Surface 1,enter
1606,80.37327547400001,Surface 1,exit
1624,81.259934474,Surface 1,enter
1659,82.983993474,Surface 1,exit
1664,83.230288474,Surface 1,enter
1665,83.279546474,Surface 1,exit
1669,83.47658247400001,Surface 1,enter
1681,84.06768847400001,Surface 1,exit
1692,84.60953547400001,Surface 1,enter
1697,84.855829474,Surface 1,exit
1704,85.20064147400001,Surface 1,enter
1726,86.284335474,Surface 1,exit
1736,86.776923474,Surface 1,enter
1826,91.210218474,Surface 1,exit
1828,91.308735474,Surface 1,enter
1946,97.12127747400001,Surface 1,exit
1951,97.367571474,Surface 1,enter
2013,100.42161847400001,Surface 1,exit
2016,100.569395474,Surface 1,enter
2016,100.569395474,Surface 1,exit
2019,100.71717147400001,Surface 1,enter
2039,101.702348474,Surface 1,exit
2048,102.14567747400001,Surface 1,enter
2048,102.14567747400001,Surface 1,exit
2057,102.58900747400001,Surface 1,enter
2060,102.736783474,Surface 1,exit
2075,103.47566647400001,Surface 1,enter
2075,103.47566647400001,Surface 1,exit
2079,103.67270147400001,Surface 1,enter
2083,103.869736474,Surface 1,exit
2089,104.165289474,Surface 1,enter
2141,106.726748474,Surface 1,exit
2144,106.87452547400001,Surface 1,enter
2200,109.63301947400001,Surface 1,exit
2209,110.07634947400001,Surface 1,enter
2238,111.50485547400001,Surface 1,exit
2244,111.80040847400001,Surface 1,enter
2253,112.24373747400001,Surface 1,exit
2258,112.490031474,Surface 1,enter
2260,112.588549474,Surface 1,exit
2273,113.228914474,Surface 1,enter
2276,113.376690474,Surface 1,exit
2278,113.47520847400001,Surface 1,enter
2282,113.67224347400001,Surface 1,exit
2284,113.77076147400001,Surface 1,enter
2291,114.115573474,Surface 1,exit
2306,114.854455474,Surface 1,enter
2320,115.544079474,Surface 1,exit
2323,115.69185547400001,Surface 1,enter
2332,116.13518547400001,Surface 1,exit
2337,116.381479474,Surface 1,enter
2339,116.479996474,Surface 1,exit
2343,116.677032474,Surface 1,enter
2343,116.677032474,Surface 1,exit
2348,116.923326474,Surface 1,enter
2349,116.97258547400001,Surface 1,exit
2352,117.120361474,Surface 1,enter
2353,117.16962047400001,Surface 1,exit
2355,117.26813847400001,Surface 1,enter
2356,117.317396474,Surface 1,exit
2362,117.612949474,Surface 1,enter
2373,118.15479647400001,Surface 1,exit
2387,118.844420474,Surface 1,enter
2389,118.942938474,Surface 1,exit
2391,119.041455474,Surface 1,enter
2399,119.43552647400001,Surface 1,exit
2401,119.53404447400001,Surface 1,enter
2404,119.681820474,Surface 1,exit
2434,121.15958547400001,Surface 1,enter
2435,121.208844474,Surface 1,exit
2440,121.45513847400001,Surface 1,enter
2443,121.602914474,Surface 1,exit
2448,121.849209474,Surface 1,enter
2448,121.849209474,Surface 1,exit
2463,122.58809147400001,Surface 1,enter
2464,122.637350474,Surface 1,exit
2474,123.12993847400001,Surface 1,enter
2475,123.179197474,Surface 1,exit
