world_index,world_timestamp,img_to_surf_trans,surf_to_img_trans,num_detected_markers,dist_img_to_surf_trans,surf_to_dist_img_trans,num_definition_markers
24,2.4780397830000003,"[[ 6.92513640e-04 -3.13057095e-04  3.69281156e-01]
 [-2.63752877e-04 -1.68099477e-03  1.37438516e+00]
 [-2.69634691e-04 -3.00624401e-04  1.21179739e+00]]","[[ 1.30253905e+03 -2.15248915e+02 -1.52804597e+02]
 [ 4.08820291e+01 -7.53004852e+02  8.41577761e+02]
 [ 2.99967513e-01 -2.34701122e-01  1.00000000e+00]]",3,"[[ 1.34906284e-03 -3.29316219e-04  1.48543696e-01]
 [-3.18295509e-04 -2.44278550e-03  1.93520501e+00]
 [ 1.02746299e-04 -2.95291480e-04  1.22253563e+00]]","[[ 7.10216492e+02 -1.05501888e+02  8.07089765e+01]
 [-1.72915421e+02 -4.80551535e+02  7.81696019e+02]
 [-1.01455176e-01 -1.07205747e-01  1.00000000e+00]]",4
25,2.527298783,"[[ 6.88520791e-04 -3.20226104e-04  3.76697170e-01]
 [-2.64440658e-04 -1.67815272e-03  1.36186191e+00]
 [-2.70979630e-04 -3.06448209e-04  1.21348506e+00]]","[[ 1.30557373e+03 -2.20261404e+02 -1.58090378e+02]
 [ 3.88203565e+01 -7.56043002e+02  8.36436053e+02]
 [ 3.01347192e-01 -2.40113692e-01  1.00000000e+00]]",3,"[[ 1.34930256e-03 -3.33840755e-04  1.54447239e-01]
 [-3.24577747e-04 -2.44365494e-03  1.92517576e+00]
 [ 1.03579775e-04 -2.97916105e-04  1.22355512e+00]]","[[ 7.09541566e+02 -1.06431058e+02  7.78973964e+01]
 [-1.75167455e+02 -4.80078285e+02  7.77479655e+02]
 [-1.02716551e-01 -1.07881489e-01  1.00000000e+00]]",4
26,2.576557783,"[[ 6.82270462e-04 -3.18449530e-04  3.78608291e-01]
 [-2.63425732e-04 -1.66303400e-03  1.34461841e+00]
 [-2.73812905e-04 -3.04395314e-04  1.20881842e+00]]","[[ 1.31389037e+03 -2.21333725e+02 -1.65318778e+02]
 [ 4.08197797e+01 -7.61910989e+02  8.34719936e+02]
 [ 3.07891971e-01 -2.41993470e-01  1.00000000e+00]]",3,"[[ 1.34222817e-03 -3.29013139e-04  1.55327262e-01]
 [-3.26156203e-04 -2.42233728e-03  1.90334267e+00]
 [ 9.63620303e-05 -2.93013022e-04  1.22012577e+00]]","[[ 7.13935597e+02 -1.05972835e+02  7.44258993e+01]
 [-1.73094385e+02 -4.83147944e+02  7.75725254e+02]
 [-9.79531744e-02 -1.07658477e-01  1.00000000e+00]]",4
27,2.6258167830000003,"[[ 6.76376901e-04 -3.20373269e-04  3.84775982e-01]
 [-2.62945011e-04 -1.65782851e-03  1.34114491e+00]
 [-2.75974312e-04 -3.05885659e-04  1.20816749e+00]]","[[ 1.32112948e+03 -2.23437804e+02 -1.72721433e+02]
 [ 4.34984914e+01 -7.65923563e+02  8.36371884e+02]
 [ 3.12790543e-01 -2.44956210e-01  1.00000000e+00]]",3,"[[ 1.34671690e-03 -3.34858322e-04  1.64008831e-01]
 [-3.26974303e-04 -2.43213697e-03  1.91147023e+00]
 [ 1.00546144e-04 -2.98946639e-04  1.22492105e+00]]","[[ 7.11322423e+02 -1.06693310e+02  7.12518791e+01]
 [-1.75104262e+02 -4.82476954e+02  7.76343078e+02]
 [-1.01122891e-01 -1.08992545e-01  1.00000000e+00]]",4
28,2.6750747830000003,"[[ 6.72072850e-04 -3.24959338e-04  3.89583864e-01]
 [-2.63542996e-04 -1.65664246e-03  1.34042799e+00]
 [-2.78855967e-04 -3.09039461e-04  1.20985718e+00]]","[[ 1.32612364e+03 -2.27482796e+02 -1.74989303e+02]
 [ 4.58180193e+01 -7.68749448e+02  8.36961036e+02]
 [ 3.17357348e-01 -2.48797012e-01  1.00000000e+00]]",3,"[[ 1.34361451e-03 -3.41842099e-04  1.71033765e-01]
 [-3.28329385e-04 -2.43406082e-03  1.91338410e+00]
 [ 9.77142958e-05 -3.04201045e-04  1.22937595e+00]]","[[ 7.12548948e+02 -1.08855764e+02  7.02900997e+01]
 [-1.74597031e+02 -4.83373166e+02  7.76605817e+02]
 [-9.98383104e-02 -1.10955365e-01  1.00000000e+00]]",4
29,2.724333783,"[[ 6.71647062e-04 -3.24702685e-04  3.89742387e-01]
 [-2.66382881e-04 -1.65383837e-03  1.33889590e+00]
 [-2.78949626e-04 -3.06920695e-04  1.20825057e+00]]","[[ 1.32575657e+03 -2.27766030e+02 -1.75252162e+02]
 [ 4.31200482e+01 -7.68598862e+02  8.37796545e+02]
 [ 3.17031701e-01 -2.47824543e-01  1.00000000e+00]]",3,"[[ 1.34558486e-03 -3.40027077e-04  1.69794029e-01]
 [-3.33551492e-04 -2.43178144e-03  1.91333644e+00]
 [ 9.98573662e-05 -2.99918874e-04  1.22607896e+00]]","[[ 7.11165269e+02 -1.08098195e+02  7.02047774e+01]
 [-1.77228229e+02 -4.82291299e+02  7.77174915e+02]
 [-1.01273397e-01 -1.09172302e-01  1.00000000e+00]]",4
30,2.7735927830000002,"[[ 6.67366387e-04 -3.28416005e-04  3.93595845e-01]
 [-2.70847831e-04 -1.64933686e-03  1.33587892e+00]
 [-2.82358700e-04 -3.08365694e-04  1.20876987e+00]]","[[ 1.32956124e+03 -2.31668945e+02 -1.76897295e+02]
 [ 4.18642489e+01 -7.71502337e+02  8.38998505e+02]
 [ 3.21254435e-01 -2.50931633e-01  1.00000000e+00]]",3,"[[ 1.34012499e-03 -3.42048972e-04  1.72974336e-01]
 [-3.41356546e-04 -2.42232131e-03  1.90820184e+00]
 [ 9.42599507e-05 -2.98969816e-04  1.22603766e+00]]","[[ 7.13464454e+02 -1.09323122e+02  6.94917829e+01]
 [-1.77932686e+02 -4.83720411e+02  7.77964657e+02]
 [-9.82413761e-02 -1.09550477e-01  1.00000000e+00]]",4
31,2.8228517830000004,"[[ 6.67498346e-04 -3.33001814e-04  3.99009282e-01]
 [-2.74299287e-04 -1.65393791e-03  1.33700237e+00]
 [-2.80321385e-04 -3.10577826e-04  1.20996304e+00]]","[[ 1.32678276e+03 -2.33402845e+02 -1.79624065e+02]
 [ 3.58879054e+01 -7.69234589e+02  8.38165152e+02]
 [ 3.16597743e-01 -2.51524224e-01  1.00000000e+00]]",3,"[[ 1.34746648e-03 -3.48721329e-04  1.79039316e-01]
 [-3.49464323e-04 -2.43807325e-03  1.91848952e+00]
 [ 1.02394407e-04 -3.02552894e-04  1.22812804e+00]]","[[ 7.08470642e+02 -1.09802159e+02  6.82422271e+01]
 [-1.83625899e+02 -4.80330685e+02  7.77105976e+02]
 [-1.04305067e-01 -1.09176167e-01  1.00000000e+00]]",4
32,2.872110783,"[[ 6.71412247e-04 -3.33409034e-04  3.99125643e-01]
 [-2.72289811e-04 -1.65736421e-03  1.33185146e+00]
 [-2.75645737e-04 -3.10792960e-04  1.20917651e+00]]","[[ 1.32117865e+03 -2.31899761e+02 -1.80668613e+02]
 [ 3.14672986e+01 -7.65956279e+02  8.33278331e+02]
 [ 3.09265914e-01 -2.49736906e-01  1.00000000e+00]]",3,"[[ 1.35448495e-03 -3.46508857e-04  1.76655380e-01]
 [-3.49276333e-04 -2.44428816e-03  1.91403419e+00]
 [ 1.10373135e-04 -2.99876927e-04  1.22448968e+00]]","[[ 7.04891265e+02 -1.08200925e+02  6.74382465e+01]
 [-1.86184264e+02 -4.77610855e+02  7.73427472e+02]
 [-1.09133973e-01 -1.07213643e-01  1.00000000e+00]]",4
33,2.9213697830000003,"[[ 6.68758009e-04 -3.37226144e-04  3.98091287e-01]
 [-2.67408842e-04 -1.65131470e-03  1.31962076e+00]
 [-2.80169664e-04 -3.17107841e-04  1.21273143e+00]]","[[ 1.32618637e+03 -2.36689138e+02 -1.77783254e+02]
 [ 3.80262236e+01 -7.72332701e+02  8.27923093e+02]
 [ 3.16323626e-01 -2.56632147e-01  1.00000000e+00]]",3,"[[ 1.33830167e-03 -3.43338008e-04  1.72937500e-01]
 [-3.42166591e-04 -2.41689405e-03  1.88385138e+00]
 [ 9.45092376e-05 -2.99341327e-04  1.22397732e+00]]","[[ 7.14290052e+02 -1.09925197e+02  6.82653158e+01]
 [-1.78055890e+02 -4.83800962e+02  7.69786856e+02]
 [-9.86999457e-02 -1.09832652e-01  1.00000000e+00]]",4
34,2.9706277830000003,"[[ 6.72750748e-04 -3.35865224e-04  3.94249039e-01]
 [-2.67259580e-04 -1.65190163e-03  1.31915804e+00]
 [-2.78085756e-04 -3.16533512e-04  1.21344649e+00]]","[[ 1.32125658e+03 -2.35422411e+02 -1.73344909e+02]
 [ 3.54129743e+01 -7.70957063e+02  8.26614670e+02]
 [ 3.12030264e-01 -2.55059755e-01  1.00000000e+00]]",3,"[[ 1.34044628e-03 -3.41832040e-04  1.68829655e-01]
 [-3.42488522e-04 -2.41752061e-03  1.88328843e+00]
 [ 9.75073769e-05 -2.98377963e-04  1.22263251e+00]]","[[ 7.12945588e+02 -1.09470046e+02  7.01742446e+01]
 [-1.79403956e+02 -4.83201256e+02  7.69074953e+02]
 [-1.00641558e-01 -1.09192638e-01  1.00000000e+00]]",4
35,3.019886783,"[[ 6.73496387e-04 -3.39275325e-04  3.96128931e-01]
 [-2.68666635e-04 -1.65689986e-03  1.32382819e+00]
 [-2.77765912e-04 -3.19888763e-04  1.21680741e+00]]","[[ 1.31943704e+03 -2.37033480e+02 -1.71658701e+02]
 [ 3.37999105e+01 -7.70086263e+02  8.26813490e+02]
 [ 3.10079344e-01 -2.56558072e-01  1.00000000e+00]]",3,"[[ 1.34191899e-03 -3.45467180e-04  1.70573608e-01]
 [-3.44371896e-04 -2.42470285e-03  1.88983760e+00]
 [ 9.97350903e-05 -3.01687552e-04  1.22502239e+00]]","[[ 7.11642818e+02 -1.10221025e+02  7.09475647e+01]
 [-1.80965418e+02 -4.82360444e+02  7.69333552e+02]
 [-1.02504881e-01 -1.09817778e-01  1.00000000e+00]]",4
36,3.069145783,"[[ 6.72242678e-04 -3.41010580e-04  3.98929931e-01]
 [-2.70948032e-04 -1.65804866e-03  1.32450185e+00]
 [-2.78303464e-04 -3.21580944e-04  1.21765357e+00]]","[[ 1.31978855e+03 -2.37732203e+02 -1.73798541e+02]
 [ 3.20566562e+01 -7.70154695e+02  8.27232790e+02]
 [ 3.10113276e-01 -2.57732395e-01  1.00000000e+00]]",3,"[[ 1.34302229e-03 -3.46801794e-04  1.72847687e-01]
 [-3.48600337e-04 -2.42787116e-03  1.89265796e+00]
 [ 1.00190014e-04 -3.03101277e-04  1.22622364e+00]]","[[ 7.10746382e+02 -1.10263891e+02  7.00043284e+01]
 [-1.82484917e+02 -4.81883594e+02  7.69503115e+02]
 [-1.03179466e-01 -1.10104052e-01  1.00000000e+00]]",4
37,3.1184047830000003,"[[ 6.69372274e-04 -3.41858080e-04  4.01056171e-01]
 [-2.72043136e-04 -1.65358593e-03  1.31970868e+00]
 [-2.79560584e-04 -3.20849309e-04  1.21599287e+00]]","[[ 1.32291672e+03 -2.39208962e+02 -1.76709727e+02]
 [ 3.17835956e+01 -7.71813186e+02  8.27160731e+02]
 [ 3.12529063e-01 -2.58643888e-01  1.00000000e+00]]",3,"[[ 1.34245455e-03 -3.49153306e-04  1.76342559e-01]
 [-3.52224682e-04 -2.42729862e-03  1.89132148e+00]
 [ 9.97404547e-05 -3.03583318e-04  1.22666919e+00]]","[[ 7.10721759e+02 -1.10826229e+02  6.87043700e+01]
 [-1.83557898e+02 -4.81783302e+02  7.69218129e+02]
 [-1.03216766e-01 -1.10223291e-01  1.00000000e+00]]",4
38,3.167663783,"[[ 6.67973515e-04 -3.44809610e-04  4.03400649e-01]
 [-2.71342576e-04 -1.65371305e-03  1.31693401e+00]
 [-2.80528981e-04 -3.23502972e-04  1.21718542e+00]]","[[ 1.32435814e+03 -2.41359031e+02 -1.77781474e+02]
 [ 3.26856905e+01 -7.73005094e+02  8.25520300e+02]
 [ 3.13916642e-01 -2.61075794e-01  1.00000000e+00]]",3,"[[ 1.34120024e-03 -3.51069319e-04  1.78261795e-01]
 [-3.52074055e-04 -2.42677083e-03  1.88761036e+00]
 [ 9.84837355e-05 -3.05094245e-04  1.22758925e+00]]","[[ 7.11338871e+02 -1.11468035e+02  6.81039470e+01]
 [-1.82957446e+02 -4.82149208e+02  7.67947557e+02]
 [-1.02538022e-01 -1.10886569e-01  1.00000000e+00]]",4
39,3.216921783,"[[ 6.69244337e-04 -3.44447499e-04  4.02022539e-01]
 [-2.69387031e-04 -1.65355820e-03  1.31244839e+00]
 [-2.79915380e-04 -3.24450773e-04  1.21725537e+00]]","[[ 1.32311635e+03 -2.40818934e+02 -1.77333513e+02]
 [ 3.29005210e+01 -7.73015582e+02  8.22601674e+02]
 [ 3.13028165e-01 -2.61419611e-01  1.00000000e+00]]",3,"[[ 1.34323983e-03 -3.46554969e-04  1.73939303e-01]
 [-3.50307906e-04 -2.42525346e-03  1.88116834e+00]
 [ 1.00293777e-04 -3.02127939e-04  1.22454771e+00]]","[[ 7.10688192e+02 -1.10035628e+02  6.80895723e+01]
 [-1.82781979e+02 -4.81612616e+02  7.65823470e+02]
 [-1.03304383e-01 -1.09814209e-01  1.00000000e+00]]",4
40,3.2661807830000003,"[[ 6.72141044e-04 -3.45954618e-04  4.01820364e-01]
 [-2.69025997e-04 -1.65918328e-03  1.31379236e+00]
 [-2.77615402e-04 -3.26075729e-04  1.21873024e+00]]","[[ 1.31898761e+03 -2.40509199e+02 -1.75606485e+02]
 [ 3.05053477e+01 -7.70279438e+02  8.20304235e+02]
 [ 3.08614915e-01 -2.60876835e-01  1.00000000e+00]]",3,"[[ 1.34774276e-03 -3.47848288e-04  1.73187925e-01]
 [-3.50919266e-04 -2.43536530e-03  1.88524880e+00]
 [ 1.05545054e-04 -3.03271442e-04  1.22450775e+00]]","[[ 7.08037668e+02 -1.09690271e+02  6.87377250e+01]
 [-1.84672243e+02 -4.79404366e+02  7.64208723e+02]
 [-1.06765915e-01 -1.09278514e-01  1.00000000e+00]]",4
