world_index,world_timestamp,surface_name,event_type
0,1.295827783,Surface 1,enter
68,4.645428783000001,Surface 1,exit
83,5.384310783,Surface 1,enter
104,6.418745783,Surface 1,exit
107,6.566522783000001,Surface 1,enter
127,7.551698783000001,Surface 1,exit
136,7.995028783,Surface 1,enter
141,8.241322783000001,Surface 1,exit
143,8.339840783,Surface 1,enter
153,8.832428783000001,Surface 1,exit
165,9.423534783000001,Surface 1,enter
225,12.379063783000001,Surface 1,exit
233,12.773134783000001,Surface 1,enter
234,12.822393783,Surface 1,exit
238,13.019428783,Surface 1,enter
253,13.758311783000002,Surface 1,exit
255,13.856828783000001,Surface 1,enter
401,21.048617783,Surface 1,exit
406,21.294911783,Surface 1,enter
409,21.442688783,Surface 1,exit
414,21.688982783,Surface 1,enter
436,22.772676783,Surface 1,exit
440,22.969712783000002,Surface 1,enter
457,23.807112783,Surface 1,exit
462,24.053406783,Surface 1,enter
464,24.151923783,Surface 1,exit
469,24.398218783,Surface 1,enter
475,24.693770783,Surface 1,exit
477,24.792288783,Surface 1,enter
479,24.890806783000002,Surface 1,exit
492,25.531171783,Surface 1,enter
503,26.073018783000002,Surface 1,exit
508,26.319312783,Surface 1,enter
510,26.417829783000002,Surface 1,exit
519,26.861159783,Surface 1,enter
583,30.013724783,Surface 1,exit
586,30.161500783,Surface 1,enter
590,30.358536783,Surface 1,exit
595,30.604830783,Surface 1,enter
606,31.146677783,Surface 1,exit
608,31.245195783000003,Surface 1,enter
636,32.624442783,Surface 1,exit
639,32.772218783,Surface 1,enter
642,32.919995783000005,Surface 1,exit
649,33.264807783,Surface 1,enter
662,33.905171783,Surface 1,exit
664,34.003689783,Surface 1,enter
679,34.742571783,Surface 1,exit
711,36.318854783,Surface 1,enter
711,36.318854783,Surface 1,exit
722,36.860701783,Surface 1,enter
726,37.057736783,Surface 1,exit
728,37.156254783,Surface 1,enter
729,37.205513783,Surface 1,exit
732,37.353289783,Surface 1,enter
734,37.451807783,Surface 1,exit
747,38.092172783,Surface 1,enter
765,38.978831783000004,Surface 1,exit
767,39.077348783000005,Surface 1,enter
784,39.914748783,Surface 1,exit
793,40.358078783,Surface 1,enter
804,40.899925783,Surface 1,exit
813,41.343254783000006,Surface 1,enter
839,42.623984783000004,Surface 1,exit
848,43.067313783,Surface 1,enter
849,43.116572783,Surface 1,exit
854,43.362866783,Surface 1,enter
932,47.205055783000006,Surface 1,exit
941,47.648384783000004,Surface 1,enter
942,47.697643783000004,Surface 1,exit
952,48.190231783,Surface 1,enter
981,49.618737783,Surface 1,exit
983,49.717255783000006,Surface 1,enter
994,50.259102783,Surface 1,exit
1007,50.899467783000006,Surface 1,enter
1030,52.032420783000006,Surface 1,exit
1034,52.229455783000006,Surface 1,enter
1035,52.278714783000005,Surface 1,exit
1038,52.426491783,Surface 1,enter
1054,53.214632783000006,Surface 1,exit
1065,53.756479783,Surface 1,enter
1164,58.633103783,Surface 1,exit
1168,58.830138783,Surface 1,enter
1185,59.667538783000005,Surface 1,exit
1207,60.751233783,Surface 1,enter
1230,61.884186783000004,Surface 1,exit
1242,62.475292783,Surface 1,enter
1276,64.150092783,Surface 1,exit
1278,64.248609783,Surface 1,enter
1305,65.578598783,Surface 1,exit
1310,65.82489278300001,Surface 1,enter
1339,67.25339878300001,Surface 1,exit
1342,67.401174783,Surface 1,enter
1345,67.548951783,Surface 1,exit
1347,67.64746878300001,Surface 1,enter
1347,67.64746878300001,Surface 1,exit
1349,67.745986783,Surface 1,enter
1401,70.307445783,Surface 1,exit
1405,70.504480783,Surface 1,enter
1405,70.504480783,Surface 1,exit
1410,70.75077578300001,Surface 1,enter
1411,70.800033783,Surface 1,exit
1413,70.898551783,Surface 1,enter
1451,72.770387783,Surface 1,exit
1460,73.21371678300001,Surface 1,enter
1460,73.21371678300001,Surface 1,exit
