world_index,world_timestamp,surface_name,event_type
0,2.32532228,Surface 1,enter
12,2.91642728,Surface 1,exit
24,3.5075322800000004,Surface 1,enter
27,3.6553082800000003,Surface 1,exit
36,4.09863628,Surface 1,enter
833,43.35784128,Surface 1,exit
837,43.55487628,Surface 1,enter
838,43.60413528,Surface 1,exit
843,43.85042828,Surface 1,enter
854,44.39227428,Surface 1,exit
858,44.58930928,Surface 1,enter
880,45.67300128,Surface 1,exit
882,45.77151928,Surface 1,enter
920,47.64335028,Surface 1,exit
922,47.741868280000006,Surface 1,enter
1262,64.48983528000001,Surface 1,exit
1264,64.58835228000001,Surface 1,enter
1264,64.58835228000001,Surface 1,exit
1268,64.78538728000001,Surface 1,enter
1268,64.78538728000001,Surface 1,exit
1270,64.88390428000001,Surface 1,enter
1270,64.88390428000001,Surface 1,exit
1273,65.03168128,Surface 1,enter
1273,65.03168128,Surface 1,exit
1276,65.17945728000001,Surface 1,enter
1276,65.17945728000001,Surface 1,exit
1279,65.32723328,Surface 1,enter
1279,65.32723328,Surface 1,exit
1281,65.42575028,Surface 1,enter
1281,65.42575028,Surface 1,exit
1284,65.57352728000001,Surface 1,enter
1284,65.57352728000001,Surface 1,exit
1289,65.81982028,Surface 1,enter
1326,67.64239328000001,Surface 1,exit
1332,67.93794528000001,Surface 1,enter
2120,106.75382228000001,Surface 1,exit
2124,106.95085728000001,Surface 1,enter
2126,107.04937428000001,Surface 1,exit
2134,107.44344428000001,Surface 1,enter
2134,107.44344428000001,Surface 1,exit
2138,107.64047928000001,Surface 1,enter
2306,115.91594528,Surface 1,exit
2308,116.01446228,Surface 1,enter
2889,144.63378228000002,Surface 1,exit
2894,144.88007628,Surface 1,enter
3540,176.70121328000002,Surface 1,exit
3559,177.63712928,Surface 1,enter
4569,227.38844228000002,Surface 1,exit
4576,227.73325328,Surface 1,enter
4605,229.16175628000002,Surface 1,exit
4609,229.35879128000002,Surface 1,enter
4609,229.35879128000002,Surface 1,exit
4611,229.45730928,Surface 1,enter
4614,229.60508528000003,Surface 1,exit
4616,229.70360228,Surface 1,enter
4631,230.44248328,Surface 1,exit
4633,230.54100128000002,Surface 1,enter
5284,262.60843128,Surface 1,exit
5291,262.95324228000004,Surface 1,enter
5313,264.03693428,Surface 1,exit
5317,264.23396928,Surface 1,enter
5387,267.68208028000004,Surface 1,exit
5391,267.87911528,Surface 1,enter
5443,270.44056928000003,Surface 1,exit
5446,270.58834528,Surface 1,enter
5450,270.78538028,Surface 1,exit
5452,270.88389728000004,Surface 1,enter
5509,273.69164528,Surface 1,exit
5514,273.93793828,Surface 1,enter
5514,273.93793828,Surface 1,exit
5517,274.08571428,Surface 1,enter
5517,274.08571428,Surface 1,exit
5519,274.18423228,Surface 1,enter
5520,274.23349128,Surface 1,exit
5522,274.33200828,Surface 1,enter
5522,274.33200828,Surface 1,exit
5524,274.43052628000004,Surface 1,enter
6221,308.76385828,Surface 1,exit
6223,308.86237528000004,Surface 1,enter
6228,309.10866928,Surface 1,exit
6230,309.20718628000003,Surface 1,enter
6458,320.43817628,Surface 1,exit
6465,320.78298728000004,Surface 1,enter
6498,322.40852528,Surface 1,exit
6506,322.80259528000005,Surface 1,enter
6563,325.61034228,Surface 1,exit
6565,325.70885928,Surface 1,enter
6569,325.90589428000004,Surface 1,exit
6571,326.00441228,Surface 1,enter
6645,329.64955828,Surface 1,exit
6647,329.74807528,Surface 1,enter
6672,330.97954328000003,Surface 1,exit
6678,331.27509628,Surface 1,enter
6679,331.32435428,Surface 1,exit
6685,331.61990728,Surface 1,enter
6687,331.71842428,Surface 1,exit
6689,331.81694228000003,Surface 1,enter
6696,332.16175328,Surface 1,exit
6706,332.65434028000004,Surface 1,enter
6708,332.75285728,Surface 1,exit
6714,333.04841028000004,Surface 1,enter
6828,338.66390528,Surface 1,exit
6833,338.91019828000003,Surface 1,enter
6879,341.17610028,Surface 1,exit
6887,341.57016928,Surface 1,enter
7033,348.76194328,Surface 1,exit
7035,348.86046128000004,Surface 1,enter
7072,350.68303428,Surface 1,exit
7076,350.88006928000004,Surface 1,enter
7142,354.13114528,Surface 1,exit
7147,354.37743828000004,Surface 1,enter
7227,358.31813628000003,Surface 1,exit
7239,358.90924128,Surface 1,enter
7295,361.66773028,Surface 1,exit
7303,362.06179928,Surface 1,enter
7342,363.98289028000005,Surface 1,exit
7346,364.17992528,Surface 1,enter
7346,364.17992528,Surface 1,exit
7354,364.57399428,Surface 1,enter
7453,369.45060828000004,Surface 1,exit
7462,369.89393728000005,Surface 1,enter
7541,373.78537628000004,Surface 1,exit
7544,373.93315228,Surface 1,enter
7558,374.62277528000004,Surface 1,exit
7566,375.01684428000004,Surface 1,enter
8247,408.56203728,Surface 1,exit
8252,408.80833128,Surface 1,enter
8312,411.76385428000003,Surface 1,exit
8315,411.91163028000005,Surface 1,enter
8351,413.68494428,Surface 1,exit
8357,413.98049728,Surface 1,enter
8434,417.77341928000004,Surface 1,exit
8436,417.87193628,Surface 1,enter
8590,425.45778028,Surface 1,exit
8596,425.75333228000005,Surface 1,enter
8617,426.78776628,Surface 1,exit
8620,426.93554228000005,Surface 1,enter
8643,428.06849228000004,Surface 1,exit
8645,428.16701028,Surface 1,enter
8646,428.21626928,Surface 1,exit
8651,428.46256228000004,Surface 1,enter
8651,428.46256228000004,Surface 1,exit
8653,428.56108028,Surface 1,enter
8681,429.94032428,Surface 1,exit
8688,430.28513528,Surface 1,enter
8696,430.67920528,Surface 1,exit
8702,430.97475728,Surface 1,enter
8749,433.28991728000005,Surface 1,exit
8759,433.78250528,Surface 1,enter
8970,444.17609628,Surface 1,exit
8980,444.66868328000004,Surface 1,enter
9030,447.13162028000005,Surface 1,exit
9033,447.27939628,Surface 1,enter
9196,455.30856828000003,Surface 1,exit
9202,455.60412028,Surface 1,enter
9202,455.60412028,Surface 1,exit
9206,455.80115528000005,Surface 1,enter
9211,456.04744928,Surface 1,exit
9220,456.49077828000003,Surface 1,enter
9222,456.58929528000004,Surface 1,exit
9226,456.78633028,Surface 1,enter
9233,457.13114128,Surface 1,exit
9235,457.22965828,Surface 1,enter
9235,457.22965828,Surface 1,exit
9238,457.37743528000004,Surface 1,enter
9239,457.42669328000005,Surface 1,exit
9250,457.96853928,Surface 1,enter
9256,458.26409228000006,Surface 1,exit
9259,458.41186828,Surface 1,enter
9259,458.41186828,Surface 1,exit
9262,458.55964428000004,Surface 1,enter
9266,458.75667928,Surface 1,exit
9276,459.24926628000003,Surface 1,enter
9276,459.24926628000003,Surface 1,exit
9283,459.59407728,Surface 1,enter
9287,459.79111228000005,Surface 1,exit
9289,459.88963028,Surface 1,enter
