world_index,world_timestamp,img_to_surf_trans,surf_to_img_trans,num_detected_markers,dist_img_to_surf_trans,surf_to_dist_img_trans,num_definition_markers
2,0.8987032890000001,"[[ 1.54419992e-03 -1.52197179e-03  2.53106300e-01]
 [-1.64772798e-04 -2.41414175e-03  1.84716114e+00]
 [ 2.69685372e-04 -1.68415165e-03  2.07590539e+00]]","[[ 4.77701710e+02 -6.86958574e+02  5.53018398e+02]
 [-2.11175938e+02 -7.88538013e+02  7.27396704e+02]
 [-2.33383212e-01 -5.50485067e-01  1.00000000e+00]]",1,"[[ 1.37701565e-03 -1.32608179e-03  2.23418444e-01]
 [-2.39246276e-04 -2.28791487e-03  1.83517425e+00]
 [ 6.90201630e-06 -1.42638803e-03  2.05761461e+00]]","[[ 6.02688674e+02 -6.94940696e+02  5.54372767e+02]
 [-1.45610943e+02 -8.16616431e+02  7.44145968e+02]
 [-1.02962660e-01 -5.63767093e-01  1.00000000e+00]]",4
3,0.947962289,"[[ 1.78076795e-03 -7.85298424e-04 -4.81476916e-01]
 [-1.01170711e-04 -2.47543265e-03  1.79054736e+00]
 [ 4.81077352e-04 -9.48766423e-04  1.38531438e+00]]","[[ 3.85603304e+02 -3.44212347e+02  5.78921009e+02]
 [-2.23179535e+02 -6.01332306e+02  6.99666584e+02]
 [-2.86758206e-01 -2.92302703e-01  1.00000000e+00]]",1,"[[ 1.63208532e-03 -6.25739865e-04 -5.04104791e-01]
 [-1.63421449e-04 -2.34633624e-03  1.76576372e+00]
 [ 2.24237311e-04 -7.23496374e-04  1.38467913e+00]]","[[ 5.01413912e+02 -3.13140145e+02  5.81865245e+02]
 [-1.58262203e+02 -6.03546942e+02  7.12035401e+02]
 [-1.63892003e-01 -2.64643491e-01  1.00000000e+00]]",4
5,1.046479289,"[[ 1.00977848e-03 -1.23140192e-03  4.75142497e-01]
 [-1.02188843e-04 -1.91123521e-03  1.37447337e+00]
 [-1.23897054e-05 -1.36864849e-03  1.96107454e+00]]","[[ 9.08133281e+02 -8.58353184e+02  3.81571868e+02]
 [-8.91984678e+01 -9.66133212e+02  6.98752812e+02]
 [-5.65148554e-02 -6.79694460e-01  1.00000000e+00]]",1,"[[ 7.71204971e-04 -9.88465409e-04  4.55585415e-01]
 [-1.28361242e-04 -1.66463494e-03  1.23713240e+00]
 [-2.57600846e-04 -1.05885081e-03  1.84485730e+00]]","[[ 1.24840928e+03 -9.50750024e+02  3.29264817e+02]
 [ 5.80426522e+01 -1.09177785e+03  7.17795556e+02]
 [ 2.07631125e-01 -7.59377905e-01  1.00000000e+00]]",4
6,1.095738289,"[[ 7.51750720e-04 -1.00697022e-03  5.29486813e-01]
 [-8.52340975e-05 -1.66801825e-03  1.19068907e+00]
 [-1.30223883e-04 -1.14316836e-03  1.83295917e+00]]","[[ 1.26608393e+03 -9.25867896e+02  2.35709584e+02]
 [-8.76622987e-01 -1.07995306e+03  7.01790029e+02]
 [ 8.94031029e-02 -7.39317223e-01  1.00000000e+00]]",1,"[[ 4.99446631e-04 -7.44422420e-04  4.86817752e-01]
 [-1.00209294e-04 -1.35620060e-03  9.99625028e-01]
 [-3.36886978e-04 -8.13324460e-04  1.63037429e+00]]","[[ 1.85929791e+03 -1.08750410e+03  1.11604488e+02]
 [ 2.30577153e+02 -1.30100444e+03  7.28831136e+02]
 [ 4.99214995e-01 -8.73728634e-01  1.00000000e+00]]",4
7,1.144997289,"[[ 1.01094831e-03 -2.21946850e-04 -2.09720904e-01]
 [-8.45072913e-05 -1.80246572e-03  1.26349075e+00]
 [ 3.78382551e-05 -3.60889880e-04  1.23339121e+00]]","[[ 9.59916773e+02 -1.89810883e+02  3.57663412e+02]
 [-8.25869020e+01 -6.81618881e+02  6.84210286e+02]
 [-5.36134460e-02 -1.93618409e-01  1.00000000e+00]]",2,"[[ 1.04118242e-03 -1.65537196e-04 -2.89840368e-01]
 [-9.47994333e-05 -1.90203710e-03  1.32973977e+00]
 [-2.62381790e-05 -2.38893457e-04  1.17255226e+00]]","[[ 9.58173282e+02 -1.31930866e+02  3.86465518e+02]
 [-3.82089334e+01 -6.07815228e+02  6.79851651e+02]
 [ 1.36564129e-02 -1.26787275e-01  1.00000000e+00]]",4
15,1.5390672890000001,"[[ 1.15263095e-03 -1.14427029e-03  4.58660266e-01]
 [-7.21980737e-05 -1.99715847e-03  1.60624077e+00]
 [ 5.76882777e-05 -1.26847328e-03  1.98015303e+00]]","[[ 8.03994486e+02 -7.06211292e+02  3.86629233e+02]
 [-9.88108786e+01 -9.46039426e+02  7.90286256e+02]
 [-8.67205789e-02 -5.85452542e-01  1.00000000e+00]]",1,"[[ 9.45854829e-04 -1.03184078e-03  5.07516736e-01]
 [-1.74656994e-04 -1.88794732e-03  1.62356317e+00]
 [-1.84732053e-04 -1.13682739e-03  2.00664952e+00]]","[[ 9.88196601e+02 -7.59729253e+02  3.64758329e+02]
 [-2.57134785e+01 -1.01312930e+03  8.26217747e+02]
 [ 7.64058691e-02 -6.43908898e-01  1.00000000e+00]]",4
16,1.5883252890000001,"[[ 9.14311053e-04 -1.37453546e-04 -1.19798800e-01]
 [-7.23704373e-05 -1.70647252e-03  1.37430068e+00]
 [-3.96920398e-05 -2.39831969e-04  1.20054273e+00]]","[[ 1.09482755e+03 -1.23392654e+02  2.50501400e+02]
 [-2.05929965e+01 -6.96037716e+02  7.94722310e+02]
 [ 3.20830562e-02 -1.43126769e-01  1.00000000e+00]]",2,"[[ 1.04067559e-03 -1.40392621e-04 -2.12328660e-01]
 [-7.55810714e-05 -1.92477180e-03  1.51681365e+00]
 [-1.46807265e-05 -2.28173054e-04  1.18157753e+00]]","[[ 9.57538837e+02 -1.06438500e+02  3.08706198e+02]
 [-3.32908743e+01 -6.09096471e+02  7.75926427e+02]
 [ 5.46835488e-03 -1.18944371e-01  1.00000000e+00]]",4
17,1.637584289,"[[ 9.23715838e-04 -1.26047533e-04 -1.40125465e-01]
 [-7.82234668e-05 -1.67874428e-03  1.35181775e+00]
 [-2.69492515e-05 -1.97607623e-04  1.16373608e+00]]","[[ 1.08070478e+03 -1.11740575e+02  2.59927623e+02]
 [-3.49884686e+01 -6.86418434e+02  7.93143620e+02]
 [ 1.90852523e-02 -1.19144574e-01  1.00000000e+00]]",3,"[[ 1.00512555e-03 -8.04440292e-05 -2.52820490e-01]
 [-8.19069043e-05 -1.79685418e-03  1.42049987e+00]
 [-4.11722145e-05 -7.91791040e-05  1.07437680e+00]]","[[ 1.00296338e+03 -5.87234846e+01  3.13657548e+02]
 [-1.62820755e+01 -5.90005045e+02  7.76250610e+02]
 [ 3.72355611e-02 -4.57324158e-02  1.00000000e+00]]",4
18,1.686843289,"[[ 9.30552629e-04 -1.47749853e-04 -1.33672234e-01]
 [-8.17797511e-05 -1.70131430e-03  1.37213499e+00]
 [-2.10630543e-05 -2.19253000e-04  1.17966849e+00]]","[[ 1.06951702e+03 -1.27631697e+02  2.69645795e+02]
 [-4.23581472e+01 -6.86369655e+02  7.93553208e+02]
 [ 1.12236144e-02 -1.29847429e-01  1.00000000e+00]]",3,"[[ 1.00507733e-03 -9.98996276e-05 -2.44882348e-01]
 [-8.68193690e-05 -1.80925764e-03  1.43403892e+00]
 [-4.17889491e-05 -9.63759358e-05  1.08831457e+00]]","[[ 1.00203466e+03 -7.24217342e+01  3.20896360e+02]
 [-1.89149375e+01 -5.93069239e+02  7.77213188e+02]
 [ 3.68009687e-02 -5.53002163e-02  1.00000000e+00]]",4
19,1.736101289,"[[ 9.36102419e-04 -1.43214883e-04 -1.40076471e-01]
 [-7.93956837e-05 -1.70283678e-03  1.37803491e+00]
 [-7.33942263e-06 -2.04348485e-04  1.16477654e+00]]","[[ 1.06006272e+03 -1.21737709e+02  2.71510154e+02]
 [-5.13044944e+01 -6.78536111e+02  7.96599058e+02]
 [-2.32125845e-03 -1.19809514e-01  1.00000000e+00]]",2,"[[ 1.03410475e-03 -8.06200559e-05 -2.70601963e-01]
 [-8.88951895e-05 -1.84057723e-03  1.46354068e+00]
 [-1.01655550e-05 -7.56162891e-05  1.06222683e+00]]","[[ 9.65415947e+02 -5.55340445e+01  3.22454465e+02]
 [-4.16375134e+01 -5.73511432e+02  7.79579365e+02]
 [ 6.27503886e-03 -4.13577773e-02  1.00000000e+00]]",4
