world_index,world_timestamp,img_to_surf_trans,surf_to_img_trans,num_detected_markers,dist_img_to_surf_trans,surf_to_dist_img_trans,num_definition_markers
0,0.7378040210000001,"[[ 6.74873114e-04 -2.05898213e-04  1.88824678e-01]
 [-3.81558973e-05 -1.45683295e-03  8.42586259e-01]
 [-2.13683803e-04 -3.21754362e-04  1.16505002e+00]]","[[ 1.43908080e+03 -1.80747202e+02 -1.02518224e+02]
 [ 1.36820290e+02 -8.34088466e+02  5.81053533e+02]
 [ 3.01730206e-01 -2.63503150e-01  1.00000000e+00]]",3,"[[ 1.04425023e-03 -7.31536910e-06 -9.44259139e-02]
 [-7.10959220e-05 -1.89048703e-03  1.11406960e+00]
 [-3.68596169e-05 -7.62272584e-05  1.04813423e+00]]","[[ 9.60448967e+02 -7.52803278e+00  9.45279916e+01]
 [-1.69415817e+01 -5.52516899e+02  5.85748023e+02]
 [ 3.25438953e-02 -4.04474232e-02  1.00000000e+00]]",4
1,0.787063021,"[[ 6.74974713e-04 -2.07534541e-04  1.89484558e-01]
 [-3.96162807e-05 -1.45806257e-03  8.45009790e-01]
 [-2.14105664e-04 -3.22399447e-04  1.16596334e+00]]","[[ 1.43858298e+03 -1.82277432e+02 -1.01686769e+02]
 [ 1.35765174e+02 -8.33922391e+02  5.82305768e+02]
 [ 3.01707067e-01 -2.64058686e-01  1.00000000e+00]]",3,"[[ 1.04370426e-03 -1.00905298e-05 -9.31527801e-02]
 [-7.27818164e-05 -1.89085001e-03  1.11632016e+00]
 [-3.75752222e-05 -7.77026525e-05  1.04915700e+00]]","[[ 9.60913664e+02 -9.02875284e+00  9.49245520e+01]
 [-1.74314556e+01 -5.52880604e+02  5.86726275e+02]
 [ 3.31238071e-02 -4.12707982e-02  1.00000000e+00]]",4
2,0.8363220210000001,"[[ 6.75207556e-04 -2.06838604e-04  1.89266086e-01]
 [-4.12611310e-05 -1.45760689e-03  8.46606472e-01]
 [-2.13995658e-04 -3.20511008e-04  1.16535867e+00]]","[[ 1.43775270e+03 -1.81701798e+02 -1.01503434e+02]
 [ 1.34061851e+02 -8.33427133e+02  5.83692782e+02]
 [ 3.00886880e-01 -2.62585223e-01  1.00000000e+00]]",3,"[[ 1.04373031e-03 -1.06642439e-05 -9.28939675e-02]
 [-7.47719230e-05 -1.89019581e-03  1.11818040e+00]
 [-3.75102025e-05 -7.68608956e-05  1.04874338e+00]]","[[ 9.60851230e+02 -9.28429545e+00  9.50077985e+01]
 [-1.84801502e+01 -5.52843543e+02  5.87810260e+02]
 [ 3.30121971e-02 -4.08491784e-02  1.00000000e+00]]",4
3,0.8855800210000001,"[[ 6.75731973e-04 -2.06101473e-04  1.88620987e-01]
 [-4.09879674e-05 -1.45795086e-03  8.47550652e-01]
 [-2.13540629e-04 -3.19294247e-04  1.16496221e+00]]","[[ 1.43699080e+03 -1.81027671e+02 -1.00961647e+02]
 [ 1.34090999e+02 -8.32783879e+02  5.84168430e+02]
 [ 3.00156007e-01 -2.61433257e-01  1.00000000e+00]]",3,"[[ 1.04438168e-03 -9.89923697e-06 -9.36720464e-02]
 [-7.40813940e-05 -1.89013036e-03  1.11879000e+00]
 [-3.66396120e-05 -7.54820465e-05  1.04788738e+00]]","[[ 9.60219960e+02 -8.83344000e+00  9.52664710e+01]
 [-1.85526830e+01 -5.52455651e+02  5.88177698e+02]
 [ 3.22379034e-02 -4.01036768e-02  1.00000000e+00]]",4
4,0.934839021,"[[ 6.75213039e-04 -2.03740011e-04  1.86240024e-01]
 [-4.05709966e-05 -1.45482685e-03  8.46507255e-01]
 [-2.14516812e-04 -3.17643680e-04  1.16437883e+00]]","[[ 1.43862804e+03 -1.79765260e+02 -9.94156889e+01]
 [ 1.35627094e+02 -8.34008414e+02  5.84633594e+02]
 [ 3.02041724e-01 -2.60636972e-01  1.00000000e+00]]",3,"[[ 1.04206711e-03 -7.06149250e-06 -9.58629192e-02]
 [-7.30226233e-05 -1.88395074e-03  1.11577364e+00]
 [-3.86924708e-05 -7.31797535e-05  1.04678236e+00]]","[[ 9.62680810e+02 -7.33662627e+00  9.59811810e+01]
 [-1.69406921e+01 -5.53596737e+02  5.88531758e+02]
 [ 3.43994940e-02 -3.89727097e-02  1.00000000e+00]]",4
5,0.9840980210000001,"[[ 6.77703507e-04 -2.04761490e-04  1.86281211e-01]
 [-4.11789158e-05 -1.45969449e-03  8.50851873e-01]
 [-2.12682377e-04 -3.18563341e-04  1.16574384e+00]]","[[ 1.43391790e+03 -1.79775611e+02 -9.79199238e+01]
 [ 1.33267387e+02 -8.31583403e+02  5.85659612e+02]
 [ 2.98027029e-01 -2.60046059e-01  1.00000000e+00]]",3,"[[ 1.04396243e-03 -1.00095254e-05 -9.50931038e-02]
 [-7.35007775e-05 -1.88934185e-03  1.12054224e+00]
 [-3.69137897e-05 -7.58507528e-05  1.04827157e+00]]","[[ 9.60677730e+02 -8.97331450e+00  9.67390590e+01]
 [-1.80855682e+01 -5.52848357e+02  5.89322595e+02]
 [ 3.25206300e-02 -4.03189444e-02  1.00000000e+00]]",4
6,1.0333560210000001,"[[ 6.78036831e-04 -2.02597079e-04  1.85219078e-01]
 [-4.15986767e-05 -1.45830126e-03  8.52587151e-01]
 [-2.12636331e-04 -3.16043806e-04  1.16489035e+00]]","[[ 1.43330548e+03 -1.77962601e+02 -9.76460069e+01]
 [ 1.33204783e+02 -8.31543087e+02  5.87429440e+02]
 [ 2.97771688e-01 -2.58088976e-01  1.00000000e+00]]",3,"[[ 1.04395084e-03 -7.13552668e-06 -9.68500756e-02]
 [-7.33283417e-05 -1.88465285e-03  1.12044249e+00]
 [-3.70469165e-05 -7.27234068e-05  1.04654730e+00]]","[[ 9.60817126e+02 -7.37341129e+00  9.68104308e+01]
 [-1.79026891e+01 -5.53328973e+02  5.90741974e+02]
 [ 3.27681008e-02 -3.87112271e-02  1.00000000e+00]]",4
7,1.082615021,"[[ 6.80172536e-04 -1.98317851e-04  1.83710484e-01]
 [-4.25467409e-05 -1.45974521e-03  8.57972410e-01]
 [-2.10781335e-04 -3.11128595e-04  1.16312160e+00]]","[[ 1.42904027e+03 -1.73282085e+02 -9.78903935e+01]
 [ 1.31184847e+02 -8.28755148e+02  5.90608086e+02]
 [ 2.94062439e-01 -2.53089664e-01  1.00000000e+00]]",3,"[[ 1.04751810e-03 -5.09897947e-06 -9.82680509e-02]
 [-7.35776090e-05 -1.88729808e-03  1.12671656e+00]
 [-3.39253584e-05 -7.05957489e-05  1.04516003e+00]]","[[ 9.57333414e+02 -6.20352036e+00  9.66980128e+01]
 [-1.95595284e+01 -5.51995358e+02  5.93229952e+02]
 [ 2.97533955e-02 -3.74861086e-02  1.00000000e+00]]",4
8,1.131874021,"[[ 6.79150624e-04 -2.01460214e-04  1.86901933e-01]
 [-4.32432454e-05 -1.46389342e-03  8.66289335e-01]
 [-2.11847887e-04 -3.12980023e-04  1.16519660e+00]]","[[ 1.43042138e+03 -1.75731764e+02 -9.87936007e+01]
 [ 1.32747601e+02 -8.28522866e+02  5.94689120e+02]
 [ 2.95726141e-01 -2.54497403e-01  1.00000000e+00]]",3,"[[ 1.04833845e-03 -1.21650364e-05 -9.37138402e-02]
 [-7.30689161e-05 -1.89338284e-03  1.13634976e+00]
 [-3.36262817e-05 -7.71471635e-05  1.04925327e+00]]","[[ 9.56277994e+02 -1.00684925e+01  9.63140310e+01]
 [-1.93658378e+01 -5.52333622e+02  5.96452113e+02]
 [ 2.92227383e-02 -4.09334327e-02  1.00000000e+00]]",4
9,1.1811330210000002,"[[ 6.78148517e-04 -1.94330528e-04  1.84684787e-01]
 [-4.34513894e-05 -1.46022234e-03  8.70949755e-01]
 [-2.12667362e-04 -3.05243324e-04  1.16158991e+00]]","[[ 1.43220190e+03 -1.69580471e+02 -1.00560304e+02]
 [ 1.34926437e+02 -8.28090420e+02  5.99442439e+02]
 [ 2.97667872e-01 -2.48653421e-01  1.00000000e+00]]",3,"[[ 1.04890008e-03 -7.18476027e-06 -9.57896020e-02]
 [-7.15271140e-05 -1.88877506e-03  1.14047255e+00]
 [-3.36635331e-05 -7.28423571e-05  1.04693280e+00]]","[[ 9.55943605e+02 -7.31688236e+00  9.54351230e+01]
 [-1.84148272e+01 -5.52520961e+02  6.00201884e+02]
 [ 2.94565799e-02 -3.86779755e-02  1.00000000e+00]]",4
