world_index,world_timestamp,surface_name,event_type
0,0.7378040210000001,Surface 1,enter
43,2.855929021,Surface 1,exit
48,3.1022230210000004,Surface 1,enter
50,3.200740021,Surface 1,exit
60,3.693328021,Surface 1,enter
61,3.742586021,Surface 1,exit
85,4.924796021000001,Surface 1,enter
87,5.023313021,Surface 1,exit
90,5.171089021,Surface 1,enter
92,5.269607021000001,Surface 1,exit
97,5.515900021,Surface 1,enter
128,7.042921021000001,Surface 1,exit
147,7.978837021,Surface 1,enter
158,8.520683021,Surface 1,exit
165,8.865494021,Surface 1,enter
275,14.283954021000001,Surface 1,exit
281,14.579506021,Surface 1,enter
511,25.909013021000003,Surface 1,exit
520,26.352342021000002,Surface 1,enter
539,27.288257021000003,Surface 1,exit
543,27.485292021000003,Surface 1,enter
561,28.371949021000002,Surface 1,exit
563,28.470467021,Surface 1,enter
569,28.766019021,Surface 1,exit
572,28.913795021000002,Surface 1,enter
588,29.701935021,Surface 1,exit
593,29.948229021000003,Surface 1,enter
619,31.228956021000002,Surface 1,exit
630,31.770802021,Surface 1,enter
632,31.869319021000003,Surface 1,exit
636,32.066354021,Surface 1,enter
654,32.953011021,Surface 1,exit
667,33.593374021,Surface 1,enter
687,34.578549021,Surface 1,exit
692,34.824843021,Surface 1,enter
696,35.021877021,Surface 1,exit
699,35.169654021,Surface 1,enter
710,35.711500021,Surface 1,exit
715,35.957793021,Surface 1,enter
733,36.844450021,Surface 1,exit
757,38.026660021000005,Surface 1,enter
758,38.075918021,Surface 1,exit
767,38.519247021000005,Surface 1,enter
767,38.519247021000005,Surface 1,exit
791,39.701456021000006,Surface 1,enter
794,39.849233021,Surface 1,exit
801,40.194044021,Surface 1,enter
808,40.538855021,Surface 1,exit
811,40.686631021000004,Surface 1,enter
870,43.592896021,Surface 1,exit
876,43.888448021,Surface 1,enter
876,43.888448021,Surface 1,exit
878,43.986966021,Surface 1,enter
879,44.036224021,Surface 1,exit
883,44.233259021,Surface 1,enter
896,44.873623021,Surface 1,exit
903,45.218434021,Surface 1,enter
908,45.464727021,Surface 1,exit
912,45.661762021,Surface 1,enter
919,46.006573021,Surface 1,exit
932,46.646937021,Surface 1,enter
973,48.666545021000005,Surface 1,exit
982,49.109873021000006,Surface 1,enter
993,49.651719021000005,Surface 1,exit
996,49.799495021000006,Surface 1,enter
996,49.799495021000006,Surface 1,exit
1000,49.996530021000005,Surface 1,enter
1015,50.735411021000004,Surface 1,exit
1023,51.129481021000004,Surface 1,enter
1024,51.178740021,Surface 1,exit
1032,51.572809021000005,Surface 1,enter
1039,51.917621021,Surface 1,exit
1046,52.262432021,Surface 1,enter
1051,52.508725021000004,Surface 1,exit
1064,53.149089021,Surface 1,enter
1076,53.740193021,Surface 1,exit
1079,53.887970021,Surface 1,enter
1085,54.183522021,Surface 1,exit
1088,54.331298021,Surface 1,enter
1088,54.331298021,Surface 1,exit
1090,54.429816021,Surface 1,enter
1093,54.577592021,Surface 1,exit
1097,54.774627021,Surface 1,enter
1099,54.873144021,Surface 1,exit
1102,55.020920021,Surface 1,enter
1145,57.139045021,Surface 1,exit
1157,57.73015002100001,Surface 1,enter
1195,59.601982021000005,Surface 1,exit
1204,60.045310021000006,Surface 1,enter
1242,61.917142021000004,Surface 1,exit
1247,62.163436021,Surface 1,enter
1283,63.936750021,Surface 1,exit
1291,64.33082002100001,Surface 1,enter
1291,64.33082002100001,Surface 1,exit
1299,64.72488902100001,Surface 1,enter
1306,65.069700021,Surface 1,exit
1322,65.857840021,Surface 1,enter
1327,66.10413402100001,Surface 1,exit
1335,66.49820302100001,Surface 1,enter
1337,66.59672102100001,Surface 1,exit
1350,67.237084021,Surface 1,enter
1462,72.75406202100001,Surface 1,exit
1488,74.03478902100001,Surface 1,enter
1488,74.03478902100001,Surface 1,exit
