world_index,world_timestamp,img_to_surf_trans,surf_to_img_trans,num_detected_markers,dist_img_to_surf_trans,surf_to_dist_img_trans,num_definition_markers
0,1.082601482,"[[ 8.37153837e-04  1.36541331e-04 -4.64391123e-01]
 [ 2.04626642e-04 -1.17111147e-03  1.19170253e+00]
 [ 2.34851869e-04  2.31503342e-04  6.60366302e-01]]","[[ 1.04056687e+03  1.96040325e+02  3.77984558e+02]
 [-1.43547774e+02 -6.56416495e+02  1.08362720e+03]
 [-3.19742670e-01  1.60399122e-01  1.00000000e+00]]",4,"[[ 8.86019032e-04  1.09274533e-04 -4.94662245e-01]
 [ 7.56101286e-05 -1.43985536e-03  1.44048251e+00]
 [ 2.11555809e-05  1.11778207e-04  8.76495111e-01]]","[[ 1.10828587e+03  1.17656445e+02  4.32113221e+02]
 [ 2.78797677e+01 -6.12971411e+02  1.02312683e+03]
 [-3.03056817e-02  7.53315726e-02  1.00000000e+00]]",4
1,1.131860482,"[[ 8.37105500e-04  1.35729267e-04 -4.61411440e-01]
 [ 2.02306829e-04 -1.17116337e-03  1.19404918e+00]
 [ 2.34540834e-04  2.31718820e-04  6.60687066e-01]]","[[ 1.04227818e+03  1.95061781e+02  3.75375464e+02]
 [-1.45252101e+02 -6.56136387e+02  1.08438347e+03]
 [-3.19060503e-01  1.60876763e-01  1.00000000e+00]]",4,"[[ 8.86314586e-04  1.08188148e-04 -4.91917743e-01]
 [ 7.39299097e-05 -1.44033766e-03  1.44244542e+00]
 [ 2.22890074e-05  1.12380050e-04  8.75388725e-01]]","[[ 1.10771277e+03  1.16759708e+02  4.30076435e+02]
 [ 2.53518375e+01 -6.12517436e+02  1.02353842e+03]
 [-3.14590058e-02  7.56604239e-02  1.00000000e+00]]",4
2,1.181118482,"[[ 8.35968554e-04  1.35266761e-04 -4.57206612e-01]
 [ 1.99002362e-04 -1.16984654e-03  1.19610690e+00]
 [ 2.32105327e-04  2.31382470e-04  6.62639476e-01]]","[[ 1.04684306e+03  1.94474951e+02  3.71258802e+02]
 [-1.45049091e+02 -6.56864740e+02  1.08560246e+03]
 [-3.16033139e-01  1.61246526e-01  1.00000000e+00]]",4,"[[ 8.86423933e-04  1.07315018e-04 -4.88344815e-01]
 [ 7.23220076e-05 -1.44069671e-03  1.44443830e+00]
 [ 2.28060982e-05  1.12301164e-04  8.75263456e-01]]","[[ 1.10769680e+03  1.15790173e+02  4.26941427e+02]
 [ 2.36286713e+01 -6.12526292e+02  1.02402924e+03]
 [-3.18941332e-02  7.55734667e-02  1.00000000e+00]]",4
3,1.230377482,"[[ 8.33008251e-04  1.34181972e-04 -4.50692683e-01]
 [ 1.94115157e-04 -1.16725922e-03  1.19807460e+00]
 [ 2.27356400e-04  2.30883315e-04  6.65780867e-01]]","[[ 1.05546064e+03  1.93706372e+02  3.65906732e+02]
 [-1.43383577e+02 -6.58132813e+02  1.08725005e+03]
 [-3.10704115e-01  1.62082612e-01  1.00000000e+00]]",4,"[[ 8.85198489e-04  1.05736457e-04 -4.82703621e-01]
 [ 6.97868708e-05 -1.44044204e-03  1.44649134e+00]
 [ 2.20677375e-05  1.12083702e-04  8.75816495e-01]]","[[ 1.11012842e+03  1.14396850e+02  4.22907034e+02]
 [ 2.27685772e+01 -6.12826897e+02  1.02468871e+03]
 [-3.08854756e-02  7.55448520e-02  1.00000000e+00]]",4
4,1.2796364820000001,"[[ 8.30382805e-04  1.33485087e-04 -4.43719194e-01]
 [ 1.89904522e-04 -1.16483152e-03  1.19947411e+00]
 [ 2.22742604e-04  2.30172299e-04  6.69440966e-01]]","[[ 1.06373747e+03  1.92918793e+02  3.59403813e+02]
 [-1.41087393e+02 -6.59604894e+02  1.08833467e+03]
 [-3.05426849e-01  1.62600657e-01  1.00000000e+00]]",4,"[[ 8.84467674e-04  1.04565172e-04 -4.76794693e-01]
 [ 6.84741360e-05 -1.44037501e-03  1.44747089e+00]
 [ 2.19834516e-05  1.11747876e-04  8.76294122e-01]]","[[ 1.11147920e+03  1.13112010e+02  4.17920233e+02]
 [ 2.19986912e+01 -6.13160563e+02  1.02479396e+03]
 [-3.06888471e-02  7.53546062e-02  1.00000000e+00]]",4
5,1.3288944820000002,"[[ 8.27091611e-04  1.32949867e-04 -4.35825892e-01]
 [ 1.85279657e-04 -1.16176012e-03  1.20043777e+00]
 [ 2.17116323e-04  2.29548153e-04  6.73543273e-01]]","[[ 1.07360521e+03  1.92377108e+02  3.51823276e+02]
 [-1.37837348e+02 -6.61285660e+02  1.08940171e+03]
 [-2.99100168e-01  1.63358014e-01  1.00000000e+00]]",4,"[[ 8.83368418e-04  1.03500827e-04 -4.70133749e-01]
 [ 6.72615137e-05 -1.43997183e-03  1.44791388e+00]
 [ 2.15528699e-05  1.11503317e-04  8.76852382e-01]]","[[ 1.11345122e+03  1.11945149e+02  4.12137859e+02]
 [ 2.17138354e+01 -6.13545151e+02  1.02476650e+03]
 [-3.01296258e-02  7.52687475e-02  1.00000000e+00]]",4
6,1.378153482,"[[ 8.22866501e-04  1.32267278e-04 -4.27070576e-01]
 [ 1.79720010e-04 -1.15797689e-03  1.20148004e+00]
 [ 2.10669104e-04  2.29137385e-04  6.77636338e-01]]","[[ 1.08535435e+03  1.91973077e+02  3.43652006e+02]
 [-1.34472335e+02 -6.63069784e+02  1.09090362e+03]
 [-2.91953041e-01  1.64529665e-01  1.00000000e+00]]",4,"[[ 8.81696418e-04  1.02287475e-04 -4.62783120e-01]
 [ 6.53223656e-05 -1.43930990e-03  1.44871704e+00]
 [ 2.07824402e-05  1.11555900e-04  8.77222543e-01]]","[[ 1.11639893e+03  1.10804491e+02  4.05970216e+02]
 [ 2.13169511e+01 -6.13821344e+02  1.02496063e+03]
 [-2.91596765e-02  7.54342277e-02  1.00000000e+00]]",4
7,1.427412482,"[[ 8.17765786e-04  1.31520816e-04 -4.17473689e-01]
 [ 1.73455074e-04 -1.15395240e-03  1.20205059e+00]
 [ 2.02996222e-04  2.28222868e-04  6.82797872e-01]]","[[ 1.09909812e+03  1.91499038e+02  3.34876578e+02]
 [-1.29932877e+02 -6.65422099e+02  1.09201786e+03]
 [-2.83332917e-01  1.65482294e-01  1.00000000e+00]]",4,"[[ 8.79242600e-04  1.01081184e-04 -4.54721735e-01]
 [ 6.31004279e-05 -1.43795486e-03  1.44841123e+00]
 [ 1.91367718e-05  1.11465731e-04  8.78127862e-01]]","[[ 1.12077460e+03  1.09742074e+02  3.99359744e+02]
 [ 2.17931524e+01 -6.14461179e+02  1.02479642e+03]
 [-2.71910258e-02  7.56054535e-02  1.00000000e+00]]",4
8,1.4766714820000002,"[[ 8.13070352e-04  1.29115050e-04 -4.06903546e-01]
 [ 1.66277574e-04 -1.15065397e-03  1.20418868e+00]
 [ 1.96118428e-04  2.26376219e-04  6.88316987e-01]]","[[ 1.11241300e+03  1.89111179e+02  3.26766963e+02]
 [-1.27176487e+02 -6.68161261e+02  1.09374558e+03]
 [-2.75127536e-01  1.65864906e-01  1.00000000e+00]]",4,"[[ 8.77231297e-04  9.81501122e-05 -4.45677854e-01]
 [ 5.94465946e-05 -1.43739723e-03  1.45015420e+00]
 [ 1.80166667e-05  1.10627035e-04  8.79504601e-01]]","[[ 1.12461607e+03  1.07066067e+02  3.93351175e+02]
 [ 2.06483591e+01 -6.15393451e+02  1.02514292e+03]
 [-2.56349989e-02  7.52129998e-02  1.00000000e+00]]",4
9,1.525929482,"[[ 8.09535444e-04  1.27744932e-04 -3.97700210e-01]
 [ 1.60158797e-04 -1.14779636e-03  1.20604047e+00]
 [ 1.90215293e-04  2.24896326e-04  6.93124090e-01]]","[[ 1.12337086e+03  1.87422771e+02  3.18450021e+02]
 [-1.24675938e+02 -6.70523883e+02  1.09517950e+03]
 [-2.67835384e-01  1.66128522e-01  1.00000000e+00]]",4,"[[ 8.76644710e-04  9.62564880e-05 -4.38125661e-01]
 [ 5.70358363e-05 -1.43742049e-03  1.45157217e+00]
 [ 1.80731692e-05  1.10113607e-04  8.80112458e-01]]","[[ 1.12589503e+03  1.05057231e+02  3.87206599e+02]
 [ 1.89344934e+01 -6.15886546e+02  1.02520927e+03]
 [-2.54892845e-02  7.48981242e-02  1.00000000e+00]]",4
