world_index,world_timestamp,surface_name,event_type
0,1.082601482,Surface 1,enter
20,2.067775482,Surface 1,exit
23,2.215552482,Surface 1,enter
644,32.805221482,Surface 1,exit
646,32.903738482,Surface 1,enter
646,32.903738482,Surface 1,exit
653,33.248549482,Surface 1,enter
655,33.347066482,Surface 1,exit
657,33.445584482,Surface 1,enter
657,33.445584482,Surface 1,exit
659,33.544101482,Surface 1,enter
659,33.544101482,Surface 1,exit
661,33.642619482,Surface 1,enter
662,33.691878482,Surface 1,exit
666,33.888913482,Surface 1,enter
670,34.085947482,Surface 1,exit
672,34.184465482,Surface 1,enter
674,34.282982482,Surface 1,exit
676,34.381500482,Surface 1,enter
679,34.529276482,Surface 1,exit
686,34.874087482,Surface 1,enter
686,34.874087482,Surface 1,exit
697,35.415933482,Surface 1,enter
697,35.415933482,Surface 1,exit
706,35.859262482000005,Surface 1,enter
744,37.731093482000006,Surface 1,exit
746,37.829611482000004,Surface 1,enter
746,37.829611482000004,Surface 1,exit
748,37.928128482000005,Surface 1,enter
787,39.849218482000005,Surface 1,exit
789,39.947736482,Surface 1,enter
790,39.996995482,Surface 1,exit
792,40.095512482000004,Surface 1,enter
792,40.095512482000004,Surface 1,exit
795,40.243288482000004,Surface 1,enter
797,40.341806482,Surface 1,exit
801,40.538841482,Surface 1,enter
1206,60.488625482,Surface 1,exit
1215,60.931953482000004,Surface 1,enter
1217,61.030471482,Surface 1,exit
1230,61.670834482000004,Surface 1,enter
1289,64.57709948200001,Surface 1,exit
1293,64.77413448200001,Surface 1,enter
1323,66.251896482,Surface 1,exit
1337,66.941518482,Surface 1,enter
1346,67.384846482,Surface 1,exit
1348,67.483364482,Surface 1,enter
1348,67.483364482,Surface 1,exit
1354,67.778916482,Surface 1,enter
1355,67.828175482,Surface 1,exit
1361,68.123727482,Surface 1,enter
1364,68.271503482,Surface 1,exit
1366,68.370021482,Surface 1,enter
1366,68.370021482,Surface 1,exit
1368,68.468538482,Surface 1,enter
1368,68.468538482,Surface 1,exit
1376,68.862608482,Surface 1,enter
1377,68.911867482,Surface 1,exit
1379,69.010384482,Surface 1,enter
1379,69.010384482,Surface 1,exit
1382,69.158160482,Surface 1,enter
1382,69.158160482,Surface 1,exit
1384,69.256678482,Surface 1,enter
1384,69.256678482,Surface 1,exit
1388,69.453713482,Surface 1,enter
1388,69.453713482,Surface 1,exit
1401,70.094076482,Surface 1,enter
1405,70.291111482,Surface 1,exit
1408,70.438887482,Surface 1,enter
1409,70.488146482,Surface 1,exit
1412,70.635922482,Surface 1,enter
1470,73.49292848200001,Surface 1,exit
1475,73.739222482,Surface 1,enter
1641,81.91617148200001,Surface 1,exit
1649,82.31024048200001,Surface 1,enter
1656,82.655051482,Surface 1,exit
1664,83.049121482,Surface 1,enter
1670,83.344674482,Surface 1,exit
1672,83.443191482,Surface 1,enter
1672,83.443191482,Surface 1,exit
1674,83.541709482,Surface 1,enter
1682,83.935778482,Surface 1,exit
1684,84.034296482,Surface 1,enter
1687,84.18207248200001,Surface 1,exit
1690,84.329848482,Surface 1,enter
1698,84.723918482,Surface 1,exit
1714,85.512058482,Surface 1,enter
1720,85.807610482,Surface 1,exit
1722,85.906127482,Surface 1,enter
1839,91.669398482,Surface 1,exit
1857,92.556055482,Surface 1,enter
1930,96.15194248200001,Surface 1,exit
1932,96.25046048200001,Surface 1,enter
1933,96.299719482,Surface 1,exit
1939,96.595271482,Surface 1,enter
1943,96.792306482,Surface 1,exit
1946,96.94008248200001,Surface 1,enter
1951,97.186376482,Surface 1,exit
1953,97.284893482,Surface 1,enter
1972,98.220809482,Surface 1,exit
1974,98.31932648200001,Surface 1,enter
1974,98.31932648200001,Surface 1,exit
1978,98.51636148200001,Surface 1,enter
1979,98.565620482,Surface 1,exit
1981,98.664137482,Surface 1,enter
1981,98.664137482,Surface 1,exit
1984,98.811914482,Surface 1,enter
1984,98.811914482,Surface 1,exit
1986,98.910431482,Surface 1,enter
1990,99.107466482,Surface 1,exit
1992,99.20598348200001,Surface 1,enter
1997,99.452277482,Surface 1,exit
1999,99.550794482,Surface 1,enter
2012,100.191158482,Surface 1,exit
2016,100.388193482,Surface 1,enter
2037,101.42262648200001,Surface 1,exit
2041,101.61966148200001,Surface 1,enter
2054,102.260024482,Surface 1,exit
2061,102.60483548200001,Surface 1,enter
2093,104.18111548200001,Surface 1,exit
2100,104.525926482,Surface 1,enter
2155,107.23515648200001,Surface 1,exit
2161,107.53070848200001,Surface 1,enter
2163,107.629226482,Surface 1,exit
2173,108.12181348200001,Surface 1,enter
2280,113.39249748200001,Surface 1,exit
2284,113.58953148200001,Surface 1,enter
2287,113.737308482,Surface 1,exit
2293,114.032860482,Surface 1,enter
2295,114.131377482,Surface 1,exit
2301,114.426930482,Surface 1,enter
2301,114.426930482,Surface 1,exit
2406,119.59909648200001,Surface 1,enter
2406,119.59909648200001,Surface 1,exit
2409,119.746872482,Surface 1,enter
2422,120.387236482,Surface 1,exit
