world_index,world_timestamp,img_to_surf_trans,surf_to_img_trans,num_detected_markers,dist_img_to_surf_trans,surf_to_dist_img_trans,num_definition_markers
0,1.624880632,"[[ 1.50861188e-03 -1.09917117e-04 -1.04149441e+00]
 [ 6.09307069e-05 -2.50781746e-03  2.16900496e+00]
 [ 2.81433889e-04 -6.68418033e-05  8.46633670e-01]]","[[ 5.23806849e+02 -4.30741361e+01  7.54718297e+02]
 [-1.47974815e+02 -4.15808578e+02  8.83234334e+02]
 [-1.85803976e-01 -1.85096271e-02  1.00000000e+00]]",3,"[[ 1.55488588e-03 -1.11301116e-04 -1.08313898e+00]
 [-1.14423983e-04 -2.64451100e-03  2.40291207e+00]
 [ 4.28810898e-05 -9.81627891e-05  1.05341044e+00]]","[[ 6.18205171e+02 -5.42033360e+01  7.59293756e+02]
 [-5.42045983e+01 -4.08369165e+02  8.75787869e+02]
 [-3.02163192e-02 -3.58477160e-02  1.00000000e+00]]",4
1,1.6741396320000002,"[[ 1.52208477e-03 -1.07413721e-04 -1.04410649e+00]
 [ 3.90257488e-05 -2.55552472e-03  2.22751048e+00]
 [ 2.67443597e-04 -9.98664439e-05  8.88063961e-01]]","[[ 5.26830083e+02 -5.13858561e+01  7.48289844e+02]
 [-1.44401297e+02 -4.19748868e+02  8.83072286e+02]
 [-1.74895259e-01 -3.17274541e-02  1.00000000e+00]]",2,"[[ 1.54709779e-03 -1.06134763e-04 -1.07172220e+00]
 [-1.33489223e-04 -2.65679325e-03  2.42730151e+00]
 [ 2.23737545e-05 -1.13530379e-04  1.08258622e+00]]","[[ 6.30535485e+02 -5.73581804e+01  7.52812536e+02]
 [-4.82051343e+01 -4.11892503e+02  8.75796093e+02]
 [-1.80864978e-02 -4.20095816e-02  1.00000000e+00]]",4
6,1.9204336320000002,"[[ 1.51907682e-03 -1.23680925e-04 -9.17659751e-01]
 [-3.45523237e-05 -2.52470071e-03  2.26115380e+00]
 [ 2.21164072e-04 -6.02761025e-05  9.03862582e-01]]","[[ 5.58847710e+02 -4.35223453e+01  6.76256302e+02]
 [-1.38382139e+02 -4.10468831e+02  8.86357564e+02]
 [-1.45971494e-01 -1.67236508e-02  1.00000000e+00]]",4,"[[ 1.54092192e-03 -1.34774506e-04 -9.34224241e-01]
 [-1.62581700e-04 -2.65055923e-03  2.43671688e+00]
 [ 3.83863890e-05 -9.36577551e-05  1.05595915e+00]]","[[ 6.26042176e+02 -5.59672651e+01  6.83018995e+02]
 [-6.45889917e+01 -4.04998621e+02  8.77426341e+02]
 [-2.84866687e-02 -3.38866143e-02  1.00000000e+00]]",4
7,1.9696916320000002,"[[ 1.52093349e-03 -1.20517742e-04 -9.18699200e-01]
 [-2.51312071e-05 -2.52536236e-03  2.25988151e+00]
 [ 2.20987879e-04 -5.75934982e-05  9.02115118e-01]]","[[ 5.58805493e+02 -4.20485508e+01  6.74413818e+02]
 [-1.35818478e+02 -4.09756587e+02  8.88162711e+02]
 [-1.45559585e-01 -1.58595005e-02  1.00000000e+00]]",4,"[[ 1.54368327e-03 -1.32161204e-04 -9.35527525e-01]
 [-1.53280684e-04 -2.65523571e-03  2.43855820e+00]
 [ 3.95192185e-05 -9.41901776e-05  1.05587512e+00]]","[[ 6.24871609e+02 -5.52701297e+01  6.81296495e+02]
 [-6.26872688e+01 -4.04677669e+02  8.79066439e+02]
 [-2.89797175e-02 -3.40309460e-02  1.00000000e+00]]",4
8,2.018950632,"[[ 1.52050526e-03 -1.14721182e-04 -9.23260554e-01]
 [-1.75362208e-05 -2.52147871e-03  2.25648066e+00]
 [ 2.20829659e-04 -5.31692930e-05  8.98410582e-01]]","[[ 5.59276569e+02 -3.96659218e+01  6.74372489e+02]
 [-1.34009777e+02 -4.09267096e+02  8.90213627e+02]
 [-1.45401292e-01 -1.44711454e-02  1.00000000e+00]]",4,"[[ 1.54401912e-03 -1.26706699e-04 -9.40337270e-01]
 [-1.46737887e-04 -2.65434356e-03  2.43835085e+00]
 [ 3.90233114e-05 -9.23925900e-05  1.05480727e+00]]","[[ 6.25350177e+02 -5.35666814e+01  6.81313508e+02]
 [-6.07082237e+01 -4.04507636e+02  8.80962199e+02]
 [-2.84528042e-02 -3.34498632e-02  1.00000000e+00]]",4
9,2.0682096320000003,"[[ 1.51813250e-03 -1.13889442e-04 -9.22307625e-01]
 [-1.85921162e-05 -2.52169646e-03  2.26002721e+00]
 [ 2.17855685e-04 -5.26989850e-05  9.00048919e-01]]","[[ 5.61444352e+02 -3.94505183e+01  6.74389623e+02]
 [-1.32909186e+02 -4.09181515e+02  8.91260669e+02]
 [-1.43678883e-01 -1.44091399e-02  1.00000000e+00]]",4,"[[ 1.54191145e-03 -1.26029175e-04 -9.39446061e-01]
 [-1.48262178e-04 -2.65568552e-03  2.44314889e+00]
 [ 3.61031138e-05 -9.27435593e-05  1.05719417e+00]]","[[ 6.27440885e+02 -5.35709140e+01  6.81358837e+02]
 [-5.95468976e+01 -4.04524062e+02  8.81930155e+02]
 [-2.66508857e-02 -3.36578896e-02  1.00000000e+00]]",4
10,2.117468632,"[[ 1.51673046e-03 -1.14675768e-04 -9.18245129e-01]
 [-2.40956328e-05 -2.52248692e-03  2.26449405e+00]
 [ 2.14518834e-04 -5.31400435e-05  9.03035389e-01]]","[[ 5.63523372e+02 -3.97921030e+01  6.72799294e+02]
 [-1.32561018e+02 -4.09184272e+02  8.91296008e+02]
 [-1.41667399e-01 -1.46261316e-02  1.00000000e+00]]",4,"[[ 1.54065030e-03 -1.26917542e-04 -9.35446207e-01]
 [-1.52561956e-04 -2.65646746e-03  2.44647915e+00]
 [ 3.46011701e-05 -9.26253611e-05  1.05816435e+00]]","[[ 6.28487749e+02 -5.37312660e+01  6.79827195e+02]
 [-5.98452487e+01 -4.04330854e+02  8.81909309e+02]
 [-2.57895659e-02 -3.36357265e-02  1.00000000e+00]]",4
11,2.166726632,"[[ 1.51222182e-03 -1.12016075e-04 -9.09962225e-01]
 [-4.07281742e-05 -2.53294093e-03  2.28488210e+00]
 [ 1.98388789e-04 -6.34051754e-05  9.24038260e-01]]","[[ 5.72542536e+02 -4.20355578e+01  6.67762797e+02]
 [-1.28015189e+02 -4.11448661e+02  8.91329647e+02]
 [-1.31707583e-01 -1.92076366e-02  1.00000000e+00]]",3,"[[ 1.52769838e-03 -1.24529998e-04 -9.21331794e-01]
 [-1.92514264e-04 -2.69453777e-03  2.50604259e+00]
 [-4.84398687e-06 -1.30798345e-04  1.11861035e+00]]","[[ 6.48812196e+02 -6.27495629e+01  6.74966382e+02]
 [-4.90794330e+01 -4.11658345e+02  8.81821719e+02]
 [-2.92923346e-03 -4.84066578e-02  1.00000000e+00]]",4
14,2.314503632,"[[ 1.50130103e-03 -1.04917162e-04 -8.70714992e-01]
 [-5.43350291e-05 -2.53728837e-03  2.30197375e+00]
 [ 1.63071045e-04 -6.93562355e-05  9.57210514e-01]]","[[ 5.94784255e+02 -4.21546769e+01  6.42415141e+02]
 [-1.12032158e+02 -4.13912639e+02  8.93500371e+02]
 [-1.09445328e-01 -2.28092096e-02  1.00000000e+00]]",3,"[[ 1.52874098e-03 -1.20159305e-04 -8.88933628e-01]
 [-1.84967956e-04 -2.71117836e-03  2.51446374e+00]
 [-1.10131100e-05 -1.41429276e-04  1.13205556e+00]]","[[ 6.51221753e+02 -6.28158346e+01  6.50887713e+02]
 [-4.36058651e+01 -4.12974531e+02  8.83036840e+02]
 [ 8.87616213e-04 -5.22045815e-02  1.00000000e+00]]",4
15,2.363761632,"[[ 1.50515387e-03 -1.06722748e-04 -8.69197218e-01]
 [-4.94006232e-05 -2.54918648e-03  2.30187501e+00]
 [ 1.60491121e-04 -7.91642369e-05  9.67686410e-01]]","[[ 5.94605395e+02 -4.47878645e+01  6.40626358e+02]
 [-1.08592966e+02 -4.15392094e+02  8.90569475e+02]
 [-1.07499253e-01 -2.65542053e-02  1.00000000e+00]]",3,"[[ 1.53018544e-03 -1.21347829e-04 -8.86376951e-01]
 [-1.80345615e-04 -2.72195760e-03  2.51324438e+00]
 [-1.45610794e-05 -1.50455506e-04  1.14189982e+00]]","[[ 6.52037636e+02 -6.49458724e+01  6.49072686e+02]
 [-4.04446390e+01 -4.14238910e+02  8.80317522e+02]
 [ 2.98559746e-03 -5.54078438e-02  1.00000000e+00]]",4
