world_index,world_timestamp,surface_name,event_type
0,1.624880632,Surface 1,enter
1,1.6741396320000002,Surface 1,exit
6,1.9204336320000002,Surface 1,enter
11,2.166726632,Surface 1,exit
14,2.314503632,Surface 1,enter
15,2.363761632,Surface 1,exit
18,2.511537632,Surface 1,enter
21,2.659314632,Surface 1,exit
27,2.9548666320000003,Surface 1,enter
34,3.2996776320000003,Surface 1,exit
37,3.447453632,Surface 1,enter
71,5.122250632,Surface 1,exit
77,5.417802632,Surface 1,enter
361,19.407281632,Surface 1,exit
363,19.505798632,Surface 1,enter
365,19.604315632000002,Surface 1,exit
369,19.801350632000002,Surface 1,enter
405,21.574664632,Surface 1,exit
407,21.673182632,Surface 1,enter
415,22.067252632000002,Surface 1,exit
419,22.264287632000002,Surface 1,enter
421,22.362804632000003,Surface 1,exit
425,22.559839632000003,Surface 1,enter
427,22.658356632,Surface 1,exit
431,22.855391632,Surface 1,enter
433,22.953909632000002,Surface 1,exit
439,23.249461632000003,Surface 1,enter
446,23.594272632000003,Surface 1,exit
448,23.692790632,Surface 1,enter
452,23.889825632,Surface 1,exit
454,23.988342632000002,Surface 1,enter
467,24.628706632,Surface 1,exit
472,24.874999632,Surface 1,enter
521,27.288677632000002,Surface 1,exit
525,27.485712632000002,Surface 1,enter
555,28.963473632000003,Surface 1,exit
559,29.160508632000003,Surface 1,enter
560,29.209767632000002,Surface 1,exit
564,29.406802632,Surface 1,enter
585,30.441235632,Surface 1,exit
587,30.539753632000004,Surface 1,enter
596,30.983081632,Surface 1,exit
606,31.475668632,Surface 1,enter
640,33.150465632,Surface 1,exit
648,33.544535632,Surface 1,enter
653,33.790829632000005,Surface 1,exit
661,34.184898632,Surface 1,enter
668,34.529709632,Surface 1,exit
671,34.677486632000004,Surface 1,enter
678,35.022297632000004,Surface 1,exit
695,35.859695632000005,Surface 1,enter
719,37.041904632000005,Surface 1,exit
722,37.189681632,Surface 1,enter
727,37.435974632000004,Surface 1,exit
733,37.731527632,Surface 1,enter
