world_index,world_timestamp,img_to_surf_trans,surf_to_img_trans,num_detected_markers,dist_img_to_surf_trans,surf_to_dist_img_trans,num_definition_markers
0,0.9516827520000001,"[[ 1.10128476e-03 -1.57801708e-04 -2.32429999e-01]
 [-1.56893994e-04 -2.02884254e-03  1.56319138e+00]
 [-1.01090053e-04 -1.76307721e-04  1.16364738e+00]]","[[ 9.23050075e+02 -9.94225980e+01  3.17932291e+02]
 [-1.08655119e+01 -5.56865784e+02  7.45898061e+02]
 [ 7.85422704e-02 -9.30095965e-02  1.00000000e+00]]",3,"[[ 1.26556892e-03 -8.48451086e-05 -3.93248479e-01]
 [-1.59744792e-04 -2.22047126e-03  1.68539159e+00]
 [-2.47887155e-05 -4.54408301e-05  1.04223515e+00]]","[[ 7.92455751e+02 -3.76447933e+01  3.59878708e+02]
 [-4.41662962e+01 -4.63670456e+02  7.33133940e+02]
 [ 1.69222916e-02 -2.11111059e-02  1.00000000e+00]]",4
1,1.000940752,"[[ 1.08756377e-03 -1.72188857e-04 -2.08396846e-01]
 [-1.65626637e-04 -2.02622955e-03  1.55923974e+00]
 [-1.10689844e-04 -1.91329104e-04  1.17664627e+00]]","[[ 9.34438142e+02 -1.08628573e+02  3.09448945e+02]
 [-9.98666487e+00 -5.62953899e+02  7.44232927e+02]
 [ 8.62808768e-02 -1.01758317e-01  1.00000000e+00]]",3,"[[ 1.25912178e-03 -9.86280057e-05 -3.72644915e-01]
 [-1.69432354e-04 -2.22723323e-03  1.68846882e+00]
 [-2.78942513e-05 -5.89530718e-05  1.05296145e+00]]","[[ 7.96028240e+02 -4.46001379e+01  3.53234032e+02]
 [-4.65451855e+01 -4.66281473e+02  7.31229908e+02]
 [ 1.84818069e-02 -2.72876207e-02  1.00000000e+00]]",4
3,1.099458752,"[[ 1.08824297e-03 -2.13929970e-04 -1.60892571e-01]
 [-1.33352096e-04 -2.00508380e-03  1.50494347e+00]
 [ 4.09751412e-04 -1.40783448e-04  9.83460714e-01]]","[[ 7.96205882e+02 -1.05423137e+02  2.91582031e+02]
 [-3.38287073e+02 -5.13977082e+02  7.31171631e+02]
 [-3.80159268e-01 -2.96526194e-02  1.00000000e+00]]",1,"[[ 1.21898814e-03 -1.20605813e-04 -3.25647506e-01]
 [-2.20221332e-04 -2.11936467e-03  1.60091015e+00]
 [ 5.39109327e-04  6.20184455e-05  7.72897634e-01]]","[[ 6.65636411e+02 -2.79765006e+01  3.38402771e+02]
 [-3.95884353e+02 -4.28235774e+02  7.20209534e+02]
 [-4.32526444e-01  5.38763578e-02  1.00000000e+00]]",4
4,1.148717752,"[[ 1.07452690e-03 -1.72598046e-04 -1.73756903e-01]
 [-1.54437096e-04 -1.94164260e-03  1.45442280e+00]
 [-9.73811907e-05 -1.77555382e-04  1.15618596e+00]]","[[ 9.40206693e+02 -1.09042410e+02  2.78468326e+02]
 [-1.74749317e+01 -5.79948260e+02  7.26919032e+02]
 [ 7.65064461e-02 -9.82468376e-02  1.00000000e+00]]",2,"[[ 1.25263071e-03 -9.96556020e-05 -3.40775015e-01]
 [-1.55909725e-04 -2.14271770e-03  1.58205715e+00]
 [-8.08186671e-06 -3.51776696e-05  1.02778931e+00]]","[[ 7.95166729e+02 -4.23817790e+01  3.28883895e+02]
 [-5.46221451e+01 -4.75885325e+02  7.14410932e+02]
 [ 4.38314712e-03 -1.66211698e-02  1.00000000e+00]]",4
5,1.197975752,"[[ 1.04785040e-03 -1.98698051e-04 -1.46640962e-01]
 [-1.59704722e-04 -1.92599931e-03  1.46431987e+00]
 [-1.32741147e-04 -2.10438868e-04  1.19224365e+00]]","[[ 9.69861083e+02 -1.30619284e+02  2.79716126e+02]
 [ 1.93598443e+00 -5.99947507e+02  7.37096776e+02]
 [ 1.08323394e-01 -1.20437486e-01  1.00000000e+00]]",2,"[[ 1.23487619e-03 -1.22471191e-04 -3.19139448e-01]
 [-1.59939318e-04 -2.08843140e-03  1.56474851e+00]
 [-3.56948437e-05 -4.07748361e-05  1.04130694e+00]]","[[ 8.12338464e+02 -5.40853107e+01  3.30238034e+02]
 [-4.25979115e+01 -4.90464821e+02  7.23955051e+02]
 [ 2.61780370e-02 -2.10592943e-02  1.00000000e+00]]",4
6,1.247234752,"[[ 9.98526187e-04 -1.82896687e-04 -1.54623818e-01]
 [-6.30610182e-04 -1.68549134e-03  1.50492852e+00]
 [-6.46899613e-04 -1.85369947e-05  1.20724523e+00]]","[[ 1.11597381e+03 -1.24374116e+02  2.97976149e+02]
 [ 1.18017782e+02 -6.14698879e+02  7.81387417e+02]
 [ 5.99804167e-01 -7.60841583e-02  1.00000000e+00]]",1,"[[ 1.17208550e-03 -1.27896167e-04 -3.08421123e-01]
 [-8.87058343e-04 -2.00043537e-03  1.79759851e+00]
 [-8.65616984e-04  2.60795993e-05  1.27877372e+00]]","[[ 1.05974136e+03 -6.32621508e+01  3.44522694e+02]
 [ 1.71546845e+02 -5.01135516e+02  7.45831033e+02]
 [ 7.13852833e-01 -3.26026240e-02  1.00000000e+00]]",4
7,1.2964937520000002,"[[ 1.04627295e-03 -1.95264076e-04 -1.63699426e-01]
 [-1.71353660e-04 -1.97222119e-03  1.47311099e+00]
 [-1.35192282e-04 -2.18102032e-04  1.19674951e+00]]","[[ 9.72352753e+02 -1.28465884e+02  2.91137025e+02]
 [-2.82038151e+00 -5.86566719e+02  7.21634875e+02]
 [ 1.09329024e-01 -1.21411363e-01  1.00000000e+00]]",3,"[[ 1.22309886e-03 -1.05977559e-04 -3.38433844e-01]
 [-1.78675762e-04 -2.17417105e-03  1.60401505e+00]
 [-4.68756736e-05 -6.13714461e-05  1.05942573e+00]]","[[ 8.23300542e+02 -4.96779281e+01  3.38218056e+02]
 [-4.26054972e+01 -4.77909182e+02  7.09964234e+02]
 [ 3.39599138e-02 -2.98828535e-02  1.00000000e+00]]",4
15,1.690563752,"[[ 1.03749407e-03 -9.60986145e-05 -2.34392133e-01]
 [-1.75462476e-04 -1.89964393e-03  1.73251434e+00]
 [-1.02541167e-04 -3.22276133e-05  1.06003468e+00]]","[[ 9.84969115e+02 -5.50485770e+01  3.07764893e+02]
 [-4.19687988e+00 -5.41192368e+02  8.83593565e+02]
 [ 9.51521948e-02 -2.17786116e-02  1.00000000e+00]]",2,"[[ 1.33951984e-03 -1.42539425e-04 -3.99408245e-01]
 [-2.03612208e-04 -2.32857772e-03  2.07634846e+00]
 [ 4.12068070e-05 -5.93686087e-05  1.03486890e+00]]","[[ 7.26289182e+02 -5.43872671e+01  3.89433681e+02]
 [-9.41082976e+01 -4.45551835e+02  8.57628665e+02]
 [-3.43184888e-02 -2.33949120e-02  1.00000000e+00]]",4
16,1.739821752,"[[ 1.06507248e-03 -1.20330777e-04 -2.43533545e-01]
 [-2.10396808e-04 -1.92437043e-03  1.78889807e+00]
 [-9.15469401e-05 -3.86583307e-05  1.06471836e+00]]","[[ 9.54140460e+02 -6.62837949e+01  3.29608442e+02]
 [-2.90350745e+01 -5.35785570e+02  8.93564711e+02]
 [ 8.09849768e-02 -2.51528059e-02  1.00000000e+00]]",3,"[[ 1.24330546e-03 -1.28123494e-04 -3.59189151e-01]
 [-2.15407163e-04 -2.18704599e-03  1.97312723e+00]
 [-2.35474244e-05 -2.82792468e-05  1.03336197e+00]]","[[ 8.02475515e+02 -5.18994340e+01  3.78032767e+02]
 [-6.41232543e+01 -4.64665391e+02  8.64954954e+02]
 [ 1.65313555e-02 -1.38987941e-02  1.00000000e+00]]",4
17,1.789080752,"[[ 1.07269038e-03 -1.36790767e-04 -2.36074917e-01]
 [-2.38816964e-04 -1.93527077e-03  1.82176139e+00]
 [-8.30281875e-05 -4.30784690e-05  1.06657370e+00]]","[[ 9.41675401e+02 -7.40140954e+01  3.34849775e+02]
 [-4.90646141e+01 -5.33289791e+02  9.00025780e+02]
 [ 7.13236911e-02 -2.73010331e-02  1.00000000e+00]]",3,"[[ 1.24270457e-03 -1.54050380e-04 -3.45794472e-01]
 [-2.32882028e-04 -2.18459594e-03  1.98122196e+00]
 [-2.88786703e-05 -4.02763948e-05  1.04600660e+00]]","[[ 8.01730102e+02 -6.36442200e+01  3.85587588e+02]
 [-6.77581126e+01 -4.68934856e+02  8.65801086e+02]
 [ 1.95255429e-02 -1.98134178e-02  1.00000000e+00]]",4
