world_index,world_timestamp,surface_name,event_type
0,0.9516827520000001,Surface 1,enter
1,1.000940752,Surface 1,exit
3,1.099458752,Surface 1,enter
7,1.2964937520000002,Surface 1,exit
15,1.690563752,Surface 1,enter
21,1.9861157520000001,Surface 1,exit
45,3.168324752,Surface 1,enter
46,3.2175837520000004,Surface 1,exit
52,3.513135752,Surface 1,enter
67,4.252016752,Surface 1,exit
71,4.449051752,Surface 1,enter
83,5.040156752000001,Surface 1,exit
90,5.3849677520000006,Surface 1,enter
102,5.976072752,Surface 1,exit
108,6.271624752,Surface 1,enter
108,6.271624752,Surface 1,exit
110,6.3701427520000005,Surface 1,enter
127,7.207540752000001,Surface 1,exit
131,7.404575752,Surface 1,enter
134,7.552351752000001,Surface 1,exit
138,7.749386752,Surface 1,enter
138,7.749386752,Surface 1,exit
141,7.897162752000001,Surface 1,enter
149,8.291232752,Surface 1,exit
155,8.586784752,Surface 1,enter
171,9.374924752,Surface 1,exit
180,9.818252752000001,Surface 1,enter
189,10.261581752000001,Surface 1,exit
194,10.507875752,Surface 1,enter
200,10.803427752000001,Surface 1,exit
202,10.901944752,Surface 1,enter
202,10.901944752,Surface 1,exit
209,11.246755752,Surface 1,enter
213,11.443790752,Surface 1,exit
218,11.690084752,Surface 1,enter
218,11.690084752,Surface 1,exit
226,12.084154752,Surface 1,enter
231,12.330447752000001,Surface 1,exit
234,12.478224752000001,Surface 1,enter
236,12.576741752,Surface 1,exit
239,12.724517752,Surface 1,enter
243,12.921552752,Surface 1,exit
245,13.020070752,Surface 1,enter
263,13.906727752,Surface 1,exit
267,14.103762752000002,Surface 1,enter
282,14.842642752000001,Surface 1,exit
292,15.335230752000001,Surface 1,enter
292,15.335230752000001,Surface 1,exit
297,15.581523752,Surface 1,enter
303,15.877076752,Surface 1,exit
311,16.271146752,Surface 1,enter
330,17.207061752,Surface 1,exit
340,17.699649752000003,Surface 1,enter
347,18.044460752000003,Surface 1,exit
349,18.142977752,Surface 1,enter
352,18.290753752,Surface 1,exit
363,18.832599752,Surface 1,enter
377,19.522221752,Surface 1,exit
380,19.669998752,Surface 1,enter
432,22.231451752,Surface 1,exit
434,22.329969752,Surface 1,enter
444,22.822556752,Surface 1,exit
451,23.167367752,Surface 1,enter
455,23.364402752,Surface 1,exit
462,23.709213752,Surface 1,enter
472,24.201800752,Surface 1,exit
478,24.497353752000002,Surface 1,enter
478,24.497353752000002,Surface 1,exit
488,24.989940752000003,Surface 1,enter
495,25.334751752000003,Surface 1,exit
501,25.630303752000003,Surface 1,enter
505,25.827338752000003,Surface 1,exit
508,25.975115752,Surface 1,enter
521,26.615478752,Surface 1,exit
526,26.861772752,Surface 1,enter
533,27.206583752,Surface 1,exit
539,27.502135752,Surface 1,enter
574,29.226191752000002,Surface 1,exit
577,29.373967752000002,Surface 1,enter
612,31.098022752000002,Surface 1,exit
617,31.344316752,Surface 1,enter
645,32.723560752000004,Surface 1,exit
659,33.413182752000004,Surface 1,enter
660,33.462441752000004,Surface 1,exit
662,33.560958752000005,Surface 1,enter
663,33.610217752000004,Surface 1,exit
666,33.757993752000004,Surface 1,enter
679,34.398357752,Surface 1,exit
681,34.496874752000004,Surface 1,enter
681,34.496874752000004,Surface 1,exit
683,34.595392752,Surface 1,enter
695,35.186496752000004,Surface 1,exit
697,35.285014752,Surface 1,enter
707,35.777601752,Surface 1,exit
713,36.073153752,Surface 1,enter
728,36.812034752,Surface 1,exit
734,37.107587752,Surface 1,enter
742,37.501657752,Surface 1,exit
756,38.191279752,Surface 1,enter
839,42.279753752000005,Surface 1,exit
841,42.378270752000006,Surface 1,enter
1200,60.062153752,Surface 1,exit
1214,60.751775752,Surface 1,enter
1218,60.94881075200001,Surface 1,exit
1221,61.096586752,Surface 1,enter
1257,62.86990075200001,Surface 1,exit
1259,62.968418752000005,Surface 1,enter
1334,66.66282275200001,Surface 1,exit
1337,66.810599752,Surface 1,enter
1365,68.189843752,Surface 1,exit
1368,68.33761975200001,Surface 1,enter
1381,68.977983752,Surface 1,exit
1386,69.22427675200001,Surface 1,enter
1387,69.273535752,Surface 1,exit
1390,69.42131175200001,Surface 1,enter
1424,71.096108752,Surface 1,exit
1429,71.342401752,Surface 1,enter
1453,72.524611752,Surface 1,exit
1460,72.869422752,Surface 1,enter
1478,73.756079752,Surface 1,exit
1487,74.199407752,Surface 1,enter
1488,74.248666752,Surface 1,exit
1495,74.593477752,Surface 1,enter
1501,74.88903075200001,Surface 1,exit
1508,75.233841752,Surface 1,enter
1516,75.627911752,Surface 1,exit
1522,75.923463752,Surface 1,enter
1532,76.416050752,Surface 1,exit
1544,77.007155752,Surface 1,enter
1553,77.45048375200001,Surface 1,exit
1557,77.64751875200001,Surface 1,enter
1595,79.51935075200001,Surface 1,exit
1600,79.765644752,Surface 1,enter
1674,83.410789752,Surface 1,exit
1678,83.607824752,Surface 1,enter
1772,88.23814475200001,Surface 1,exit
1777,88.484438752,Surface 1,enter
1778,88.53369775200001,Surface 1,exit
1787,88.977025752,Surface 1,enter
1790,89.12480275200001,Surface 1,exit
1802,89.71590675200001,Surface 1,enter
1802,89.71590675200001,Surface 1,exit
1822,90.70108175200001,Surface 1,enter
1823,90.750339752,Surface 1,exit
1826,90.898116752,Surface 1,enter
1826,90.898116752,Surface 1,exit
1828,90.99663375200001,Surface 1,enter
1828,90.99663375200001,Surface 1,exit
