world_index,world_timestamp,surface_name,event_type
0,2.751840034,Surface 1,enter
826,43.439548034000005,Surface 1,exit
829,43.587324034000005,Surface 1,enter
865,45.360639034,Surface 1,exit
872,45.705450034,Surface 1,enter
1127,58.266425034,Surface 1,exit
1130,58.414201034,Surface 1,enter
1217,62.699710034000006,Surface 1,exit
1219,62.798228034000005,Surface 1,enter
2154,108.85513703400001,Surface 1,exit
2157,109.002913034,Surface 1,enter
2931,147.129167034,Surface 1,exit
2933,147.22768403400002,Surface 1,enter
2985,149.78913803400002,Surface 1,exit
2988,149.936914034,Surface 1,enter
2991,150.084690034,Surface 1,exit
2993,150.18320803400002,Surface 1,enter
5855,291.161682034,Surface 1,exit
5860,291.407976034,Surface 1,enter
5862,291.506493034,Surface 1,exit
5865,291.65426903400004,Surface 1,enter
5867,291.752787034,Surface 1,exit
5871,291.949822034,Surface 1,enter
5928,294.757569034,Surface 1,exit
5932,294.954604034,Surface 1,enter
5973,296.974212034,Surface 1,exit
5982,297.417540034,Surface 1,enter
6434,319.682485034,Surface 1,exit
6441,320.027296034,Surface 1,enter
6742,334.85417203400004,Surface 1,exit
6751,335.297501034,Surface 1,enter
6754,335.445277034,Surface 1,exit
6757,335.59305303400004,Surface 1,enter
7070,351.01103403400003,Surface 1,exit
7080,351.50362203400005,Surface 1,enter
7122,353.572488034,Surface 1,exit
7130,353.966558034,Surface 1,enter
7280,361.35536703400004,Surface 1,exit
7284,361.552402034,Surface 1,enter
7584,376.33002003400003,Surface 1,exit
7599,377.068901034,Surface 1,enter
7705,382.29032603400003,Surface 1,exit
7708,382.438102034,Surface 1,enter
7791,386.526576034,Surface 1,exit
7796,386.77287003400005,Surface 1,enter
7834,388.64470103400004,Surface 1,exit
7843,389.08803003400004,Surface 1,enter
7908,392.28984703400005,Surface 1,exit
7911,392.437623034,Surface 1,enter
7914,392.58539903400003,Surface 1,exit
7919,392.831693034,Surface 1,enter
7998,396.723132034,Surface 1,exit
8001,396.870908034,Surface 1,enter
8065,400.023467034,Surface 1,exit
8074,400.466796034,Surface 1,enter
8106,402.043075034,Surface 1,exit
8118,402.634179034,Surface 1,enter
8358,414.45627403400005,Surface 1,exit
8360,414.554791034,Surface 1,enter
8476,420.26880303400003,Surface 1,exit
8484,420.66287303400003,Surface 1,enter
8558,424.30801903400004,Surface 1,exit
8560,424.406536034,Surface 1,enter
8560,424.406536034,Surface 1,exit
8563,424.554313034,Surface 1,enter
8939,443.075594034,Surface 1,exit
8944,443.32188703400004,Surface 1,enter
8980,445.095201034,Surface 1,exit
8986,445.39075403400005,Surface 1,enter
8997,445.932600034,Surface 1,exit
9003,446.228152034,Surface 1,enter
9012,446.671481034,Surface 1,exit
9017,446.91777403400005,Surface 1,enter
9017,446.91777403400005,Surface 1,exit
9020,447.065551034,Surface 1,enter
9039,448.00146603400003,Surface 1,exit
9043,448.198501034,Surface 1,enter
9045,448.297019034,Surface 1,exit
9048,448.44479503400004,Surface 1,enter
9074,449.72552203400005,Surface 1,exit
9078,449.922557034,Surface 1,enter
9079,449.97181503400003,Surface 1,exit
9090,450.51366103400005,Surface 1,enter
9090,450.51366103400005,Surface 1,exit
9092,450.612179034,Surface 1,enter
9094,450.710696034,Surface 1,exit
9096,450.80921403400004,Surface 1,enter
9096,450.80921403400004,Surface 1,exit
9122,452.08994103400005,Surface 1,enter
9122,452.08994103400005,Surface 1,exit
9138,452.87808003400005,Surface 1,enter
9138,452.87808003400005,Surface 1,exit
9164,454.158807034,Surface 1,enter
9168,454.35584203400003,Surface 1,exit
9199,455.882862034,Surface 1,enter
9199,455.882862034,Surface 1,exit
9201,455.98138003400004,Surface 1,enter
9202,456.03063903400005,Surface 1,exit
9209,456.37545003400004,Surface 1,enter
9209,456.37545003400004,Surface 1,exit
