world_index,world_timestamp,img_to_surf_trans,surf_to_img_trans,num_detected_markers,dist_img_to_surf_trans,surf_to_dist_img_trans,num_definition_markers
0,2.481327493,"[[ 1.47679590e-03  1.47966705e-04 -6.29453304e-01]
 [ 2.85227158e-04 -2.52234435e-03  1.86435986e+00]
 [ 2.37877214e-05 -1.83346288e-05  1.00599028e+00]]","[[ 6.64492705e+02  3.64495032e+01  3.48226165e+02]
 [ 6.43946154e+01 -3.98337969e+02  7.78515199e+02]
 [-1.45390231e-02 -8.12177770e-03  1.00000000e+00]]",4,"[[ 1.64849951e-03  1.59328058e-04 -7.55299478e-01]
 [ 3.47171361e-04 -2.74235844e-03  1.96523433e+00]
 [ 9.49108164e-05 -2.25597911e-05  9.80798349e-01]]","[[ 5.78084119e+02  3.04253800e+01  3.84211120e+02]
 [ 3.36494868e+01 -3.68989998e+02  7.65261536e+02]
 [-5.51666001e-02 -1.14315393e-02  1.00000000e+00]]",4
1,2.530586493,"[[ 1.48012348e-03  1.40423341e-04 -6.26564736e-01]
 [ 2.74630536e-04 -2.52134788e-03  1.87393801e+00]
 [ 2.64129019e-05 -1.66012966e-05  1.00374665e+00]]","[[ 6.62963555e+02  3.46237060e+01  3.49198581e+02]
 [ 5.99827860e+01 -3.98416665e+02  7.81264108e+02]
 [-1.64533544e-02 -7.50064350e-03  1.00000000e+00]]",4,"[[ 1.65217466e-03  1.50747734e-04 -7.52012606e-01]
 [ 3.35646410e-04 -2.74187717e-03  1.97592861e+00]
 [ 9.77090027e-05 -2.15065198e-05  9.78883757e-01]]","[[ 5.76660323e+02  2.86839437e+01  3.85110494e+02]
 [ 2.95793328e+01 -3.69109716e+02  7.67791346e+02]
 [-5.69104923e-02 -1.09726460e-02  1.00000000e+00]]",4
2,2.579845493,"[[ 1.48380912e-03  1.33205378e-04 -6.29404259e-01]
 [ 2.64965492e-04 -2.50615887e-03  1.87416291e+00]
 [ 2.78978933e-05  5.67535946e-06  9.85676392e-01]]","[[ 6.60875631e+02  3.59272948e+01  3.53690457e+02]
 [ 5.56439718e+01 -3.94281283e+02  7.85217051e+02]
 [-1.90253490e-02  1.25334459e-03  1.00000000e+00]]",3,"[[ 1.65166724e-03  1.41462272e-04 -7.51453640e-01]
 [ 3.23288830e-04 -2.72450629e-03  1.97643942e+00]
 [ 9.51500960e-05  2.03523978e-07  9.62840735e-01]]","[[ 5.77174379e+02  2.99971947e+01  3.88882747e+02]
 [ 2.71062669e+01 -3.65573922e+02  7.71574972e+02]
 [-5.70434054e-02 -2.88711601e-03  1.00000000e+00]]",4
9,2.924656493,"[[ 1.59802713e-03  1.38647864e-04 -8.29318171e-01]
 [ 3.41265909e-04 -2.61426170e-03  1.93546177e+00]
 [ 1.49133845e-04  1.38026704e-05  9.21914937e-01]]","[[ 5.76770360e+02  3.29631015e+01  4.49637272e+02]
 [ 6.14802980e+00 -3.77972359e+02  7.99043051e+02]
 [-9.33934762e-02  3.26617805e-04  1.00000000e+00]]",2,"[[ 1.70965003e-03  1.25502524e-04 -9.22194313e-01]
 [ 3.37888121e-04 -2.78081659e-03  2.04431178e+00]
 [ 1.39231293e-04 -2.44503250e-05  9.52413225e-01]]","[[ 5.41735128e+02  2.02188482e+01  4.81147692e+02]
 [ 7.75063957e+00 -3.66234623e+02  7.93610724e+02]
 [-7.89961488e-02 -1.23577158e-02  1.00000000e+00]]",4
10,2.973914493,"[[ 1.60307420e-03  1.52497899e-04 -8.55850906e-01]
 [ 3.28794756e-04 -2.60042042e-03  1.94971907e+00]
 [ 1.45696049e-04  1.81356085e-05  9.18762695e-01]]","[[ 5.74695259e+02  3.68897517e+01  4.57059051e+02]
 [ 4.27087325e+00 -3.78670728e+02  8.07560836e+02]
 [-9.12186397e-02  1.62472098e-03  1.00000000e+00]]",4,"[[ 1.68797027e-03  1.46321761e-04 -9.21132095e-01]
 [ 3.37762442e-04 -2.77081056e-03  2.04734394e+00]
 [ 1.37083810e-04 -1.21519824e-05  9.44348714e-01]]","[[ 5.48344385e+02  2.68668253e+01  4.76616290e+02]
 [ 8.10495748e+00 -3.63972613e+02  7.96996754e+02]
 [-7.94946241e-02 -8.58368887e-03  1.00000000e+00]]",4
11,3.0231734930000003,"[[ 1.59968403e-03  1.63667569e-04 -8.62155698e-01]
 [ 3.41048104e-04 -2.59685595e-03  1.94110060e+00]
 [ 1.43674441e-04  2.09462428e-05  9.17522565e-01]]","[[ 5.75617911e+02  3.99593608e+01  4.56345314e+02]
 [ 8.08386031e+00 -3.78058960e+02  8.07413404e+02]
 [-9.03202941e-02  2.37353937e-03  1.00000000e+00]]",4,"[[ 1.68439901e-03  1.57301355e-04 -9.27104048e-01]
 [ 3.50605906e-04 -2.76825039e-03  2.03898957e+00]
 [ 1.34651334e-04 -1.06779244e-05  9.44415860e-01]]","[[ 5.49515352e+02  2.93892900e+01  4.75991002e+02]
 [ 1.19892423e+01 -3.63631398e+02  7.96848015e+02]
 [-7.82123194e-02 -8.30157138e-03  1.00000000e+00]]",4
12,3.072432493,"[[ 1.59528340e-03  1.71856164e-04 -8.62261525e-01]
 [ 3.48460170e-04 -2.59084617e-03  1.93303055e+00]
 [ 1.39896445e-04  2.36032327e-05  9.17498408e-01]]","[[ 5.77799208e+02  4.24586485e+01  4.53559546e+02]
 [ 1.17546688e+01 -3.77841677e+02  8.07102333e+02]
 [-8.84028819e-02  3.24629562e-03  1.00000000e+00]]",4,"[[ 1.68161411e-03  1.65475849e-04 -9.28131879e-01]
 [ 3.59731093e-04 -2.76414258e-03  2.03113495e+00]
 [ 1.32475981e-04 -8.72534707e-06  9.44214387e-01]]","[[ 5.50628633e+02  3.14686354e+01  4.73556587e+02]
 [ 1.49937252e+01 -3.63392311e+02  7.96445158e+02]
 [-7.71162181e-02 -7.77319481e-03  1.00000000e+00]]",4
13,3.121691493,"[[ 1.59161279e-03  1.78426952e-04 -8.60341596e-01]
 [ 3.55688875e-04 -2.58488829e-03  1.92716827e+00]
 [ 1.36474157e-04  2.50987471e-05  9.18316526e-01]]","[[ 5.79785476e+02  4.43904777e+01  4.50025270e+02]
 [ 1.52303287e+01 -3.77972173e+02  8.07476772e+02]
 [-8.65801647e-02  3.73343493e-03  1.00000000e+00]]",4,"[[ 1.68046115e-03  1.71859652e-04 -9.27578133e-01]
 [ 3.69170938e-04 -2.76121850e-03  2.02599327e+00]
 [ 1.31431456e-04 -8.32930482e-06  9.44796055e-01]]","[[ 5.51052804e+02  3.28785097e+01  4.70506718e+02]
 [ 1.75424350e+01 -3.63470186e+02  7.96637671e+02]
 [-7.65028128e-02 -7.77810652e-03  1.00000000e+00]]",4
14,3.170949493,"[[ 1.58688436e-03  1.86198368e-04 -8.58394586e-01]
 [ 3.62998275e-04 -2.57751893e-03  1.92202860e+00]
 [ 1.32682790e-04  2.88009530e-05  9.17529184e-01]]","[[ 5.82109975e+02  4.70355362e+01  4.46063637e+02]
 [ 1.87698128e+01 -3.77579862e+02  8.08509652e+02]
 [-8.47674006e-02  5.05036110e-03  1.00000000e+00]]",4,"[[ 1.67867917e-03  1.79157240e-04 -9.27017894e-01]
 [ 3.78930103e-04 -2.75792411e-03  2.02220760e+00]
 [ 1.30271858e-04 -6.36518521e-06  9.44222322e-01]]","[[ 5.51610405e+02  3.47550003e+01  4.67126099e+02]
 [ 2.00865051e+01 -3.63127129e+02  7.97417063e+02]
 [-7.59688227e-02 -7.24296572e-03  1.00000000e+00]]",4
15,3.2202084930000003,"[[ 1.58168777e-03  1.93628654e-04 -8.55728799e-01]
 [ 3.70528525e-04 -2.57230290e-03  1.91810279e+00]
 [ 1.27972948e-04  3.13135494e-05  9.18099890e-01]]","[[ 5.84904235e+02  4.94082838e+01  4.41944538e+02]
 [ 2.28766899e+01 -3.77182350e+02  8.09335419e+02]
 [-8.23094199e-02  5.97755701e-03  1.00000000e+00]]",4,"[[ 1.67646627e-03  1.86161862e-04 -9.25785417e-01]
 [ 3.89077344e-04 -2.75684059e-03  2.01957490e+00]
 [ 1.28253723e-04 -5.54613565e-06  9.44965952e-01]]","[[ 5.52581869e+02  3.63816535e+01  4.63611161e+02]
 [ 2.31450021e+01 -3.62776540e+02  7.97998804e+02]
 [-7.48622915e-02 -7.06701697e-03  1.00000000e+00]]",4
