world_index,world_timestamp,surface_name,event_type
0,2.481327493,Surface 1,enter
2,2.579845493,Surface 1,exit
9,2.924656493,Surface 1,enter
40,4.451676493,Surface 1,exit
51,4.993522493,Surface 1,enter
58,5.338333493,Surface 1,exit
60,5.436851493000001,Surface 1,enter
64,5.633886493,Surface 1,exit
70,5.929438493,Surface 1,enter
74,6.126473493000001,Surface 1,exit
87,6.7668364930000005,Surface 1,enter
97,7.259424493,Surface 1,exit
118,8.293857493,Surface 1,enter
118,8.293857493,Surface 1,exit
121,8.441633493000001,Surface 1,enter
135,9.131255493000001,Surface 1,exit
139,9.328290493,Surface 1,enter
146,9.673101493,Surface 1,exit
153,10.017912493,Surface 1,enter
277,16.125994493,Surface 1,exit
279,16.224512493000002,Surface 1,enter
303,17.406721493000003,Surface 1,exit
305,17.505239493,Surface 1,enter
313,17.899308493,Surface 1,exit
315,17.997826493,Surface 1,enter
320,18.244119493,Surface 1,exit
323,18.391896493,Surface 1,enter
339,19.180035493000002,Surface 1,exit
347,19.574105493,Surface 1,enter
347,19.574105493,Surface 1,exit
352,19.820399493,Surface 1,enter
477,25.977739493,Surface 1,exit
479,26.076257493,Surface 1,enter
481,26.174774493,Surface 1,exit
487,26.470327493000003,Surface 1,enter
558,29.967696493000002,Surface 1,exit
570,30.558801493,Surface 1,enter
829,43.316811493,Surface 1,exit
837,43.710881493,Surface 1,enter
866,45.139384493,Surface 1,exit
868,45.237901493,Surface 1,enter
870,45.336419493,Surface 1,exit
873,45.484195493,Surface 1,enter
876,45.631971493,Surface 1,exit
879,45.779747493,Surface 1,enter
908,47.208250493,Surface 1,exit
915,47.553062493000006,Surface 1,enter
917,47.651579493,Surface 1,exit
923,47.947131493,Surface 1,enter
926,48.094908493000005,Surface 1,exit
932,48.390460493000006,Surface 1,enter
994,51.444501493000004,Surface 1,exit
1009,52.183382493,Surface 1,enter
1089,56.124080493,Surface 1,exit
1097,56.518150493,Surface 1,enter
1104,56.862961493,Surface 1,exit
1109,57.109254493,Surface 1,enter
1126,57.94665349300001,Surface 1,exit
1129,58.09442949300001,Surface 1,enter
1177,60.458848493000005,Surface 1,exit
1179,60.557365493000006,Surface 1,enter
1180,60.606624493000005,Surface 1,exit
1191,61.148470493000005,Surface 1,enter
1197,61.444022493000006,Surface 1,exit
1201,61.641057493000005,Surface 1,enter
1305,66.763965493,Surface 1,exit
1308,66.91174149300001,Surface 1,enter
1311,67.059517493,Surface 1,exit
1317,67.355069493,Surface 1,enter
1318,67.40432849300001,Surface 1,exit
1324,67.699881493,Surface 1,enter
1367,69.818006493,Surface 1,exit
1371,70.015041493,Surface 1,enter
1371,70.015041493,Surface 1,exit
1377,70.310593493,Surface 1,enter
1379,70.409110493,Surface 1,exit
1382,70.556887493,Surface 1,enter
1387,70.803180493,Surface 1,exit
1393,71.098733493,Surface 1,enter
1420,72.428718493,Surface 1,exit
1424,72.625753493,Surface 1,enter
1428,72.822788493,Surface 1,exit
1441,73.463151493,Surface 1,enter
1447,73.75870449300001,Surface 1,exit
1449,73.85722149300001,Surface 1,enter
1487,75.72905349300001,Surface 1,exit
1490,75.876829493,Surface 1,enter
1540,78.339765493,Surface 1,exit
1548,78.733835493,Surface 1,enter
1548,78.733835493,Surface 1,exit
1552,78.930870493,Surface 1,enter
1560,79.324940493,Surface 1,exit
1564,79.521975493,Surface 1,enter
1576,80.113080493,Surface 1,exit
1580,80.310114493,Surface 1,enter
1590,80.802702493,Surface 1,exit
1595,81.048995493,Surface 1,enter
1605,81.541583493,Surface 1,exit
1607,81.640100493,Surface 1,enter
1629,82.723792493,Surface 1,exit
1631,82.822309493,Surface 1,enter
1676,85.03895249300001,Surface 1,exit
1679,85.186728493,Surface 1,enter
1686,85.53153949300001,Surface 1,exit
1690,85.72857449300001,Surface 1,enter
1704,86.41819749300001,Surface 1,exit
1708,86.61523149300001,Surface 1,enter
1715,86.960042493,Surface 1,exit
1725,87.452630493,Surface 1,enter
1834,92.821831493,Surface 1,exit
1837,92.96960749300001,Surface 1,enter
1845,93.36367749300001,Surface 1,exit
1849,93.56071249300001,Surface 1,enter
2081,104.988736493,Surface 1,exit
2088,105.33354749300001,Surface 1,enter
2090,105.43206549300001,Surface 1,exit
2092,105.53058249300001,Surface 1,enter
2096,105.72761749300001,Surface 1,exit
2099,105.875393493,Surface 1,enter
2101,105.973911493,Surface 1,exit
2108,106.31872249300001,Surface 1,enter
2108,106.31872249300001,Surface 1,exit
2111,106.466498493,Surface 1,enter
2113,106.565015493,Surface 1,exit
2117,106.762050493,Surface 1,enter
2262,113.904566493,Surface 1,exit
