epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.1755,2.32305,34.5395,1.9783,0.21229,0.13043,0.09522,0.04654,2.19583,3.49548,2.14661,0.067375,0.000329545,0.000329545
2,50.0395,2.02247,2.84129,1.79996,0.57465,0.36957,0.4197,0.15679,1.98514,2.42081,1.80421,0.0343744,0.000662231,0.000662231
3,73.7046,1.94969,2.19859,1.70483,0.52675,0.69565,0.62331,0.2586,1.79465,2.77264,1.75084,0.00137111,0.000992324,0.000992324
4,97.1956,1.84987,1.89801,1.66231,0.59085,0.65217,0.68077,0.30034,1.82152,1.91472,1.87661,0.000991232,0.000991232,0.000991232
5,120.901,1.83765,1.78618,1.63731,0.57656,0.76971,0.68778,0.31012,1.84057,1.54023,1.78493,0.000984449,0.000984449,0.000984449
6,144.832,1.81597,1.72919,1.73443,0.66889,0.58696,0.60937,0.23514,1.94192,1.82873,2.02845,0.000975773,0.000975773,0.000975773
7,168.416,1.8031,1.59579,1.65657,0.89587,0.80435,0.83974,0.40147,1.85058,1.57741,1.94337,0.000965239,0.000965239,0.000965239
8,192.213,1.82667,1.72327,1.7642,0.25018,0.47826,0.22574,0.11111,1.70519,2.09697,1.87907,0.000952889,0.000952889,0.000952889
9,215.591,1.73825,1.52887,1.70456,0.05283,0.61965,0.04882,0.02218,1.76399,66.325,1.88903,0.000938772,0.000938772,0.000938772
10,239.079,1.74765,1.45257,1.67139,0.78567,0.79699,0.8108,0.39145,1.69711,1.34899,1.84277,0.000922942,0.000922942,0.000922942
11,262.31,1.57792,1.49661,1.54245,0.89388,0.73259,0.85552,0.48534,1.5756,1.12881,1.72895,0.000905463,0.000905463,0.000905463
12,285.541,1.55624,1.22552,1.57918,0.78984,0.81715,0.82746,0.44536,1.64611,1.19193,1.72555,0.000886404,0.000886404,0.000886404
13,308.724,1.62659,1.27038,1.59979,0.90139,0.79497,0.84669,0.46841,1.59881,1.15028,1.7377,0.000865839,0.000865839,0.000865839
14,332.406,1.57517,1.26343,1.54699,0.79789,0.86957,0.88148,0.49348,1.50828,1.02032,1.68702,0.000843851,0.000843851,0.000843851
15,356.606,1.48392,1.15448,1.55086,0.8777,0.82609,0.8801,0.43081,1.75172,1.16396,1.82775,0.000820525,0.000820525,0.000820525
16,382.54,1.63901,1.17638,1.59697,0.84577,0.86957,0.91075,0.47392,1.67323,1.08633,1.87663,0.000795954,0.000795954,0.000795954
17,421.174,1.49439,1.21686,1.53762,0.85171,0.93478,0.91283,0.49991,1.52553,1.07852,1.81285,0.000770234,0.000770234,0.000770234
18,447.591,1.44064,1.06416,1.49447,0.92682,0.82598,0.90831,0.48501,1.59821,1.10937,1.81925,0.000743468,0.000743468,0.000743468
19,471.812,1.488,1.07442,1.47093,0.82937,0.84538,0.89339,0.48735,1.59781,1.25672,1.77995,0.000715761,0.000715761,0.000715761
20,493.952,1.35124,1.00804,1.42333,0.94495,0.82609,0.92171,0.50088,1.54636,1.00727,1.73725,0.000687222,0.000687222,0.000687222
21,516.032,1.46975,0.99353,1.50156,0.89971,0.8913,0.92006,0.50289,1.5902,0.95406,1.77911,0.000657963,0.000657963,0.000657963
22,537.892,1.47313,1.09004,1.49889,0.87425,0.8913,0.916,0.46541,1.69709,1.01832,1.81508,0.000628101,0.000628101,0.000628101
23,559.67,1.36679,0.89898,1.41932,0.93169,0.88959,0.9356,0.5115,1.64674,0.92102,1.79434,0.000597754,0.000597754,0.000597754
24,581.579,1.40872,0.88398,1.46411,0.90306,0.8913,0.93489,0.52553,1.59953,0.91812,1.77756,0.00056704,0.00056704,0.00056704
25,603.44,1.38564,0.90962,1.42013,0.8929,0.90629,0.92968,0.52892,1.55972,0.91036,1.71986,0.000536081,0.000536081,0.000536081
26,625.244,1.3161,0.86062,1.32288,0.77912,0.86957,0.8327,0.42163,1.63532,1.02791,1.75441,0.000505,0.000505,0.000505
27,647.117,1.43134,0.96246,1.4536,0.8475,0.84783,0.8788,0.47083,1.57537,0.98428,1.68217,0.000473919,0.000473919,0.000473919
28,669.008,1.23811,0.84638,1.35674,0.90558,0.91304,0.94104,0.54069,1.50424,0.92305,1.65301,0.00044296,0.00044296,0.00044296
29,691.738,1.30769,0.92912,1.45258,0.92512,0.93478,0.95365,0.57681,1.4833,0.84052,1.63699,0.000412246,0.000412246,0.000412246
30,713.75,1.32752,0.80088,1.41246,0.89652,0.94179,0.94669,0.56321,1.47566,0.83488,1.65367,0.000381899,0.000381899,0.000381899
31,736.107,1.30311,0.85981,1.40148,0.79832,0.8913,0.8306,0.47048,1.54829,0.94644,1.73058,0.000352037,0.000352037,0.000352037
32,758.212,1.43768,0.9045,1.47409,0.83033,0.85113,0.8175,0.46859,1.47263,0.95933,1.66579,0.000322778,0.000322778,0.000322778
33,780.265,1.3038,0.89244,1.40423,0.87212,0.8913,0.88873,0.53285,1.44658,0.89006,1.64525,0.000294239,0.000294239,0.000294239
34,802.325,1.30022,0.84848,1.40843,0.94333,0.8913,0.94691,0.57905,1.4536,0.81255,1.62562,0.000266532,0.000266532,0.000266532
35,824.461,1.21284,0.80747,1.36875,1,0.8906,0.94613,0.57189,1.50678,0.8144,1.66806,0.000239766,0.000239766,0.000239766
36,847.019,1.2251,0.80301,1.34923,0.96309,0.86957,0.94175,0.56899,1.5325,0.86573,1.67954,0.000214046,0.000214046,0.000214046
37,869.631,1.1495,0.77527,1.30015,0.98972,0.8913,0.961,0.57939,1.48905,0.8253,1.64589,0.000189475,0.000189475,0.000189475
38,892.539,1.13924,0.72875,1.23784,0.97968,0.91304,0.96153,0.57232,1.44372,0.84296,1.61435,0.000166149,0.000166149,0.000166149
39,914.942,1.19584,0.77938,1.31101,1,0.90907,0.95533,0.59145,1.43079,0.80462,1.59996,0.000144161,0.000144161,0.000144161
40,936.86,1.15708,0.71993,1.24808,0.97124,0.91304,0.95705,0.59142,1.43855,0.79149,1.59609,0.000123596,0.000123596,0.000123596
41,968.993,1.19083,0.77753,1.35162,0.96225,0.91304,0.95471,0.58569,1.43134,0.79522,1.60159,0.000104537,0.000104537,0.000104537
42,992.105,1.22687,0.75144,1.35271,0.93312,0.91,0.95319,0.59621,1.45103,0.76567,1.61164,8.70577e-05,8.70577e-05,8.70577e-05
43,1018.97,1.14055,0.71672,1.29294,0.95378,0.8974,0.94337,0.57942,1.46824,0.77974,1.61213,7.12282e-05,7.12282e-05,7.12282e-05
44,1046.52,1.1907,0.71263,1.31655,0.97626,0.89396,0.94222,0.59563,1.44549,0.7585,1.59815,5.71106e-05,5.71106e-05,5.71106e-05
