waldo,type,x,y,timestamp_s,duration_ms
waldo_1,direct,0.4807550191879272,0.3510621031125386,30.087995136,685.625
waldo_1,direct,0.4785723388195038,0.3893236875534057,31.494251008,165.119
waldo_1,peripheral,0.5031027048826218,0.382669597864151,31.689379072,145.241
waldo_1,peripheral,0.494449183344841,0.3720488995313644,31.849619968,125.125
waldo_1,peripheral,0.4652445316314697,0.4063589374224345,40.287368704,240.249
waldo_1,direct,0.4827489524315565,0.3510705278469966,54.250365952,1871.75
waldo_1,direct,0.483941810131073,0.3485840988159179,56.362243072,1161.123
waldo_1,direct,0.4772622478859765,0.3695664097155843,57.703491072,2717.628
waldo_2,direct,0.6131292283535004,0.2028337717056274,65.225489152,165.125
waldo_2,peripheral,0.6473801565170288,0.2552181673049927,73.413115136,1381.2480000000005
waldo_3,peripheral,0.2449505801002184,0.1984353959560394,92.740985088,285.25
waldo_3,peripheral,0.2542914360761642,0.2402523875236511,93.056242944,175.242
waldo_3,peripheral,0.2219247788190841,0.1852073311805725,93.266484992,195.25
waldo_3,peripheral,0.2231205315752462,0.2191508168523961,94.087235072,1056.0
waldo_3,peripheral,0.2508536636829376,0.208168625831604,95.268359936,185.134
waldo_3,peripheral,0.2507192871787331,0.2457230524583296,95.688734976,600.51
waldo_4,direct,0.5507098746796449,0.2972211229304473,104.82723328,2322.125
